   5 ukr	lb
   2 piiceriij	ogolosila
   2 perejshla	v
   2 pered	viborchoyu
   2 partiiya	Ukrayini
   2 parafiiyi	yaka
   2 ostannii	socopituvannya
   2 ogolosila	pro
   2 odin	z
   2 oberut	Moskvu
   2 novij	vuz
   2 nogo	komiitetu
   2 niizh	polovinu
   2 nic	kij
   2 ne	ziibrannya
   2 ne	tiil
   2 nauk	narodnij
   2 na	viidmiinu
   2 na	sebe
   2 na	sajte
   2 na	piidtrimku
   2 na	korist
   2 movoyu	zajnyali
   2 mitropolita	Onufriiya
   2 mitropolit	zayaviv
   2 miisc	u
   2 merezha	piiceriij
   2 malo	izvestnyh
   2 maksimal	no
   2 majbutniij	Miiniistr
   2 liider	sociialiistiiv
   2 legendarnogo	gorca
   2 krugloj	afganskoj
   2 koyu	movoyu
   2 komu	selii
   2 kij	mitropolit
   2 kij	chempiion
   2 kij	Volodimir
   2 kij	Doktor
   2 kii	bokseri
   2 kih	viborah
   2 kih	pravoslavnih
   2 ka	merezha
   2 izvestnyh	v
   2 interesnyh	i
   2 iiniiciiatorom	viijni
   2 ii	spiivaka
   2 ii	Leoniidu
   2 ieparhiial	ne
   2 i	malo
   2 etapah	zhiznennogo
   2 ekonomiiku	Ukrayini
   2 dvoma	znakovimi
   2 dlya	biilorus
   2 diiyal	nostii
   2 deputat	Ukrayini
   2 chomu	ukrayins
   2 chi	avtokefaliiyu
   2 chempiion	sviitu
   2 centrii	Kiieva
   2 c	ogo
   2 buv	iiniiciiatorom
   2 bokseri	uspiishniishii
   2 biilorus	kih
   2 bagat	ma
   2 alternate	alternate
   2 aktora	ii
   2 afganskoj	godovschine
   2 WBA	poyasniv
   2 Volodimir	Prokopiiv
   2 Ukrayini	ne
   2 Ukrayini	4
   2 Ukraine	etapah
   2 UPC	MP
   2 U	nas
   2 U	Kiievii
   2 Sulima	Nacional
   2 Sport	Like
   2 Sociialiistichna	partiiya
   2 Sergej	Sulima
   2 SCHo	voni
   2 Rosiijs	kij
   2 Rosiijs	ka
   2 Radi	Ukrayini
   2 Publiikaciiyi	Blogi
   2 Prokopiiv	Kiyiv
   2 Pravo	mami
   2 Poliitika	Ekonomiika
   2 Piisnii	ukrayins
   2 Oprilyudneno	ostannii
   2 Oleksandr	Rudomanov
   2 O	samyh
   2 Neviidomii	pobili
   2 Nespodiivana	svoboda
   2 Moskvu	Kiyiv
   2 MP	parafiiyi
   2 Kul	tura
   2 Komuniistichnoyi	partiiyi
   2 Kiyiv	chi
   2 Kiyiv	buv
   2 Kiievii	projde
   2 Kiev	O
   2 Kabmiin	stvoriv
   2 K	priblizhayuschejsya
   2 Hmel	nic
   2 Foto	Viideo
   2 Facebook	Twitter
   2 Ekonomiika	Cuspiil
   2 Dzidzio	v
   2 Doktor	yuridichnih
   2 Cviit	Sport
   2 Cuspiil	stvo
   2 Antimonopol	nogo
   2 4	sklikannya
   2 1991	roku
   1 zvinuvativ	Leoniida
   1 zvichnih	za
   1 zv	yazkiiv
   1 zustriilisya	v
   1 zustriichej	peregovoriiv
   1 zusillya	na
   1 zusil	sociialiista
   1 zusil	schob
   1 zupinivsya	na
   1 zupinenih	promislovih
   1 zuet	voennuyu
   1 zrozumiilih	sociialiistiiv
   1 zrobiti	schob
   1 zrobiti	resociialiizaciiyu
   1 zreaguvali	na
   1 zovatel	skoe
   1 zoru	napovnennya
   1 znyavsya	zii
   1 znyav	svoyu
   1 zniknennya	zhurnaliista
   1 znamenitoyi	konstituciijnoyi
   1 znachno	biil
   1 znachna	chastina
   1 zmushenij	buv
   1 zmiini	poliitichnoyi
   1 zmagat	na
   1 zletom	liider
   1 ziirvati	iimplementaciiyu
   1 zii	zmagat
   1 zii	stvorennya
   1 zhurnaliista	Georgiiya
   1 zhovtnya	Volodimir
   1 zhovtnya	1991
   1 zhittya	alkotochcii
   1 zhii	ta
   1 zhemchuzhinoj	svoim
   1 zhatva	parlamentarii
   1 zh	sprobi
   1 zgoda	Verhovnoyi
   1 zgadanih	osiib
   1 zemli	12
   1 zemel	sel
   1 zemel	nyj
   1 zdavalosya	b
   1 zdavalos	bi
   1 zbiil	shivshi
   1 zberiig	svoie
   1 zaznachiv	svogo
   1 zayavu	schodo
   1 zayaviv	scho
   1 zayavit	pro
   1 zavdannya	al
   1 zasnovnikiiv	SPU
   1 zaschity	personal
   1 zarplati	ie
   1 zarplatami	yakii
   1 zarobiitchani	a
   1 zarobiitchan	vryatuvali
   1 zapisi	blogiiv
   1 zapisi	bloga
   1 zapam	yatalos
   1 zalog	zemli
   1 zalishkiiv	radyans
   1 zalishit	sya
   1 zakriti	alkotochku
   1 zakriiplenoyi	viidpoviidal
   1 zakonodavchomu	organii
   1 zakonodavcho	zakriiplenoyi
   1 zajnyav	tretie
   1 zahistiti	svoie
   1 zahist	zavdannya
   1 zahischayut	sya
   1 zagrozi	Blogi
   1 zadumane	Nariiman
   1 zaboroni	na
   1 zaboroneno	DepositPhotos
   1 zaboronenih	komuniistiiv
   1 zaborguvali	groshii
   1 za	rezul
   1 za	radyans
   1 za	porushennya
   1 za	pershe
   1 za	nezalezhniist
   1 za	dopomogoyu
   1 za	diskriminaciyu
   1 za	diiyi
   1 za	ce
   1 z	yizd
   1 z	yiyi
   1 z	yavlyaiet
   1 z	yakih
   1 z	trinadcyat
   1 z	tochki
   1 z	tisyachami
   1 z	taktichnih
   1 z	prav
   1 z	pomilkoyu
   1 z	piioneriiv
   1 z	pershoyi
   1 z	partiiyi
   1 z	nastupnikiiv
   1 z	najavtoritetniishih
   1 z	kaniivs
   1 z	grudnya
   1 z	chleniiv
   1 z	akushers
   1 z	Selyans
   1 z	SPU
   1 z	Mirgoroda
   1 yurbu	Vazhlivo
   1 yurbi	Nevazhlivo
   1 yumeru	YAvlenie
   1 yumerizma	eto
   1 yizd	novoyi
   1 yiyi	predstavnikiiv
   1 yiyi	admiiniistrativno
   1 yim	poliitichnoyi
   1 yih	zusillya
   1 yazkove	Peredruk
   1 yazkiiv	total
   1 yavlyaiet	sya
   1 yatalos	bagat
   1 yakscho	KPU
   1 yakij	viidkriv
   1 yakii	v
   1 yakii	utvorili
   1 yakii	davala
   1 yakii	bagat
   1 yakih	trivalij
   1 yakih	ryadovii
   1 yake	chasto
   1 yaka	mala
   1 yaka	j
   1 yaka	bula
   1 yak	zrobiti
   1 yak	zaznachiv
   1 yak	zahistiti
   1 yak	personal
   1 yak	neviid
   1 yak	maksimal
   1 yak	bazovoyi
   1 yah	Tyan
   1 vzhe	u
   1 vzhe	piid
   1 vysokimi	tempami
   1 vyskazalis	za
   1 vyborami	v
   1 vy	podtverzhdaete
   1 vvode	vojsk
   1 vvazhati	sviij
   1 vvazhati	odnim
   1 vtrichii	postupivshis
   1 vtrata	ciilkom
   1 vtiihoyu	dlya
   1 vstignuti	podati
   1 vstig	piidgotuvati
   1 vseukrayins	kogo
   1 vseredinii	partiiyi
   1 vplivovimi	u
   1 vpershe	opinivsya
   1 vozmozhnost	sel
   1 volii	svoieyi
   1 vojsk	v
   1 voennuyu	temu
   1 voennoe	polozhenie
   1 vnutriishniih	sprav
   1 vlast	ispol
   1 vlasnu	frakciiyu
   1 vlasnoyu	opoziciijniistyu
   1 vivchayuchi	svoyi
   1 visokiij	derzhavniij
   1 vipadku	koli
   1 viluchayut	ortodoksal
   1 vikoristannya	materiialiiv
   1 vikoristannya	2
   1 vikonati	zadumane
   1 viklyuchili	sche
   1 viiz	me
   1 viirtuoznimi	manevrami
   1 viin	viiz
   1 viin	na
   1 viijni	ta
   1 viidvertogo	rozcharuvannya
   1 viidtvorennya	materiialiiv
   1 viidtvorennya	abo
   1 viidsotkiiv	iinflyaciiyi
   1 viidsotkami	Moroz
   1 viidpoviidal	nostii
   1 viidnovlenoyi	derzhavi
   1 viidkriv	shlyah
   1 viiddati	ce
   1 viidbuvalosya	chimalo
   1 viid	nespodiivanogo
   1 viid	bagat
   1 viid	agresivnih
   1 viboriiv	Golova
   1 viboriiv	1994
   1 viborah	sprichiniv
   1 viborah	1998
   1 veteraniiv	zasnovnikiiv
   1 ves	liivij
   1 velikiij	poliiticii
   1 velikih	kolgospiiv
   1 vdalosya	vikonati
   1 vdalosya	Pevnoyu
   1 vchorashniih	frontovikiiv
   1 vazhche	ii
   1 v	tomu
   1 v	sociial
   1 v	sadochkah
   1 v	ryadah
   1 v	predgor
   1 v	krepostnoj
   1 v	ekviivalentii
   1 v	derzhavii
   1 v	den
   1 v	OTG
   1 v	Afganistan
   1 utvorili	vlasnu
   1 utvorili	novu
   1 utvorili	35
   1 utverdiv	sebe
   1 utrichii	postupivshis
   1 uspiihu	ne
   1 uskladniti	zhittya
   1 us	ogo
   1 uryadu	ta
   1 uosoblyuvali	ves
   1 ul	trapravih
   1 ukrayins	kim
   1 uhvalennyam	Konstituciijnogo
   1 udviichii	zbiil
   1 uchastii	ta
   1 uchasnikiiv	ii
   1 ua	v
   1 ua	obov
   1 ua	news
   1 ua	culture
   1 ua	RSS
   1 u	vipadku
   1 u	velikiij
   1 u	takomu
   1 u	siil
   1 u	rolii
   1 u	rezul
   1 u	ramkah
   1 u	radyans
   1 u	prichetnostii
   1 u	pravoviij
   1 u	poshuku
   1 u	pershomu
   1 u	parlamentii
   1 u	n
   1 u	majbutn
   1 u	kviitnii
   1 u	kriislii
   1 u	hodii
   1 u	golovnomu
   1 u	glibokomu
   1 u	Verhovniij
   1 u	84
   1 u	1993
   1 turii	majzhe
   1 trudovih	sporiiv
   1 truda	18
   1 triviial	nij
   1 trivav	nedovgo
   1 trivalogo	chasu
   1 trivalij	chas
   1 trinadcyat	ma
   1 tretie	miisce
   1 travnya	2016
   1 trapravih	partiij
   1 tr	id
   1 total	nimi
   1 tomu	scho
   1 tomosu	http
   1 toj	chas
   1 togo	chtoby
   1 togo	Nezalezhnostii
   1 tochki	zoru
   1 to	viin
   1 tisyachami	viidsotkiiv
   1 tih	peregoniiv
   1 tezh	buv
   1 ternativnoyi	sudovoyi
   1 teritoriiyi	viidnovlenoyi
   1 teplo	Paralel
   1 temu	dlya
   1 tempami	budet
   1 te	scho
   1 te	hto
   1 tatii	z
   1 tatii	otrimav
   1 tatami	viboriiv
   1 tat	na
   1 taktichnih	miirkuvan
   1 takozh	Petr
   1 takovym	Nacional
   1 takomu	statusii
   1 takim	zletom
   1 takij	protiprirodnij
   1 taka	iiniiciiativa
   1 tak	scho
   1 taborii	protyagom
   1 taborah	ale
   1 ta	znamenitoyi
   1 ta	zahischayut
   1 ta	vlasnoyu
   1 ta	viidvertogo
   1 ta	potenciijnij
   1 ta	posilennii
   1 ta	partiiyi
   1 ta	ne
   1 ta	mer
   1 ta	krizi
   1 ta	j
   1 ta	bliz
   1 ta	aktivnoyi
   1 ta	Volodimira
   1 t	z
   1 sya	protokolami
   1 sya	na
   1 sya	Progresivna
   1 sya	12
   1 svoyu	kandidaturu
   1 svoyim	shlyahom
   1 svoyi	zusillya
   1 svoyi	prava
   1 svoim	razmahom
   1 svoih	melkih
   1 svoieyi	frakciiyi
   1 svoieyi	diiyal
   1 svoie	predstavnictvo
   1 svoie	pravo
   1 svoie	perebuvannya
   1 svoie	kriislo
   1 svogo	odnopartiijcya
   1 svogo	chasu
   1 svoe	voennoe
   1 sviij	zdavalos
   1 sviij	shlyah
   1 sviij	narod
   1 sutii	pershoyi
   1 suspiil	stva
   1 suschnost	cheloveka
   1 sudovoyi	reformi
   1 sud	z
   1 stvoryuie	yurbu
   1 stvorennya	t
   1 stvorennya	suspiil
   1 stvorennya	Socpartiiyi
   1 stva	narodnoyi
   1 strategiichno	antagoniistichnimi
   1 strany	ee
   1 stav	Golovoyu
   1 statusii	sociialiistam
   1 stanovili	5
   1 stalo	pershim
   1 stala	zgoda
   1 spryamuvati	yih
   1 sprosom	i
   1 sprobuvav	piidkoriti
   1 sprobi	otrimala
   1 sprichiniv	chergovij
   1 sprichinilo	te
   1 sprav	Miiniistr
   1 sporiiv	IIsnuie
   1 spisok	buv
   1 spiivuchasnikiiv	tih
   1 spiikers	kogo
   1 spiikera	liideru
   1 spiikera	IIIIII
   1 speciial	nogo
   1 soznatel	no
   1 sozdavat	dal
   1 soyuz	sociialiistiiv
   1 soyuz	proiisnuvav
   1 soyuz	pretendentiiv
   1 sovetskogo	rukovodstva
   1 sotnyami	zupinenih
   1 soglasie	s
   1 soglashenie	U
   1 sociialiistiiv	sprobuvav
   1 sociialiistiiv	ii
   1 sociialiistiiv	dvoma
   1 sociialiistiiv	doklala
   1 sociialiistiiv	U
   1 sociialiistiiv	Prote
   1 sociialiistiiv	Oleksandr
   1 sociialiistichnu	poliitichnu
   1 sociialiistichnomu	taborii
   1 sociialiistichna	partiiya
   1 sociialiisti	ocholili
   1 sociialiisti	na
   1 sociialiisti	masovo
   1 sociialiisti	faktichno
   1 sociialiistam	dovelosya
   1 sociialiista	z
   1 sociial	nu
   1 sociial	nih
   1 sobstvennikov	zemel
   1 skohozyajstvennogo	naznacheniya
   1 skoe	soglashenie
   1 sklikannya	zapam
   1 sklikannya	prohodila
   1 sklikannya	Facebook
   1 sklikannya	CHitajte
   1 skladovoyi	KPRS
   1 sistemi	bez
   1 simpatiiyi	gromadyan
   1 sily	iz
   1 silu	Vseukrayins
   1 sili	ta
   1 sili	poklikanoyi
   1 siil	s
   1 siichnya	2016
   1 signal	svogo
   1 shvidkij	dostupnij
   1 shtiki	Okrilenij
   1 shlyahom	naperedodnii
   1 shlyah	u
   1 shlyah	do
   1 shivshi	svoie
   1 shimi	niizh
   1 shestirazovij	narodnij
   1 shennya	mozhna
   1 shahiivnicii	Ukrayini
   1 sha	kar
   1 sh	riidnoyi
   1 sh	radikal
   1 sh	potuzhnu
   1 sformovanogo	nim
   1 sesiiyi	Verhovnoyi
   1 serpnya	1991
   1 selyan	trivav
   1 selii	yake
   1 selii	SCHo
   1 sel	skohozyajstvennogo
   1 sel	hoztovaroproizvoditelyam
   1 sebe	u
   1 sebe	spiikers
   1 schodo	lyustraciiyi
   1 schob	ziirvati
   1 schob	provajder
   1 scho	znachna
   1 scho	yakscho
   1 scho	vdalosya
   1 scho	same
   1 scho	osobisto
   1 scho	miistyat
   1 scho	kiil
   1 scho	____________________________________________________________
   1 sche	odnu
   1 sche	do
   1 schastya	yak
   1 samostiijno	gotuyuchis
   1 same	zarobiitchani
   1 same	sociialiisti
   1 sam	na
   1 sam	iiz
   1 sajte	vy
   1 sajte	Pol
   1 sadochkah	http
   1 s	prestupnym
   1 s	politikoj
   1 s	ogodniishniij
   1 s	korporativami
   1 s	kiij
   1 rynke	truda
   1 ryadovii	sociialiisti
   1 ryadah	sociialiistiiv
   1 rukovodstva	o
   1 ruhu	nezalezhnoyi
   1 ruhu	Ukrayina
   1 ruh	Odnak
   1 rozumiinnya	lyuds
   1 rozroblennya	novoyi
   1 rozrivom	gospodars
   1 rozpochalasya	bukval
   1 rozpisanij	grafiik
   1 rozglyadu	pershu
   1 rozciinyuvalis	yak
   1 rozcharuvannya	pershimi
   1 rozbrat	v
   1 rolii	faktichno
   1 roku	z
   1 roku	yakij
   1 roku	yaka
   1 roku	same
   1 roku	nabrali
   1 roku	na
   1 roku	frakciiya
   1 roku	15
   1 roki	piislya
   1 roki	do
   1 rocii	sprichinilo
   1 rocii	Oleksandr
   1 riski	dlya
   1 rinkovoyi	ekonomiiki
   1 riik	oznamenuvavsya
   1 riidnoyi	ta
   1 riidnoyi	dlya
   1 rezul	tatami
   1 rezul	tat
   1 resociialiizaciiyu	vchorashniih
   1 reformi	12
   1 referendumu	a
   1 redakciiyi	nezalezhnoyi
   1 redakciiyi	http
   1 realiizovuvati	progoloshenu
   1 real	nii
   1 razvitiya	ekonomiki
   1 razmahom	i
   1 razii	povnogo
   1 ramkah	ruhu
   1 radyans	ko
   1 radyans	kii
   1 radyans	kih
   1 radikal	nii
   1 radii	scho
   1 radgospiiv	sociialiisti
   1 rabochej	sily
   1 pustelii	Bez
   1 publiikaciiyi	Vibiir
   1 pryame	giiperposilannya
   1 provesti	26
   1 proveli	u
   1 provajder	ta
   1 protyagom	trivalogo
   1 protokolami	Volodimir
   1 protiprirodnij	soyuz
   1 proti	yurbi
   1 proti	volii
   1 proti	tomosu
   1 proti	diiyuchogo
   1 protesti	u
   1 prostij	algoritm
   1 pros	yumeru
   1 pros	yumerizma
   1 propisanii	ta
   1 promislovih	piidpriiemstv
   1 proiisnuvav	nedovgo
   1 prohodila	vzhe
   1 progoloshenu	za
   1 progolosheno	pro
   1 prodovzhuyuchi	realiizovuvati
   1 prodovzhiti	svoie
   1 prodovzhili	sviij
   1 prodlili	zemel
   1 procesiiv	Znayu
   1 pro	triviial
   1 pro	stvorennya
   1 pro	peredachu
   1 pro	novuyu
   1 pro	avtonomiizaciiyu
   1 privlekat	dopolnitel
   1 pripinennya	svoieyi
   1 prineslo	z
   1 primitivnyh	nastoyaschej
   1 prijnyav	do
   1 priioritetnostii	dlya
   1 prichinoyu	trudovih
   1 prichetnostii	do
   1 prezidents	kih
   1 prezidenta	ii
   1 prezidenta	Leoniida
   1 pretendentiiv	proti
   1 prestupnym	Esli
   1 predstavnikovii	ob
   1 predstavnikiiv	utvorili
   1 predstavnikami	zalishkiiv
   1 predstavnikami	pravih
   1 predstavnikami	ne
   1 predstavnictvo	u
   1 predlozheniem	na
   1 predgor	yah
   1 precedentom	ofiiciijnogo
   1 pravovoyi	kategoriiyi
   1 pravoviij	pustelii
   1 pravo	na
   1 pravih	partiij
   1 pravih	a
   1 prava	u
   1 prava	Voni
   1 prav	lyudini
   1 praciivniku	zaborguvali
   1 praciivnikam	zarplati
   1 pracii	Neviplata
   1 povyshenie	disproporcij
   1 povnogo	chi
   1 povernuvsya	do
   1 povernulasya	do
   1 potuzhnu	frakciiyu
   1 potoka	primitivnyh
   1 potenciijnij	koristuvach
   1 postupivshis	liideru
   1 postupivshis	ii
   1 post	radyans
   1 posilennii	discipliini
   1 posilannya	na
   1 poshuku	kompromiisiiv
   1 posadu	v
   1 posadii	yak
   1 posada	Golovi
   1 porushennya	Konstituciiyi
   1 pomsta	pereobranomu
   1 pomilkoyu	Pomilka
   1 pomilka	Vhiid
   1 pomilka	Tekst
   1 polozhenie	s
   1 polovinii	roku
   1 pologiiv	ii
   1 politikoj	zaschity
   1 politicheskih	celej
   1 poliiticii	Sergiij
   1 poliitichnu	silu
   1 poliitichnoyi	sistemi
   1 poliitichniij	shahiivnicii
   1 poklikanoyi	ob
   1 podumati	yak
   1 podtverzhdaete	soglasie
   1 podiiyami	yakii
   1 podiiyami	uhvalennyam
   1 podati	lyudyam
   1 podal	sha
   1 pod	zalog
   1 pochalos	Naprikiincii
   1 po	sutii
   1 plodami	rinkovoyi
   1 pliivki	Mel
   1 piivtora	roki
   1 piislya	chotiririichnoyi
   1 piislya	c
   1 piislya	Glavi
   1 piishov	svoyim
   1 piishli	najbiil
   1 piioneriiv	partiijnogo
   1 piidpriiemstv	zarplatami
   1 piidkoriti	najvischu
   1 piidgotuvati	ii
   1 piid	kupolom
   1 piid	chas
   1 piid	bokom
   1 piid	akompanement
   1 personal	nyh
   1 personal	nij
   1 personal	na
   1 pershu	zayavu
   1 pershoyi	zh
   1 pershoyi	redakciiyi
   1 pershomu	turii
   1 pershimi	plodami
   1 pershim	precedentom
   1 pershiij	polovinii
   1 pershe	desyatiriichchya
   1 pereobranomu	Prezidentovii
   1 peregovoriiv	procesiiv
   1 peregoniiv	ne
   1 peredachu	dopomogi
   1 perebuvati	u
   1 perebuvannya	u
   1 perebuvali	u
   1 perebiil	shennya
   1 pauzi	majbutniij
   1 passivnogo	grazhdanina
   1 partorganiizaciiyami	povernulasya
   1 partiiyi	za
   1 partiiyi	Z
   1 partiiyi	Poki
   1 partiiyi	Dalii
   1 partiiyi	Ale
   1 partiiya	z
   1 partiijnogo	ruhu
   1 partiijnij	spisok
   1 partiij	Prote
   1 partiij	Odnak
   1 partiiieyu	yaka
   1 parlaments	koyi
   1 parlaments	kih
   1 parlamentii	pliivki
   1 parlamentarii	prodlili
   1 palac	Homutcya
   1 oznamenuvavsya	dlya
   1 otrimav	lishe
   1 otrimala	deputats
   1 otochennya	u
   1 ot	passivnogo
   1 osviiti	ii
   1 ostann	ogo
   1 osobistostyami	u
   1 osobisto	dlya
   1 osiib	piishli
   1 oshibochnym	na
   1 ortodoksal	no
   1 organiizaciiyi	Ukrayins
   1 organii	derzhavi
   1 oprilyudniv	u
   1 opoziciijniistyu	Ampliituda
   1 oplatu	pracii
   1 opinivsya	piid
   1 omu	povernuvsya
   1 omu	chleniiv
   1 om	ne
   1 okolo	7
   1 okazalos	oshibochnym
   1 oh	uchasnikiiv
   1 ogodniishniij	moment
   1 ogo	za
   1 ogo	sociialiisti
   1 ogo	momentu
   1 ogo	dnya
   1 ogo	Komuniistichnoyi
   1 ofiiciijnogo	ob
   1 ofiiciijno	propisanii
   1 odnu	grupu
   1 odnopartiijcya	Moroz
   1 odnim	z
   1 odnak	soyuz
   1 ocholili	najmasshtabniishii
   1 obov	yazkove
   1 ob	iednuvali
   1 ob	iednati
   1 o	vvode
   1 o	blagopoluchii
   1 nyj	moratorij
   1 nyh	dannyh
   1 nu	merezhu
   1 novuyu	suschnost
   1 novu	sociialiistichnu
   1 novoyi	poliitichnoyi
   1 novoyi	po
   1 novini	LB
   1 novih	ii
   1 nova	iinformaciijna
   1 nostii	za
   1 nostii	ta
   1 nostii	piislya
   1 nostal	zhii
   1 noscript	1
   1 nomenklaturi	ii
   1 nokautii	viid
   1 nogo	harchuvannya
   1 noe	finansirovanie
   1 nochii	27
   1 no	vyskazalis
   1 no	viidbuvalosya
   1 no	v
   1 no	uskladniti
   1 no	nalashtovanih
   1 no	efektivnoyu
   1 ninii	Suddya
   1 nimi	barterami
   1 nim	uryadu
   1 nij	soyuz
   1 nij	rezul
   1 nij	personal
   1 niizh	utrichii
   1 niizh	do
   1 niistyu	do
   1 niist	organiizaciiyi
   1 niist	15
   1 nii	zagrozi
   1 nii	chleni
   1 nih	merezhah
   1 nichenka	j
   1 nezalezhnoyi	iistoriiyi
   1 nezalezhnoyi	Ukrayini
   1 nezalezhnoyi	Konstituciiyi
   1 nezalezhniist	derzhavi
   1 news	2018
   1 nevole	Otmena
   1 neviid	iemnoyi
   1 nespodiivanogo	pripinennya
   1 neriidko	j
   1 neriidko	dosyagala
   1 neriidko	diiyati
   1 neordinarnimi	osobistostyami
   1 nemaie	de
   1 nejshee	povyshenie
   1 nedovgo	kozhnij
   1 nedovgo	ii
   1 nedovgo	Viidnovlennya
   1 nebyvalym	dlya
   1 nebezpiidstavno	rozciinyuvalis
   1 nebachenim	dosii
   1 ne	zrozumiilih
   1 ne	zreaguvali
   1 ne	zayavit
   1 ne	vdalosya
   1 ne	takovym
   1 ne	prineslo
   1 ne	pomilka
   1 ne	najyaskraviishim
   1 ne	lishe
   1 ne	hoche
   1 ne	bez
   1 ne	MVF
   1 naznacheniya	10
   1 nazivayut	Galina
   1 nauki	vpershe
   1 natovpom	ii
   1 nastupnikiiv	Moroza
   1 nastoyaschej	zhemchuzhinoj
   1 nasillyam	mozhna
   1 nas	buv
   1 nas	budet
   1 narodnoyi	Majzhe
   1 narodila	Osnovnij
   1 narod	natovpom
   1 napovnennya	neordinarnimi
   1 napovnena	bagat
   1 naperedodnii	viboriiv
   1 namagannya	uspiihu
   1 nalashtovanih	Nataliiyu
   1 najyaskraviishim	z
   1 najvischu	posadu
   1 najposhireniishoyu	prichinoyu
   1 najmasshtabniishii	za
   1 najblizhche	otochennya
   1 najbiil	sh
   1 najavtoritetniishih	u
   1 nabrali	majzhe
   1 na	visokiij
   1 na	teritoriiyi
   1 na	stvorennya
   1 na	sesiiyi
   1 na	sam
   1 na	s
   1 na	rynke
   1 na	priioritetnostii
   1 na	prezidents
   1 na	pomsta
   1 na	poliitichniij
   1 na	parlaments
   1 na	oplatu
   1 na	marshrutku
   1 na	hvilii
   1 na	grani
   1 na	diiietu
   1 na	cej
   1 na	avtostanciiyi
   1 na	agentstvo
   1 na	LB
   1 na	Donbasii
   1 n	omu
   1 n	ogo
   1 mozhna	vvazhati
   1 mozhna	samostiijno
   1 mozhna	diistatisya
   1 mozhlivostyami	Ob
   1 mova	jshla
   1 most	dnepr
   1 moryakam	http
   1 moratoriya	dast
   1 moratorij	do
   1 momentu	pochalos
   1 moment	vseukrayins
   1 moment	napovnena
   1 moment	diviidendami
   1 mogli	vstignuti
   1 minulim	Vlada
   1 millionov	sobstvennikov
   1 miizh	zdavalosya
   1 miisyacii	vstig
   1 miistyat	posilannya
   1 miiscevostii	keriivnikami
   1 miisce	u
   1 miirkuvan	zmushenij
   1 mi	na
   1 mi	mogli
   1 mezhdu	sprosom
   1 merezhu	Vkontakte
   1 merezhah	Facebook
   1 mer	Odesi
   1 mene	bulo
   1 melkih	politicheskih
   1 me	na
   1 materiialiiv	scho
   1 materiialiiv	pryame
   1 masovo	ob
   1 masovii	protesti
   1 marshrutku	kupuyut
   1 manevri	davalisya
   1 manevrami	u
   1 mandati	za
   1 mami	Nataliiya
   1 mami	Borotisya
   1 mala	znachno
   1 mala	b
   1 majzhe	vtrichii
   1 majzhe	8
   1 majbutnya	Golova
   1 majbutniij	shestirazovij
   1 majbutniij	golova
   1 majbutn	omu
   1 ma	vplivovimi
   1 ma	viidsotkami
   1 ma	lyud
   1 lyustraciiyi	20
   1 lyudyam	teplo
   1 lyuds	kogo
   1 lyudini	prijnyav
   1 lyud	mi
   1 loyal	niistyu
   1 lona	biil
   1 listopada	Oleksandr
   1 lishe	liivih
   1 lishe	11
   1 lipnya	2016
   1 liivij	ruh
