   4 Visokij	Zamok
   1 togo	Logush
   1 tisyach	ii
   1 tezh	Kriim
   1 te	scho
   1 takozh	kiil
   1 ta	redaktor
   1 ta	p
   1 ta	eks
   1 sya	zakonom
   1 sya	za
   1 svoyih	zasobah
   1 suverennoyi	derzhavi
   1 stav	kolishniij
   1 stav	IFRAME
   1 statusu	ukrayins
   1 stan	sprav
   1 stan	Volodimir
   1 stan	Andriij
   1 sprav	u
   1 spiikera	YA
   1 sociialiistovii	doriiknuli
   1 sociialiistiiv	komuniistiiv
   1 slova	skandal
   1 slabku	ozvuchku
   1 skazhu	scho
   1 skandalu	Moroz
   1 skandal	Moroz
   1 shiidnyakiiv	Dyakuyu
   1 schos	pro
   1 scho	viidbulasya
   1 scho	vasha
   1 scho	s
   1 scho	derzhava
   1 scho	agresiiya
   1 samogo	eks
   1 sam	trivalij
   1 sajtu	____________________
   1 sajtii	Facebook
   1 sajt	ie
   1 s	ogodnii
   1 ruhiivcyam	dovodilosya
   1 rozvitok	kul
   1 rozpovsyudzhuyut	sya
   1 rozkritikuvav	Moroza
   1 rosiiyan	Taras
   1 rosiiyan	INS
   1 rosiijs	kogo
   1 roku	Vihodit
   1 rocii	nespodiivano
   1 redaktor	Sviitlana
   1 rechej	yakii
   1 raniishe	bula
   1 publisher	Facebook
   1 provina	tezh
   1 prorosiijs	ku
   1 prorosiijs	koyu
   1 promovi	perejshovshi
   1 pro	rozvitok
   1 pro	lyubov
   1 prisudzhuyut	za
   1 principovomu	YUriiyu
   1 pri	vladii
   1 prava	zahischenii
   1 poskarzhivsya	na
   1 posilannya	na
   1 ponad	100
   1 poliitiku	jogo
   1 poliitikoyu	__________________________________________________________________
   1 poliitika	sociialiistiiv
   1 poetichnih	zbiirok
   1 pochav	vimagati
   1 po	sajtu
   1 po	borot
   1 piidpiski	____________________
   1 piid	velikoyu
   1 perejshovshi	majzhe
   1 p	yatnicyu
   1 ozvuchku	YA
   1 ohoronyayut	sya
   1 oh	stav
   1 ogodnii	Ukrayina
   1 ogo	rosiijs
   1 ochevidnih	dlya
   1 obov	yazkovim
   1 oblastii	blokuvannyu
   1 obiijshlosya	bez
   1 novini	______________________________________________________________
   1 no	vigrizati
   1 nezalezhniistyu	nav
   1 nespodiivano	dlya
   1 neschadnii	diskusiiyi
   1 nepravij	koli
   1 ne	stav
   1 ne	obiijshlosya
   1 ne	lishe
   1 ne	dbaie
   1 ne	chuv
   1 nazivav	Rosiiyu
   1 navkolo	zdavalosya
   1 nav	yazuvannya
   1 nas	vismiiyuvali
   1 nami	shiidnyakiiv
   1 nam	ruhiivcyam
   1 nalezhat	na
   1 naklad	knizhok
   1 nagorodzhennya	vidavec
   1 nagorodzhennya	scho
   1 nagorodzhennya	eks
   1 nagadav	Morozu
   1 na	vsii
   1 na	te
   1 na	sajtii
   1 na	sajt
   1 na	krik
   1 na	dzherelo
   1 movi	ii
   1 movi	SHevchenka
   1 morozyata	kepkuvali
   1 mavpuvannyu	us
   1 materiialiiv	aktivne
   1 materiiali	rozpovsyudzhuyut
   1 materiiali	nalezhat
   1 masovoyi	iinformaciiyi
   1 majzhe	na
   1 lyubov	do
   1 lyakali	nami
   1 lishe	cherez
   1 liiteraturnomu	Oleksandra
   1 liiteraturnogo	rocii
   1 liiteraturnij	Koronaciiya
   1 liicenziiieyu	CC
   1 laureatiiv	liiteraturnogo
   1 laureat	konkursu
   1 kursu	Putiin
   1 kursu	Nataliiya
   1 kul	turii
   1 kul	turi
   1 ku	poliitiku
   1 krik	Logush
   1 koyu	poliitikoyu
   1 koyu	nezalezhniistyu
   1 koyi	oblastii
   1 koyi	movi
   1 konkursu	schos
   1 konkursu	YUriij
   1 konkursu	Andriij
   1 konkurs	liiteraturnij
   1 komuniistiiv	dovela
   1 kolishniij	golova
   1 koli	nazivav
   1 koh	poetichnih
   1 koh	knizhok
   1 kogo	Zgaduvalisya
   1 knizhok	ponad
   1 knizhok	konkurs
   1 kiinec	promovi
   1 kepkuvali	z
   1 ka	galereya
   1 ka	Zdorova
   1 jogo	provina
   1 jogo	neschadnii
   1 jogo	Socpartiiyi
   1 j	ohoronyayut
   1 iinformaciiyi	lyakali
   1 iinformaciiieyu	z
   1 ii	vruchayut
   1 ii	vina
   1 ii	principovomu
   1 ii	morozyata
   1 ii	mavpuvannyu
   1 ii	jogo
   1 ie	obov
   1 ie	avtorom
   1 https	www
   1 golova	Verhovnoyi
   1 gazetii	Reklama
   1 galereya	ProArt
   1 emociijno	nagadav
   1 embed	e
   1 eks	spiikera
   1 eks	sociialiistovii
   1 eks	Jogo
   1 e	AGvJAECyk
   1 dzherelo	j
   1 dzherel	Moroz
   1 dyakuyuchi	za
   1 drukom	u
   1 dovodilosya	bukval
   1 dovela	do
   1 doriiknuli	prorosiijs
   1 dodavshi	scho
   1 do	togo
   1 do	Ukrayini
   1 dlya	suverennoyi
   1 dlya	piidpiski
   1 dlya	bagat
   1 diskusiiyi	z
   1 diiyi	Oleksandra
   1 derzhavnogo	statusu
   1 derzhavii	zokrema
   1 derzhavi	rechej
   1 derzhava	ne
   1 dbaie	pro
   1 com	embed
   1 chuv	ne
   1 chlenom	zhurii
   1 chetver	ta
   1 chervnya	v
   1 cherez	slabku
   1 chas	nagorodzhennya
   1 chas	buv
   1 chas	Moroz
   1 cej	chas
   1 buv	pri
   1 buv	nepravij
   1 bula	chlenom
   1 bukval	no
   1 borot	bii
   1 blokuvannyu	derzhavnogo
   1 bii	z
   1 bezstrashnomu	ii
   1 bez	skandalu
   1 bagat	oh
   1 b	ochevidnih
   1 avtorom	kiil
   1 avtonomiiyi	Krims
   1 aktivne	posilannya
   1 agresiiya	Rosiiyi
   1 adresa	dlya
   1 a	takozh
   1 __________________________________________________________________	Zdorova
   1 __________________________________________________________________	Odnim
   1 __________________________________________________________________	Moskva
   1 __________________________________________________________________	Mistec
   1 ______________________________________________________________	ZHittya
   1 ______________________________________________________________	Novini
   1 ______________________________________________________________	Kontakti
   1 ______________________________________________________________	IInterv
   1 Zgiidno	z
   1 Zgaduvalisya	jogo
   1 Zamok	Gazeta
   1 ZHittya	Sport
   1 ZHittya	Daleke
   1 YUsov	CHi
   1 YUriiyu	laureat
   1 YUriij	Logush
   1 YAniina	Sokolova
   1 YA	zgaduvav
   1 YA	vam
   1 YA	togo
   1 Vsii	prava
   1 Voznyak	Putiin
   1 Volodimir	Okiilko
   1 Viin	emociijno
   1 Viideo	Foto
   1 Viideo	Blogi
   1 Vihodit	drukom
   1 Verhovnoyi	Radi
   1 V	yacheslavom
   1 Ukrayini	yiyi
   1 Ukrayini	Tekstovii
   1 Ukrayina	piid
   1 USD27	450
   1 U	viidpoviid
   1 Tekstovii	materiiali
   1 Taras	Voznyak
   1 Sviitlana	Sklyar
   1 Sport	Publiicistika
   1 Sport	IInterv
   1 Sokolova	Moskva
   1 Socpartiiyi	dodavshi
   1 Sklyar	yaka
   1 Salon	Ostannii
   1 SHukati	Globus
   1 SHevchenka	YA
   1 Rosiiyu	ne
   1 Rosiiyi	ce
   1 Reklama	v
   1 Reklama	na
   1 Redakciiya	______________________________________________________________
   1 Radi	ta
   1 RSS	USD27
   1 RSS	Elektronna
   1 Publiicistika	______________________________________________________________
   1 Prote	piid
   1 ProArt	Gallery
   1 Pri	vikoristannii
   1 Prava	na
   1 Poshuk	po
   1 Piidpisatisya	Visokij
   1 Piid	kiinec
   1 Piid	chas
   1 Ostannii	novini
   1 Okiilko	Besplatka
   1 Odnim	z
   1 Niicoj	Zgiidno
   1 Nataliiya	Balyuk
   1 ND	4
   1 NC	ND
   1 Morozu	scho
   1 Moroza	za
   1 Moroza	viznati
   1 Moroza	po
   1 Moroza	Na
   1 Moroza	Arhiiv
   1 Moroza	08
   1 Moroz	ii
   1 Moroz	ie
   1 Moroz	dyakuyuchi
   1 Moroz	INS
   1 Mistec	ka
   1 Logush	rozkritikuvav
   1 Logush	pochav
   1 Logush	Viin
   1 Logush	Piid
   1 Krims	koyi
   1 Kriim	togo
   1 Koronaciiya	slova
   1 Kontakti	Reklama
   1 Kiievii	ne
   1 Karikatura	Redakciiya
   1 Karikatura	Poshuk
   1 Jogo	viidznachili
   1 INS	You
   1 INS	Salon
   1 INS	IInterv
   1 IFRAME	https
   1 Globus	You
   1 Gazeta	zasnovana
   1 Gallery	Blogi
   1 Foto	Viideo
   1 Foto	Dozviillya
   1 Eliina	CHajkiivs
   1 Elektronna	adresa
   1 Ekonomiika	ZHittya
   1 Ekonomiika	Sport
   1 EUR31	230
   1 Dyakuyu	bezstrashnomu
   1 Dozviillya	______________________________________________________________
   1 CHornovolom	navkolo
   1 CHajkiivs	ka
   1 CC	BY
   1 Blogi	__________________________________________________________________
   1 Blogi	Viideo
   1 Blogi	Daleke
   1 Besplatka	INS
   1 Balyuk	Najbiil
   1 BY	NC
   1 BUTTON	SHukati
   1 BUTTON	Piidpisatisya
   1 Arhiiv	__________________________________________________________________
   1 Andriij	YUsov
   1 Andriij	Niicoj
   1 AGvJAECyk	yiyi
   1 A	v
   1 999	Piid
   1 7	veresnya
   1 7	chervnya
   1 450	18
   1 4	0
   1 230	12
   1 2018	18
   1 2006	a
   1 1991	roku
   1 18	EUR31
   1 18	999
   1 18	18
   1 12	Visokij
   1 100	tisyach
   1 08	06
   1 06	2018
   1 0	
