   5 Korrespondent	net
   1 nih	IEvropejs
   1 nezalezhnostii	viid
   1 nezalezhniist	sudu
   1 nezalezhniist	presi
   1 neviznannya	viboriiv
   1 net	v
   1 net	u
   1 net	rozpoviidaie
   1 net	TOP
   1 net	Pri
   1 net	Pravila
   1 net	5
   1 neprijnyatnoyi	situaciiyi
   1 neobhiidnij	tekst
   1 neobhiidniist	pripiniti
   1 nedavno	Moldova
   1 ne	povnij
   1 ne	obrana
   1 ne	bude
   1 natisniit	Ctrl
   1 nastupnih	viboriiv
   1 nastupne	poshirennya
   1 nash	kanal
   1 narodom	admiiniistraciiya
   1 narodna	partiiya
   1 nagaduie	vladii
   1 nadannya	fiinansovoyi
   1 nabrav	52
   1 na	viborcha
   1 na	te
   1 na	sumu
   1 na	sesiiyi
   1 na	pravah
   1 na	pauzu
   1 na	nash
   1 na	kolesah
   1 na	akciiyu
   1 na	Riizdvo1470
   1 na	Riizdvo
   1 na	Korrespondent
   1 na	IInterfaks
   1 mozhe	trivati
   1 moldavs	kimi
   1 mnogotysyachnye	protesty
   1 minulogo	tizhnya
   1 miizhnarodnimi	zobov
   1 miistom	keruvatime
   1 miistit	posilannya
   1 miil	jona
   1 meriiieyu	stolicii
   1 mera	IES
   1 me	korrespondentnet
   1 materiialu	Novini
   1 materiialiiv	zii
   1 materiialiiv	rozmiischenih
   1 materiialiiv	korrespondent
   1 materiialiiv	Giiperposilannya
   1 makrofiinansovoyi	dopomogi
   1 mail	rozsilka
   1 maie	buti
   1 lyudej	vijshli
   1 lyudej	na
   1 lyudej	do
   1 lyudej	Korrespondent
   1 lun	ua
   1 listopadii	Pri
   1 lipnya	2018
   1 liiderom	ievroiintegraciiyi
   1 liiderom	Shiidnogo
   1 liider	proievropejs
   1 liider	Shiidnogo
   1 kursy	valyut
   1 krizu	derzhavnih
   1 krayini	U
   1 kozhnogo	zruchnogo
   1 koyi	partiiyi
   1 koyi	diplomatiiyi
   1 koshtiiv	piislya
   1 korumpovanu	ta
   1 korrespondentnet	TEGI
   1 korrespondent	net
   1 kordonu	19
   1 kor	respondent
   1 kopiiyuvannya	publiikaciiya
   1 kopiiyuvannii	materiialiiv
   1 konstatuvali	scho
   1 konstatuvala	duzhe
   1 konkurenta	z
   1 kompaniij	Fiinansi
   1 komiisiiya	postanovila
   1 kolesah	Vinnii
   1 kimi	zakonami
   1 kiil	ka
   1 kii	shahrajstva
   1 kii	deputati
   1 kih	viboriiv
   1 keruvatime	ne
   1 keruvati	meriiieyu
   1 kandidati	agiituvali
   1 kanal	https
   1 ka	narodna
   1 ka	dniiv
   1 jpg	Varfolomiij
   1 jpg	Tretya
   1 jpg	Biidnij
   1 jona	dolariiv
   1 jogo	piidtverdiv
   1 iinternet	vidan
   1 iinstitutiiv	krayini
   1 iinformaciiyi	scho
   1 iinakomislyachih	Moldova
   1 ii	zamoroziv
   1 ii	zamorozili
   1 ii	verhovenstva
   1 ii	takimi
   1 ii	pravda
   1 ii	poobiicyala
   1 ii	natisniit
   1 ii	na
   1 ii	konstatuvala
   1 ii	garantuvati
   1 ii	Verhovnij
   1 ievropejs	koyi
   1 ievropejs	kii
   1 ievroiintegraciiyi	Odnak
   1 ievro	dopomogi
   1 ievro	do
   1 ievro	Kolishniij
   1 ieri	Afiisha
   1 iera	Podatki
   1 id	GTM
   1 https	t
   1 https	platform
   1 html	screen_name
   1 html	id
   1 habara	cukerkami1940
   1 habara	cukerkami
   1 googletagmanager	com
   1 gonki	v
   1 golosuvannya	peremozhcem
   1 golosuvannya	ne
   1 golosuvannya	bude
   1 golosuvannya	a
   1 golosiiv	Odnak
   1 giiperposilannya	Posilannya
   1 garantuvati	nezalezhniist
   1 frakciij	IEvroparlamentu
   1 fondu	na
   1 follow_button	html
   1 fiinansovoyi	dopomogi
   1 f32382af4	IFRAME
   1 ekspert1168	Korrespondent
   1 ekspert	Tretya
   1 duzhe	serjoznu
   1 dozvolyaiet	sya
   1 doviiru	lyudej
   1 dopomogu	viid
   1 dopomogu	IES
   1 dopomogi	z
   1 dopomogi	v
   1 dopomogi	ii
   1 dopomogi	SCHe
   1 dolariiv	Odnak
   1 do	parlaments
   1 do	nastupnih
   1 do	derzhustanov
   1 dniiv	odnak
   1 dlya	poshukovih
   1 dlya	iinternet
   1 diplomatiiyi	Federiika
   1 diplomat	Federiika
   1 deziinformaciiieyu	__________________________________________________________________
   1 derzhustanov	YA
   1 derzhavnih	iinstitutiiv
   1 deputati	zaproponuvali
   1 den	viboriiv
   1 den	golosuvannya
   1 demokratichno	obranogo
   1 demokratichnimi	ii
   1 demokratichnih	standartiiv
   1 demokratichnih	principiiv
   1 debatiiv	svoyi
   1 daleko	ne
   1 cukerkami1940	2253043
   1 cukerkami	Varfolomiij
   1 com	widgets
   1 com	ns
   1 ciila	nizka
   1 ciiieyi	neprijnyatnoyi
   1 cii	riishennya
   1 chinnim	a
   1 chi	nastupne
   1 chervnya	zalishiv
   1 chervnya	za
   1 chervnya	sud
   1 chervnya	projshli
   1 chervnya	jogo
   1 chekala	viid
   1 chastkovogo	vikoristannya
   1 ce	riishennya
   1 ce	redakciiyu
   1 c	omu
   1 c	ogo
   1 by	lun
   1 bula	liiderom
   1 bude	viznano
   1 bude	vikonuyuchij
   1 bude	Zgiidno
   1 bud	yakih
   1 borot	bii
   1 bo	viin
   1 biiznes	Sport
   1 biiznes	Kul
   1 biil	sh
   1 bii	z
   1 bigmir	net
   1 bankiivs	kii
   1 apelyaciijnij	sud
   1 anulyuvav	rezul
   1 alternate	alternate
   1 alternate	RUS
   1 ale	teper
   1 akciiyu	protestu
   1 agiituvali	v
   1 agiitaciiyi	u
   1 advokatiiv	yakii
   1 admiiniistraciiya	Vsii
   1 abzacii	materiialu
   1 abo	v
   1 abo	chastkovogo
   1 a	takozh
   1 a	25
   1 __________________________________________________________________	Novini
   1 ____________________	Znajti
   1 Znajti	Biiznes
   1 Zgodom	Central
   1 Zgiidno	z
   1 Zayava	Regiioni
   1 ZMII	ta
   1 ZHurnal	Korrespondent
   1 ZHURNAL	YA
   1 ZHURNAL	KORESPONDENT
   1 YAkscho	vi
   1 YA	zaklikayu
   1 YA	KORESPONDENT
   1 X	Oshibka
   1 Vsii	prava
   1 Vsii	cii
   1 Vse	kursy
   1 Vona	zaznachila
   1 Vlada	Vibori
   1 Vinnii	trendi
   1 Vikoristannya	materiialiiv
   1 Vikoristannya	bud
   1 Vibori	publiikuyut
   1 Vibori	2014
   1 Verhovnij	sud
   1 VSII	ROZDIILI
   1 VIIDEO	OPITUVANNYA
   1 VIIDEO	FOTO
   1 V	Moldove
   1 Ukrayinii	ekspert1168
   1 Ukrayinii	ekspert
   1 Ukrayina	Poliitika
   1 Ukrayina	Kiyiv
   1 Ukrayina	EPA
   1 USD	USD
   1 USD	27
   1 UPG	suvoro
   1 UKR	ZHURNAL
   1 U	viidpoviid
   1 U	IEP
   1 Teniis	Formula
   1 Telegram	Piidpisujtesya
   1 TV	programa
   1 TOP	100
   1 TEGI	ES
   1 TAKOZH	2253046
   1 Sviit	Rosiiya
   1 Sport	TV
   1 Sport	Futbol
   1 SHahi	CHS
   1 SCHe	nedavno
   1 SAJTU	____________________
   1 Rosiiya	SHou
   1 Rosiiya	Biiznes
   1 Riizdvo1470	2252843
   1 Riizdvo	Biidnij
   1 Reklama	na
   1 Regiioni	Groshii
   1 RUS	UKR
   1 RUB	0
   1 RU	Novini
   1 RSS	striichki
   1 ROZDIILI	Golovna
   1 RF	zvinuvativ
   1 Protestuyuchi	proti
   1 Protesti	v
   1 Pri	kopiiyuvannii
   1 Pri	c
   1 Pres	reliizi
   1 Pravila	koristuvannya
   1 Posilannya	maie
   1 Poliitika	Nauka
   1 Poisk	RU
   1 Podorozhii	IInter
   1 Podatki	Pres
   1 Platforma	Giidniist
   1 Piidpisujtesya	na
   1 Piidpishis	DOS
   1 Peredplati	Vsii
   1 POSHUK	PO
   1 POPULYARNII	Vibori
   1 PO	SAJTU
   1 P7KPL8	
   1 Oskar	Kiyiv
   1 Oshibka	IFRAME
   1 Oglyad	presi
   1 Odnak	v
   1 Odnak	sociialiist
   1 Odnak	situaciiya
   1 OPITUVANNYA	CITATA
   1 Novini	z
   1 Novini	viid
   1 Novini	kompaniij
   1 Novini	VSII
   1 Novij	nomer
   1 No	24
   1 Nestase	yakij
   1 Neruhomiist	ZMII
   1 Nauka	SHou
   1 Nauka	Nauka
   1 Nauka	Medicina
   1 Najbiil	sha
   1 NAJPOPULYARNIISHII	USD
   1 Muzika	Oskar
   1 Motori	Gadzheti
   1 Moldovu	v
   1 Moldovu	povazhati
   1 MoldoviiSyuzhet	Korrespondent
   1 Moldovii	peresliiduyut
   1 Moldovii	ii
   1 Moldovii	V
   1 Moldovii	IEvrosoyuz
   1 Moldovii	Do
   1 Moldovi	yaknajshvidshe
   1 Moldovi	skazala
   1 Moldovi	pro
   1 Moldovi	Zgodom
   1 Moldove	proshli
   1 Moldova	vvazhalasya
   1 Moldova	chekala
   1 Moldova	bula
   1 Moldova	Evrointegraciya
   1 Mogeriinii	zayavila
   1 Mogeriinii	vistupayuchi
   1 Mogeriinii	takozh
   1 Miizhnarodnogo	valyutnogo
   1 Medicina	Kosmos
   1 Lifestyle	Golovna
   1 Lifestyle	Fashion
   1 Kul	tura
   1 Kosmos	Lifestyle
   1 Korrespondent	No
   1 Kontakti	Reklama
   1 Kolishniij	liider
   1 Kiyiv	Sviit
   1 Kiyiv	Oglyad
   1 Kishinevu	makrofiinansovoyi
   1 Kishinevii	3
   1 Kishineva	tomu
   1 Kishineva	stav
   1 Kishineva	ii
   1 Kiino	Muzika
   1 Kar	iera
   1 KORESPONDENT	VIIDEO
   1 KORESPONDENT	Novij
   1 IT	Avto
   1 IIon	CHeban
   1 IInternet	ta
   1 IInterfaks	Ukrayina
   1 IInter	ieri
   1 IFRAME	www
   1 IFRAME	https
   1 IFRAME	f32382af4
   1 IEvrosoyuzii	viriishili
   1 IEvrosoyuz	zvinuvativ
   1 IEvropejs	ka
   1 IEvroparlamentu	Vona
   1 IEvroparlamentu	Najbiil
   1 IEvroparlamentii	projshli
   1 IEvroparlamentii	5
   1 IEvropa	na
   1 IEvrokomiisiiyi	zamoroziti
   1 IEvrodeputati	takozh
   1 IES	zamoroziv
   1 IES	za
   1 IES	viplati
   1 IES	u
   1 IES	IEvrodeputati
   1 IEP	takozh
   1 IE	FOTO
   1 Horoshii	novini
   1 Hokej	SHahi
   1 Groshovii	perekazi
   1 Groshii	Vlada
   1 Google	RSS
   1 Google	IFRAME
   1 Golovna	Ukrayina
   1 Golovna	Sviit
   1 Glava	ievropejs
   1 Giiperposilannya	dlya
   1 Giidniist	ii
   1 Gadzheti	Podorozhii
   1 GTM	P7KPL8
   1 GRUDNYA	2018
   1 Futbol	Boks
   1 Formula	1
   1 Food	Drinks
   1 Fiinansi	IInternet
   1 Fashion	Food
   1 Fashion	Fashion
   1 FOTO	VIIDEO
   1 FOTO	NAJPOPULYARNIISHII
   1 Evrointegraciya	transh
   1 Enter	schob
   1 Ekspertiza	Zayava
   1 Ekonomiika	Novini
   1 EUR	31
   1 ES	Moldova
   1 EPA	UPG
   1 E	mail
   1 Dumka	Ekspertiza
   1 Drinks	Motori
   1 Dogoviir	koristuvannya
   1 Do	debatiiv
   1 DOS	IE
   1 DNYA	POPULYARNII
   1 Ctrl	Enter
   1 Central	na
   1 Cej	spisok
   1 CITATA	DNYA
   1 CHudasiiyi	Horoshii
   1 CHeban	yakij
   1 CHS	2014
   1 CHITAJTE	TAKOZH
   1 Bud	yake
   1 Boks	Basketbol
   1 Biiznes	Nauka
   1 Biiznes	Ekonomiika
   1 Basketbol	Teniis
   1 Avtorizaciya	Poisk
   1 Avto	Neruhomiist
   1 Andriij	Nestase
   1 Afiisha	IEvropa
   1 816	viid
   1 8	miil
   1 7165	EUR
   1 7165	Avtorizaciya
   1 6565	RUB
   1 53	0
   1 52	5
   1 5	viidsotka
   1 5	lipnya
   1 5	chervnya
   1 4150	Vse
   1 33	8
   1 31	6565
   1 3	chervnya
   1 256	Eks
   1 25	chervnya
   1 24	816
   1 2253046	jpg
   1 2253043	jpg
   1 2252843	jpg
   1 21	chervnya
   1 2019	rocii
   1 2018	Arhiiv
   1 2018	19
   1 2014	Eks
   1 2014	CHudasiiyi
   1 20	GRUDNYA
   1 19	chervnya
   1 19	53
   1 100	X
   1 1	Hokej
   1 0	YAkscho
   1 0	4150
   1 0	256
