  10 sociialiistichnogo	realiizmu
   1 znachnij	vpliv
   1 znachnih	zagal
   1 znachennya	u
   1 znachennii	kolektivu
   1 zmushena	bula
   1 zmogi	oprilyudnyuvati
   1 zmiistovii	spryamovuyuchim
   1 zmiiniti	vektor
   1 zmiini	u
   1 zmiin	yakii
   1 zmiicniti	poliitichne
   1 zmiicnennya	admiiniistrativno
   1 zlam	v
   1 ziithnuvshis	z
   1 zii	starim
   1 zhurnaliistiki	na
   1 zhurnali	nischiivno
   1 zhorstku	kategorichnu
   1 zhodne	z
   1 zhive	tvorchiist
   1 zhittya	yakogo
   1 zhittya	rappiivcii
   1 zhittya	proste
   1 zhittya	nove
   1 zhittya	na
   1 zhittya	legendarnogo
   1 zhittya	iideyi
   1 zhittya	biil
   1 zhe	chas
   1 zhdet	abiturientov
   1 zhanrovu	specifiiku
   1 zhanri	zokrema
   1 zh	yakscho
   1 zh	sproschenoyu
   1 zh	odnobokoyu
   1 zgodom	diistavali
   1 zgadati	fejleton
   1 zemel	kosmosu
   1 zdiijsnyuvati	proces
   1 zdiijsniv	pershu
   1 zdiijsnennya	kul
   1 zdavalosya	b
   1 zdatnij	na
   1 zbiidnyuie	zvuzhuie
   1 zaznachenogo	periiodu
   1 zaznachenogo	dokumenta
   1 zaznachenij	periiod
   1 zavdannya	yake
   1 zavdannya	mistectva
   1 zavdannya	dlya
   1 zavdan	piidtrimuvali
   1 zavdan	mistectva
   1 zasviidchuyut	yih
   1 zastosuvannya	v
   1 zaregistrirovat	sya
   1 zaraz	stoyit
   1 zapitam	chasu
   1 zaluchati	do
   1 zalishiti	krayinu
   1 zaliiznicii	u
   1 zakrittya	Kamernogo
   1 zakriipilosya	v
   1 zakriipilas	u
   1 zaklikav	do
   1 zakiinchilosya	tragiichno
   1 zahodilisya	rozroblyati
   1 zagostryuyut	sya
   1 zagolovki	razdela
   1 zagal	nim
   1 zagal	nih
   1 zaboronoyu	nizki
   1 zaboronoyu	konkretnih
   1 zaboroni	tvorchostii
   1 za	sociial
   1 za	rubezhom
   1 za	respubliikans
   1 za	posliidovnu
   1 za	konkretnimi
   1 z	yizdu
   1 z	yavilisya
   1 z	vlastivimi
   1 z	viidobrazhennyam
   1 z	velicheznogo
   1 z	vazhlivih
   1 z	tvorchiistyu
   1 z	suchasnikom
   1 z	sub
   1 z	seredini
   1 z	revolyuciiieyu
   1 z	privodu
   1 z	praktichnim
   1 z	poyavoyu
   1 z	nerozumiinnyam
   1 z	mistectvom
   1 z	hudozhn
   1 z	gumaniistichnimi
   1 z	chlenami
   1 z	1930
   1 yu	logina
   1 yizdu	radyans
   1 yiyi	zhittya
   1 yiyi	pafos
   1 yim	zdiijsnyuvati
   1 yim	superechnostyami
   1 yihniij	dosyagnen
   1 yihniih	tvorchih
   1 yih	gasla
   1 yazyki	Vysshee
   1 yazuvannya	novogo
   1 yazki	z
   1 yazati	protiriichchya
   1 yazati	iideologiiyu
   1 yazanij	z
   1 yazanij	peredusiim
   1 yazanii	z
   1 yazali	svoyu
   1 yavisch	yak
   1 yavisch	v
   1 yavisch	ii
   1 yavilisya	vzhe
   1 yatdesyat	rokiiv
   1 yaskravij	priklad
   1 yaskrave	hudozhnie
   1 yaniinnya	spryamuvannya
   1 yaku	ocholyuvav
   1 yakscho	jdet
   1 yakoyu	kapiitaliistichna
   1 yakoyi	bulo
   1 yakostyami	toscho
   1 yakomu	prijnyali
   1 yakogo	zdiijsniv
   1 yakogo	skladne
   1 yakij	vinik
   1 yakij	spravedlivo
   1 yakij	ocholyuvav
   1 yakij	iinterpretuvali
   1 yakii	zgodom
   1 yakii	vona
   1 yakii	vimagali
   1 yakii	sklalisya
   1 yakii	schojno
   1 yakii	represiiyam
   1 yakii	etapi
   1 yakii	bazhayut
   1 yakih	teoretiki
   1 yakih	rozvitok
   1 yakih	piizniishe
   1 yake	zdavalosya
   1 yaka	piizniishe
   1 yaka	dopomagala
   1 yak	yaskravij
   1 yak	virazhennya
   1 yak	viidobrazhennya
   1 yak	staliins
   1 yak	sobii
   1 yak	metodologiichna
   1 yak	kritika
   1 yak	Tragiichna
   1 ya	Tol
   1 ya	Luchshie
   1 www	googletagmanager
   1 vzhe	z
   1 vzhe	viidbuvatimet
   1 vzhe	u
   1 vzhe	skladalisya
   1 vzagalii	viidmovilisya
   1 vzagalii	ne
   1 vzagalii	ii
   1 vy	avtomaticheski
   1 vvodiv	Usii
   1 vvazhav	scho
   1 vvazhali	roman
   1 vvazhali	liitfrontiivcii
   1 vuzy	v
   1 vuzy	Proforientaciya
   1 vuz	chastye
   1 vul	garizovanoyu
   1 vul	garizaciiyi
   1 vtupu	Bezkoshtovna
   1 vtiilennyam	u
   1 vtiilennya	tih
   1 vsyu	zhanrovu
   1 vstupu	Piidtrimka
   1 vstupu	Garantiiya
   1 vstanoviti	aktivnii
   1 vsiiieyi	iistoriiyi
   1 vsiih	perebiil
   1 vsiih	hto
   1 vsiih	etapah
   1 vsii	liiteraturno
   1 vse	novosti
   1 vrahuvati	ii
   1 vrahovuvati	ii
   1 vpliv	na
   1 vpertostii	j
   1 vorogom	sociialiistichnogo
   1 voprosy	Rejtingi
   1 voprosam	razmescheniya
   1 voni	uyavlyali
   1 voni	posliidovno
   1 vona	prinesla
   1 vona	maie
   1 volyuntarists	kimi
   1 vognyane	mogutnie
   1 vnutriishniimi	procesami
   1 vnutriishniimi	Otzhe
   1 vnesok	V
   1 vnasliidok	staliins
   1 vlastivimi	yim
   1 vlastiva	romantizaciiya
   1 vlasnii	koncepciiyi
   1 vkladalosya	u
   1 viznannyam	takih
   1 viznachennya	pevnoyu
   1 viznachennya	metodu
   1 viznachenii	osnovnii
   1 viznachali	najvazhliviishii
   1 viyavom	bezposeredniih
   1 viyavilosya	zvuzhennya
   1 viyavilasya	tendenciiya
   1 vivchennya	zhittya
   1 vivchati	analiizuvati
   1 vistupav	za
   1 visokogo	simvoliichnogo
   1 vishiiv	Anglomovne
   1 virok	v
   1 viroblyati	svoyi
   1 viroblennya	teoretichnoyi
   1 virazhennya	viidpoviidno
   1 vipadkah	dozvolyalosya
   1 vinik	ii
   1 vimog	metodu
   1 vimiiri	proletars
   1 vimagali	analiizu
   1 vikoristovuvavsya	povnoyu
   1 viklikala	do
   1 viitchiznyanoyi	ii
   1 viitali	revolyuciiyu
   1 viins	kij
   1 viin	ii
   1 viin	M
   1 viiku	Distanciijnii
   1 viijs	kovo
   1 viijs	kovih
   1 viijnoyu	piislyavoiennim
   1 viijni	tragiichnih
   1 viijni	a
   1 viidvertu	pryamoliiniijniist
   1 viidtvorennya	realiij
   1 viidtvorennii	zhittya
   1 viidtak	ii
   1 viidpoviidno	usviidomlenoyi
   1 viidpoviidno	do
   1 viidpoviidna	zmiistovii
   1 viidpoviidav	rappiivcii
   1 viidpoviidala	zapitam
   1 viidomij	rappiivs
   1 viidomij	dosliidnik
   1 viidobrazhennyam	konkretnih
   1 viidobrazhennya	procesiiv
   1 viidnoshennyah	skladnim
   1 viidmovilisya	viid
   1 viidmiinu	viid
   1 viidkrila	prostiir
   1 viidiigrali	u
   1 viidiigrala	rezolyuciiya
   1 viidchuttya	iednostii
   1 viidbuvatimet	sya
   1 viidbivali	real
   1 viidbittya	u
   1 viid	viidbittya
   1 viid	takoyi
   1 viid	romantichnogo
   1 viid	chasiiv
   1 viid	angliijs
   1 viid	18
   1 viglyadati	tak
   1 vidiiv	mistectva
   1 vidatnogo	ukrayins
   1 vidatnij	kiinodokumentaliist
   1 velichnih	novobudov
   1 velicheznogo	spisku
   1 veli	borot
   1 vektor	svogo
   1 vazhlivih	osoblivostej
   1 vam	otrimati
   1 v	vuz
   1 v	usiij
   1 v	tomu
   1 v	strashnomu
   1 v	skladnih
   1 v	radyans
   1 v	profesiiyi
   1 v	procesii
   1 v	praktichnomu
   1 v	organiizaciiyu
   1 v	okremih
   1 v	magistraturu
   1 v	krayinii
   1 v	kopiiyuvannii
   1 v	iistoriiyi
   1 v	iedinij
   1 v	hudozhniij
   1 v	hudozhn
   1 v	gostriij
   1 v	esteticii
   1 v	dobu
   1 v	Ukrayinii
   1 v	Ukraine
   1 v	Niimechchinii
   1 v	Latviiyi
   1 v	Facebook
   1 v	1938
   1 uyavlyali	yak
   1 uyavlyaiet	sya
   1 uvagu	pridiilyav
   1 uvagi	iideyu
   1 utvorilisya	samostiijnii
   1 utvorennya	samostiijnih
   1 utverdzhennyam	kul
   1 utverdil	sostav
   1 usviidomlenoyi	koncepciiyi
   1 ustanovku	rappiivs
   1 uspiishnogo	vtupu
   1 uspiishnogo	vstupu
   1 usloviyami	ispol
   1 usiilyakih	sprob
   1 usiij	yihniij
   1 usiih	sfer
   1 uniiversitetu	ta
   1 uniiversitetu	Piidgotovka
   1 umovi	neviidomii
   1 umov	sociialiistichnogo
   1 ukrayins	koyi
   1 ukrayins	kogo
   1 ukrayinciiv	sponsor_80_m
   1 ukrayinciiv	sponsor_42_m
   1 uchet	Voennoe
   1 uchenij	Kul
   1 ua	obyazatel
   1 ua	ZNO
   1 ua	Vysshee
   1 ua	Spasibo
   1 ua	Pyatnica
   1 u	zhittya
   1 u	zdiijsnennya
   1 u	zaznachenij
   1 u	vimiiri
   1 u	tvorah
   1 u	tih
   1 u	teoretichnomu
   1 u	te
   1 u	stanovlennii
   1 u	skladii
   1 u	seredovischii
   1 u	radyans
   1 u	psihologiiyi
   1 u	proletars
   1 u	prihil
   1 u	prakticii
   1 u	poliitichnomu
   1 u	pershii
   1 u	mistectvii
   1 u	koncepciiyi
   1 u	galuzii
   1 u	fiilosofiiyi
   1 u	estetichniij
   1 u	borot
   1 u	biik
   1 u	Pol
   1 u	Boyarcii
   1 u	20
   1 u	1990
   1 u	1940
   1 u	1932
   1 tyazhkih	represiij
   1 tvoru	CHerez
   1 tvoriiv	ta
   1 tvoriiv	do
   1 tvoriiv	avtori
   1 tvori	yakii
   1 tvori	perezhivali
   1 tvorchu	poliifoniichniist
   1 tvorchoyi	sili
   1 tvorchostii	vidatnogo
   1 tvorchostii	talanovitih
   1 tvorchostii	konkretnih
   1 tvorchostii	ii
   1 tvorchostii	do
   1 tvorchostii	Vzhe
   1 tvorchostii	Poshuk
   1 tvorchostii	Nadrukovana
   1 tvorchostii	M
   1 tvorchostii	B
   1 tvorchostii	A
   1 tvorchiistyu	pripadayut
   1 tvorchiistyu	pis
   1 tvorchiist	z
   1 tvorchiist	II
   1 tvorchii	zv
   1 tvorchii	poshuki
   1 tvorah	geroyiki
   1 turnoyi	revolyuciiyi
   1 turi	v
   1 turi	rozvitku
   1 turi	neobhiidno
   1 turi	ii
   1 turi	XX
   1 turi	Tragiichna
   1 turi	Revolyuciijna
   1 tura	Sociialiistichnij
   1 tura	Logika
   1 tura	Glavnaya
   1 tu	zhorstku
   1 trudovuyu	migraciyu
   1 transformuvalasya	viid
   1 tragiizmu	j
   1 tragiichno	Dlya
   1 tragiichnii	samogubstva
   1 tragiichnih	yavisch
   1 tragiichnih	dol
   1 tradiciij	sociial
   1 toscho	Na
   1 toscho	Cya
   1 torknulas	po
   1 tomu	scho
   1 tomu	ciikavitisya
   1 toki	v
   1 toj	zhe
   1 togo	chi
   1 todii	p
   1 to	yiyi
   1 tipovih	yavisch
   1 tiil	ki
   1 tiiieyi	tvorchoyi
   1 tiiieyi	dobi
   1 tih	zmiin
   1 tih	yakii
   1 tih	mitciiv
   1 termiina	yakij
   1 teritoriij	toscho
   1 teoriya	Turizm
   1 teoriiyi	zagostryuyut
   1 teoriiyi	leniiniizmu
   1 teoriiyi	j
   1 teoretiki	ii
   1 teoretichnoyi	koncepciiyi
   1 teoretichnomu	ii
   1 teoretichnogo	analiizu
   1 teoretichnii	poshuki
   1 teoretichnii	diskusiiyi
   1 teoretichne	obg3runtuvannya
   1 tendenciiya	iidealiizaciiyi
   1 tendenciij	realiistichnoyi
   1 temy	Vstupitel
   1 temi	transformuvalasya
   1 tema	ohoplyuie
   1 tem	u
   1 telefonu	044
   1 teatru	Tayirova
   1 te	zavdannya
   1 te	scho
   1 te	chi
   1 talanovitih	majstriiv
   1 taku	ustanovku
   1 taku	civiiliizaciiyu
   1 takozh	tvorchostii
   1 takozh	teoretichne
   1 takozh	kriteriiiem
   1 takoyi	poziciiyi
   1 takii	argumenti
   1 takih	tvoriiv
   1 takih	tragiichnih
   1 tak	yak
   1 tak	poyasnyuvav
   1 tak	dovgo
   1 taciiyu	Zavdannya
   1 taciiya	Navchannya
   1 ta	znannya
   1 ta	tvoriiv
   1 ta	speciial
   1 ta	podviijnogo
   1 ta	novu
   1 ta	molodshogo
   1 ta	iinshii
   1 ta	iinshih
   1 ta	iin
   1 ta	bagato
   1 ta	bagat
   1 t	iin
   1 t	T
   1 sya	viidpoviidno
   1 sya	rozv
   1 sya	pro
   1 sya	mistectvo
   1 sya	diskusiiyi
   1 sya	chas
   1 sya	Registriruyas
   1 svyata	monumental
   1 svoyu	dolyu
   1 svoyi	vlasnii
   1 svoyi	tvori
   1 svoiemu	iinterpretuyuchi
   1 svoie	miisce
   1 svogo	rozvitku
   1 svogo	klasu
   1 svobodi	tvorchostii
   1 sviitu	ii
   1 sviitosprijmannya	j
   1 sviidomostii	u
   1 sutii	usiih
   1 sutii	p
   1 suspiil	stva
   1 suspiil	nim
   1 suprovodzhuvalosya	represiiyami
   1 superechnostyami	negativnimi
   1 superechnostej	miizh
   1 superechlivoyu	bula
   1 superechlivii	procesi
   1 superechlive	SCHodo
   1 suchasnikom	real
   1 sub	iektivnoyu
   1 stvoryuie	schos
   1 stvorimo	taku
   1 stvorila	u
   1 stvoreno	iedinu
   1 stvo	Voprosy
   1 stva	Z
   1 studentiiv	u
   1 strashnomu	staliins
   1 stoyit	pered
   1 stoyati	klas
   1 stipendiiyi	Diiznajsya
   1 stereotipiiv	ii
   1 stepeni	bakalavra
   1 stavali	ob
   1 stav	povpredom
   1 starim	rujnuvalisya
   1 stanovlennii	praktiki
   1 stanovische	SRSR
   1 stan	moral
   1 staliins	komu
   1 staliins	kii
   1 staliins	kih
   1 stali	ob
   1 stala	ob
   1 st	yak
   1 st	koli
   1 st	Rozdiili
   1 st	Liiteratura
   1 ssylka	na
   1 spryamuvannya	os
   1 spryamovuyuchim	oriiientirom
   1 sproschenoyu	vul
   1 sprobi	zv
   1 sprob	zmiicniti
   1 spravedlivo	piidkresliv
   1 sponsor_81_m	jpg
   1 sponsor_80_m	jpg
   1 sponsor_75_m	jpg
   1 sponsor_42_m	jpg
   1 sponsor_36_m	jpg
   1 spisku	tih
   1 spiralasya	na
   1 spiil	noyi
   1 speciial	nostii
   1 specifiiku	konkretnih
   1 specifiiku	jogo
   1 special	nostyam
   1 spadschinu	lishe
   1 spadkovostii	v
   1 soznaniya	M
   1 sostav	NAZYAVO
   1 sokratit	trudovuyu
   1 soglashaetes	s
   1 sociialiistichnogo	suspiil
   1 sociialiistichnogo	akademiiya
   1 sociialiistichnij	realiizm
   1 sociialiistichnih	revolyuciij
   1 sociial	nostii
   1 sociial	nogo
   1 sociial	nim
   1 sociial	ne
   1 sobii	a
   1 smertii	U
   1 smertel	nij
   1 sluzhili	iinteresam
   1 slavetnogo	perel
   1 sklavsya	na
   1 sklalisya	u
   1 skladnimi	vnutriishniimi
   1 skladnim	procesom
   1 skladnii	psihologiichnii
   1 skladnii	hudozhnii
   1 skladnih	procesah
   1 skladne	ii
   1 skladii	ekspediciiyi
   1 skladalisya	u
   1 skladaiet	sya
   1 skazav	tomu
   1 sistemi	utverdzhennyam
   1 sistema	kontrolyu
   1 sistem	Kontakty
   1 simvoliichnogo	zvuchannya
   1 sili	yaka
   1 shukannyah	osobi
   1 shoyi	dolii
   1 shostii	z
   1 shogo	zmiicnennya
   1 shogo	rozvitku
   1 shlyahiiv	viidtvorennya
   1 shlyahiiv	pobudovi
   1 shlyahami	Kochubeya
   1 shkola	1997
   1 shkiil	populyarizaciiyi
   1 shkiil	nogo
   1 shirokim	suspiil
   1 shirokih	diskusiij
   1 shim	shirokim
   1 shij	rozvitok
   1 shiist	rosiijs
   1 shennyah	teoretichnii
   1 shematizmu	u
   1 sh	shirokih
   1 sh	masovim
   1 sh	adekvatne
   1 sformul	ovane
   1 sfer	naciional
   1 sertifikatov	ZNO
   1 seredovischii	hudozhn
   1 seredinu	1920
   1 seredini	20
   1 schos	na
   1 schojno	pochinali
   1 schodo	zvedennya
   1 schodo	viroblennya
   1 schodo	problem
   1 scho	vzhe
   1 scho	voni
   1 scho	viidpoviidav
   1 scho	u
   1 scho	suprovodzhuvalosya
   1 scho	sociial
   1 scho	sklavsya
   1 scho	skladaiet
   1 scho	prohodila
   1 scho	pochali
   1 scho	ii
   1 scho	g3runtuiet
   1 schiro	perekonanii
   1 schirih	perekonan
   1 schii	Otrimati
   1 schii	Napechatat
   1 schii	Dostupna
   1 sche	ne
   1 sankciionovana	M
   1 samostiijnii	derzhavi
   1 samostiijnih	derzhav
   1 samogubstva	S
   1 same	viin
   1 same	tii
   1 same	A
   1 s	pomosch
   1 s	politikoj
   1 s	k
   1 rujnuvalisya	principi
   1 ruhu	okupovanih
   1 rubezhom	In
   1 rr	vona
   1 rr	problemi
   1 rozvitok	sociialiistichnogo
   1 rozvitok	mistectva
   1 rozvitku	sociialiistichnogo
   1 rozvitku	shkiil
   1 rozvitku	riiznomaniitnih
   1 rozvitku	radyans
   1 rozvitku	naciional
   1 rozvitku	mistectva
   1 rozvitku	diitej
   1 rozvitku	Vischa
   1 rozv	yazati
   1 rozumiinnya	problem
   1 rozstriilyanogo	v
   1 rozshifrovkoyu	Tragiichnij
   1 rozroblyati	problemi
   1 rozrobka	viijs
   1 rozpadu	SRSR
   1 rozglyadatisya	s
   1 rozglyadati	poza
   1 rosiijs	kih
   1 romantizm	yakij
   1 romantizaciiya	revolyuciiyi
   1 romantichnoyi	Pri
   1 romantichnogo	nachala
   1 roman	O
   1 rolii	ii
   1 rol	u
   1 rol	schodo
   1 rokom	ii
   1 rokom	1
   1 rokiiv	viyavilosya
   1 rokiiv	rozvitku
   1 rokiiv	praktichno
   1 rokiiv	ne
   1 rokiiv	mistectvo
   1 rokiiv	bula
   1 rokiiv	aktivno
   1 rokiiv	Znachna
   1 rokiiv	XX
   1 rokiiv	Viriishal
   1 roki	viyavilasya
   1 roki	tu
   1 roki	sviitosprijmannya
   1 roki	skladnii
   1 roki	pov
   1 roki	osnovne
   1 roki	ohoplenii
   1 roki	nabuli
   1 roki	mozhut
   1 roki	formuvalasya
   1 roki	chleni
   1 roki	Z
   1 roki	To
   1 roki	Ne
   1 roki	M
   1 roki	Liiteraturoznavstvo
   1 rokami	z
   1 robilisya	nagolosi
   1 robiitnika	to
   1 risi	ii
   1 ris	real
   1 riiznomaniitnih	navichok
   1 riivnya	togo
   1 riik	piislya
   1 rezolyuciiya	CK
   1 revolyuciiyu	ii
   1 revolyuciiyi	narkom
   1 revolyuciiyi	namagannya
   1 revolyuciiyi	M
   1 revolyuciijnim	rokom
   1 revolyuciij	yak
   1 revolyuciiieyu	Osoblivogo
   1 resursov	pryamoj
   1 respubliikans	ku
   1 represovanogo	ii
   1 represiiyi	u
   1 represiiyami	organiizaciiyami
   1 represiiyam	ii
   1 represiij	zakiinchilosya
   1 represiij	v
   1 reklamy	bigmir
   1 regulirovanie	Deloproizvodstvo
   1 reforma	pomozhet
   1 realiizmu	v
   1 realiizmu	stali
   1 realiizmu	spiralasya
   1 realiizmu	projshlo
   1 realiizmu	nagoloshuie
   1 realiizmu	maie
   1 realiizmu	Vodnochas
   1 realiizmu	Sociialiistichnij
   1 realiizmu	Peremoga
   1 realiizmu	Arhitektura
   1 realiizmovii	scho
   1 realiistichnoyi	ii
   1 realiij	buttya
   1 real	noyi
   1 real	no
   1 real	nim
   1 real	niistyu
   1 real	nii
   1 razmescheniya	informacii
   1 razdela	Osvita
   1 rappiivs	kij
   1 rappiivs	kii
   1 rappiivciiv	schodo
   1 rappiivcii	vzagalii
   1 rappiivcii	vvazhali
   1 rappiivcii	protistavlyali
   1 rappiivcii	ototozhnyuvali
   1 radostii	povne
   1 r	zhittya
   1 r	u
   1 r	privela
   1 r	jogo
   1 publiicistichniist	viznachennya
   1 psihologiiyi	lyudej
   1 psihologiichnogo	analiizu
   1 psihologiichnii	perezhivannya
   1 psihiiki	ii
   1 psevdoromantiki	rappiivcii
   1 pryamoliiniijnu	formu
   1 pryamoliiniijniist	deklarativniist
   1 pryamoj	giperssylki
   1 protistavlyali	romantizm
   1 protiriichchya	miizh
   1 protiriich	tiiieyi
   1 protidiiieyu	zmushena
   1 proti	tvorchostii
   1 proti	stereotipiiv
   1 proti	prihil
   1 prostiir	dlya
   1 proste	ii
   1 proshlogo	Estetika
   1 propagandists	kii
   1 propagandi	kul
   1 proletars	komu
   1 proletars	kogo
   1 proletars	kih
   1 proletars	ke
   1 projshov	shlyahami
   1 projshlo	piivviikovu
   1 prohodit	formuvannya
   1 prohodila	v
   1 programi	obmiinu
   1 progoloshennyam	svobodi
   1 progoloshennya	vorogom
   1 profesiiyi	ii
   1 procesu	peremogi
   1 procesom	podal
   1 procesom	Nove
   1 procesiiv	rozvitku
   1 procesii	formuvannya
   1 procesi	pochalisya
   1 procesami	vnutriishniimi
   1 procesah	rozvitku
   1 proces	scho
   1 proces	20
   1 problemi	tvorchogo
   1 problemi	metodologiiyi
   1 problemam	teoriiyi
   1 problemah	Tak
   1 problema	tvorchogo
   1 problem	partizans
   1 problem	mistectva
   1 problem	geroya
   1 pro	robiitnika
   1 prizhivsya	Mistectvo
   1 privodu	fiil
   1 priviiv	do
   1 prirodi	hudozhn
   1 pripadayut	na
   1 prinesla	M
   1 principi	spadkovostii
   1 principi	rozvitku
   1 principami	tvorchostii
   1 priklad	superechnostej
   1 prijnyattya	zaznachenogo
   1 prijnyali	Pershii
   1 pridiilyav	problemam
   1 prekrasnogo	v
   1 predstavnik	RAPPu
   1 predpriyatiya	Ekonomicheskaya
   1 pravdivostii	v
   1 pravdivo	ii
   1 praktiku	maie
   1 praktiki	scho
   1 praktiki	partiijnogo
   1 praktiki	mistectva
   1 praktika	stvorila
   1 prakticii	partiijnogo
   1 prakticii	adzhe
   1 praktichnomu	viidnoshennyah
   1 praktichno	vsii
   1 praktichno	pozbavlyalisya
   1 praktichnim	vtiilennyam
   1 pracyuvati	Same
   1 poziciiyi	viidomij
   1 poziciiyi	mitcya
   1 poziciiya	rappiivciiv
   1 poziciiya	A
   1 poziciij	90
   1 pozbavlyalisya	mozhlivostii
   1 pozbavlennya	liiteraturnih
   1 pozbavlena	pomilok
   1 poza	procesom
   1 poyavoyu	ii
   1 poyasnyuvav	koncepciiyu
   1 povpredom	radyans
   1 povnoyu	miiroyu
   1 povniistyu	viidpoviidala
   1 povne	vpertostii
   1 povne	tragiizmu
   1 pov	yazanii
   1 pov	yazali
   1 potreba	ne
   1 postupovo	nabuvali
   1 postattyu	neordinarnoyu
   1 postatii	z
   1 postanovku	p
   1 posliidovnu	iideologiizaciiyu
   1 posliidovno	sluzhili
   1 poshukiiv	ii
   1 poshukiiv	dlya
   1 poshuki	zaznachenogo
   1 poshuki	mitciiv
   1 poshuki	hudozhniih
   1 poruch	z
   1 poputnikiiv	Spirayuchis
   1 populyarnih	todii
   1 populyarizaciiyi	viitchiznyanoyi
   1 ponyattya	najbiil
   1 pomozhet	sokratit
   1 pomosch	yu
