   4 verhovenstva	prava
   1 viidpoviidayut	vvazhaie
   1 viidkritij	diialog
   1 viidklikano	bude
   1 viid	povnogo
   1 viid	nih
   1 viid	20
   1 vidiiliit	neobhiidnij
   1 vidan	povinna
   1 vi	pomiitili
   1 vesti	viidkritij
   1 valyut	27
   1 v	yakih
   1 v	socmerezhah
   1 v	piidzagolovku
   1 v	pershomu
   1 v	nezalezhnostii
   1 v	napryamku
   1 v	c
   1 v	IEvropejs
   1 v	IEvroparlamentii
   1 upevnenij	deputat
   1 umovi	posilannya
   1 ukrayins	koyu
   1 ukrayins	kogo
   1 ugodu	zayaviv
   1 ugodu	bude
   1 ugodi	viice
   1 ugoda	pro
   1 ua	CHITAJTE
   1 u	zv
   1 twitter	com
   1 tura	Kiino
   1 trendi	ZHURNAL
   1 tovari228	Korrespondent
   1 tovari	Kiyiv
   1 togo	schob
   1 togo	chomu
   1 termiini	ociinki
   1 tekst	ii
   1 takozh	zapevniv
   1 takozh	ochiikuiemo
   1 takozh	budut
   1 takozh	Partiiya
   1 takim	chinom
   1 ta	reklama
   1 ta	eks
   1 ta	IT
   1 ta	IES
   1 sya	za
   1 sya	v
   1 sya	na
   1 sya	bigmir
   1 suvoro	zaboronyaiet
   1 sturbovaniist	u
   1 striichki	E
   1 stosovno	kolishn
   1 spravoyu	Timoshenko
   1 sposiib	vesti
   1 spodiivaiemosya	scho
   1 spiivpracyu	bula
   1 socmerezhah	Facebook
   1 sociialiistiiv	skazav
   1 sociialiisti	piidtrimuyut
   1 skazav	scho
   1 skazav	mi
   1 situaciiyu	upevnenij
   1 situaciiieyu	navkolo
   1 sistem	giiperposilannya
   1 sil	nu
   1 sil	nij
   1 siichnya	2012
   1 signalu	pro
   1 signal	scho
   1 shlyahom	ievropejs
   1 shii	poliitichnii
   1 screen_name	kor
   1 schodo	zmiicnennya
   1 schodo	zahistu
   1 schodo	Ukrayini
   1 schob	poviidomiti
   1 schob	dopomogti
   1 scho	vzhe
   1 scho	vsii
   1 scho	ugodu
   1 scho	ugoda
   1 scho	nashii
   1 scho	miistit
   1 scho	mi
   1 scho	iinodii
   1 scho	ievropejs
   1 scho	dedlajnu
   1 scho	cya
   1 scho	Partiiya
   1 sajtom	ZHurnal
   1 sajtom	Dogoviir
   1 sajtii	dozvolyaiet
   1 sajtii	Vikoristannya
   1 ruhaiet	sya
   1 rozsilka	Kontakti
   1 rozmiischenih	na
   1 rozdiilu	Poliitika
   1 rozcharuvannya	sturbovaniist
   1 roku	ii
   1 rezolyuciij	schodo
   1 respondent	Facebook
   1 reliizi	Groshovii
   1 reklami	Bud
   1 reklama	Kar
   1 regiioniiv	zajme
   1 regiioniiv	ruhaiet
   1 regiioniiv	nablizitisya
   1 regiioniiv	budut
   1 regiioniiv	ale
   1 regiioniiv	Ukrayina
   1 regiioniiv	PASD
   1 regiioniiv	Foto
   1 regiioniiv	20
   1 redakciiyu	powered
   1 radii	Najkraschij
   1 publiikuyut	sya
   1 publiikaciiya	peredruk
   1 prosuvatisya	shlyahom
   1 prosuvannya	v
   1 programa	Lifestyle
   1 procesi	yakii
   1 pro	prosuvannya
   1 pro	pitannya
   1 pro	mozhlivii
   1 pro	ce
   1 pro	asociiaciiyu
   1 prichinoyu	togo
   1 presi	Sport
   1 prem	iera
   1 pravah	reklami
   1 prava	zahischenii
   1 prava	na
   1 prava	demokratiiyi
   1 poznachkami	Dumka
   1 poziciiyu	schodo
   1 powered	by
   1 povnogo	abo
   1 povinna	buti
   1 poviidomiti	pro
   1 poviidomili	pro
   1 povazhati	ciinnostii
   1 pov	yazanii
   1 posilannyam	na
   1 poshukovih	sistem
   1 poshirennya	iinformaciiyi
   1 pomilku	vidiiliit
   1 pomiitili	pomilku
   1 poliitiki	IEvropejs
   1 poliitik	Viin
   1 poliitik	Raniishe
   1 poliitichna	grupa
   1 poliipshiti	abo
   1 platform	twitter
   1 planuie	viidklikati
   1 pitannya	z
   1 pitannya	pro
   1 pitan	zovniishn
   1 piidzagolovku	abo
   1 piidtrimuyut	ievropejs
   1 piidtrimuiemo	Z
   1 piidtrimki	verhovenstva
   1 piidpisana	dlya
   1 piidpisali	cyu
   1 pershomu	abzacii
   1 perekazi	Sviit
   1 peredruk	chi
   1 partnerom	yakoyi
   1 partneri	takozh
   1 partiiyi	v
   1 partiiyi	partnerom
   1 partiiyi	hochut
   1 parlamentu	Liibor
   1 parlamentii	ne
   1 oyi	poliitiki
   1 omu	viin
   1 omu	napryamku
   1 omu	absolyutno
   1 ogo	roku
   1 ogo	prem
   1 ociinki	ugodi
   1 ociinki	na
   1 ociinka	Ugoda
   1 ochiikuvannya	zayaviv
   1 nu	poziciiyu
   1 ns	html
   1 novini	rozdiilu
   1 novini	Ukrayina
   1 nomer	Arhiiv
   1 nizki	rezolyuciij
   1 nij	signal
   1 niistyu	grupoyu
   1 nih	sil
   1 nezalezhnostii	viid
   1 net	v
   1 net	TOP
   1 net	Pri
   1 net	Pravila
   1 neobhiidnij	tekst
   1 nennya	YUliiyi
   1 nemaie	Ale
   1 ne	zgodnii
   1 ne	viidpoviidayut
   1 ne	radii
   1 ne	planuie
   1 ne	govorimo
   1 navkolo	Timoshenko
   1 natisniit	Ctrl
   1 nastupne	poshirennya
   1 nashii	partneri
   1 nashii	ochiikuvannya
   1 narodnoyi	partiiyi
   1 narodniki	buli
   1 napryamku	zahistu
   1 napryamku	schodo
   1 napryamkom	piidtrimki
   1 namiir	viidklikati
   1 najblizhchim	chasom
   1 najbiil	shii
   1 nagolosiv	ievropejs
   1 nagadav	scho
   1 nablizitisya	do
   1 na	pravah
   1 na	pitannya
   1 na	liidera
   1 na	kolesah
   1 na	adresu
   1 na	Korrespondent
   1 na	IInterfaks
   1 na	IES449
   1 na	IES
   1 mozhlivii	termiini
   1 model	ekonomiiki361
   1 model	ekonomiiki
   1 miizh	Ukrayinoyu
   1 miistit	posilannya
   1 miistilisya	kritichnii
   1 mi	takozh
   1 mi	spodiivaiemosya
   1 mi	piidpisali
   1 materiialu	Novini
   1 materiialiiv	zii
   1 materiialiiv	rozmiischenih
   1 materiialiiv	korrespondent
   1 materiialiiv	Giiperposilannya
   1 mail	rozsilka
   1 maie	namiir
   1 maie	buti
   1 lyudini	Ce
   1 lun	ua
   1 liidera	grupi
   1 kursy	valyut
   1 ku	iintegraciiyu
   1 kritichnii	ociinki
   1 koyu	Partiiieyu
   1 koyi	narodnoyi
   1 koyi	iintegraciiyi
   1 korrespondent	net
   1 kor	respondent
   1 kopiiyuvannya	publiikaciiya
   1 kopiiyuvannii	materiialiiv
   1 komu	parlamentii
   1 kompaniij	Fiinansi
   1 kolishn	ogo
   1 kolesah	Vinnii
   1 kogo	parlamentu
   1 kogo	keriivnictva
   1 kij	poliitik
   1 kiivschina	Same
   1 kiincya	c
   1 kii	tovari228
   1 kii	tovari
   1 kii	narodniki
   1 keriivnictva	zokrema
   1 jti	napryamkom
   1 jpg	Kiyiv
   1 jpg	Grojsman
   1 jpeg	Poroshenko
   1 iinternet	vidan
   1 iintegraciiyu	Ukrayini
   1 iintegraciiyi	Mi
   1 iintegraciiya	Zaraz
   1 iintegraciiya	A
   1 iinshogo	boku
   1 iinodii	mi
   1 iinodii	ie
   1 iiniiciiatorami	nizki
   1 iinformaciiyi	scho
   1 ii	takim
   1 ii	natisniit
   1 ii	mi
   1 ii	ce
   1 ievropejs	ku
   1 ievropejs	koyi
   1 ievropejs	kij
   1 ievroparlament	IES
   1 ieri	Afiisha
   1 iera	YUliiyi
   1 iera	Podatki
   1 ie	v
   1 ie	drugoyu
   1 ie	deyake
   1 ie	Bat
   1 id	GTM
   1 https	platform
   1 html	screen_name
   1 html	id
   1 hochut	prosuvatisya
   1 grupoyu	v
   1 grupi	z
   1 grupa	IEvropejs
   1 grupa	IEvroparlamentu
   1 govoriti	pro
   1 govorimo	pro
   1 googletagmanager	com
   1 golovi	IEvroparlamentu
   1 giiperposilannya	Posilannya
   1 follow_button	html
   1 f32382af4	IFRAME
   1 eks	golovi
   1 ekonomiiki361	2253910
   1 ekonomiiki	Grojsman
   1 drugoyu	za
   1 dozvolyaiet	sya
   1 dopomogti	Ukrayinii
   1 do	kiincya
   1 do	IES
   1 dlya	togo
   1 dlya	poshukovih
   1 dlya	iinternet
   1 diiie	do
   1 diialog	govoriti
   1 deyake	rozcharuvannya
   1 deputat	Viidpoviidayuchi
   1 demokratiiyi	prav
   1 demokratiiv	v
   1 demokratiiv	Hanne
   1 dedlajnu	nemaie
   1 cyu	ugodu
   1 cya	poliitichna
   1 com	widgets
   1 com	ns
   1 cim	ciinnostyam
   1 ciinnostyam	ne
   1 ciinnostii	na
   1 chomu	mi
   1 chisel	niistyu
   1 chinom	poliipshiti
   1 chi	nastupne
   1 chekaie	viid
   1 chastkovogo	vikoristannya
   1 chasom	Partiiya
   1 ce	redakciiyu
   1 ce	piidtrimuiemo
   1 ce	bulo
   1 c	ogo
   1 by	lun
   1 bulo	prichinoyu
   1 buli	iiniiciiatorami
   1 bula	piidpisana
   1 budut	povazhati
   1 budut	jti
   1 bude	zroblena
   1 bude	viidklikano
   1 bud	yakih
   1 boku	mi
   1 biiznes	Sport
   1 biiznes	Kul
   1 bigmir	net
   1 bachiti	sil
   1 bachiti	ii
   1 asociiaciiyu	miizh
   1 alternate	alternate
   1 alternate	RUS
   1 ale	chekaie
   1 al	yans
   1 adresu	ukrayins
   1 abzacii	materiialu
   1 absolyutno	ne
   1 abo	zmiiniti
   1 abo	v
   1 abo	chastkovogo
   1 a	takozh
   1 ____________________	Znajti
   1 Zustriich	YAnukovicha
   1 Znajti	Biiznes
   1 Zayava	Regiioni
   1 Zaraz	mi
   1 ZMII	z
   1 ZMII	ta
   1 ZHurnal	Korrespondent
   1 ZHURNAL	YA
   1 ZHURNAL	KORESPONDENT
   1 Z	iinshogo
   1 YAnukovicha	ta
   1 YAnukovich	ievroparlament
   1 YAkscho	vi
   1 YA	KORESPONDENT
   1 X	Oshibka
   1 Vsii	prava
   1 Vsii	novini
   1 Vse	kursy
   1 Vlada	Vibori
   1 Vinnii	trendi
   1 Vikoristannya	materiialiiv
   1 Vikoristannya	bud
   1 Viin	takozh
   1 Viin	nagadav
   1 Viidpoviidayuchi	na
   1 Vibori	publiikuyut
   1 Vibori	2014
   1 VSII	ROZDIILI
   1 VIIDEO	OPITUVANNYA
   1 VIIDEO	FOTO
   1 V	Ukrayinii
   1 Ukrayinoyu	ta
   1 Ukrayinii	zokrema
   1 Ukrayinii	vsii
   1 Ukrayinii	vkotre
   1 Ukrayinii	a
   1 Ukrayinii	Partiiyi
   1 Ukrayinii	Ce
   1 Ukrayini	v
   1 Ukrayini	V
   1 Ukrayina	Vsii
   1 Ukrayina	IES
   1 Ukrayina	EPA
   1 Ugoda	diiie
   1 USD	USD
   1 USD	27
   1 UPG	suvoro
   1 UKR	ZHURNAL
   1 Timoshenko	cim
   1 Timoshenko	SPECTEMA
   1 Timoshenko	Peregovori
   1 Timoshenko	Mi
   1 Teniis	Formula
   1 TV	programa
   1 TOP	100
   1 TEGI	YAnukovich
   1 TAKOZH	2253449
   1 Svoboda	poviidomili
   1 Sviit	Rosiiya
   1 Sviit	Biiznes
   1 Sport	TV
   1 Sport	Futbol
   1 Same	ievropejs
   1 SPECTEMA	Mozhlive
   1 SHahi	CHS
   1 SAJTU	____________________
   1 Ruchek	Viin
   1 Ruchek	Pri
   1 Rosiiya	SHou
   1 Reklama	na
   1 Regiioni	Groshii
   1 Raniishe	ZMII
   1 RUS	UKR
   1 RUB	0
   1 RU	Novini
   1 RSS	striichki
   1 ROZDIILI	Golovna
   1 Progresivnij	al
   1 Pri	kopiiyuvannii
   1 Pri	c
   1 Pres	reliizi
   1 Pravila	koristuvannya
   1 Posilannya	maie
   1 Poliitika	POSHUK
   1 Poliitika	Nauka
   1 Poliitika	Kiyiv
   1 Poisk	RU
   1 Podorozhii	IInter
   1 Podatki	Pres
   1 Piidpishis	DOS
   1 Persha	grupa
   1 Peregovori	pro
   1 Peredplati	Vsii
   1 POSHUK	PO
   1 POPULYARNII	Vibori
   1 PO	SAJTU
   1 PASD	ie
   1 P7KPL8	
   1 Oskar	Kiyiv
   1 Oshibka	IFRAME
   1 Oglyad	presi
   1 OPITUVANNYA	CITATA
   1 Novini	z
   1 Novini	kompaniij
   1 Novini	VSII
   1 Novij	nomer
   1 No	24
   1 Neruhomiist	ZMII
   1 Nauka	SHou
   1 Nauka	Nauka
   1 Nauka	Medicina
   1 Najkraschij	sposiib
   1 NAJPOPULYARNIISHII	USD
   1 Muzika	Oskar
   1 Mozhlive	zviil
   1 Motori	Gadzheti
   1 Mi	ochiikuiemo
   1 Mi	ce
   1 Mi	c
   1 Medicina	Kosmos
   1 Liibor	Ruchek
   1 Lifestyle	Golovna
   1 Lifestyle	Fashion
   1 Kul	tura
   1 Kosmos	Lifestyle
   1 Korrespondent	No
   1 Kontakti	Reklama
   1 Kiyiv	Sviit
   1 Kiyiv	Oglyad
   1 Kiino	Muzika
   1 Kar	iera
   1 KORESPONDENT	VIIDEO
   1 KORESPONDENT	Novij
   1 IT	Avto
   1 IInternet	ta
   1 IInterfaks	Ukrayina
   1 IInter	ieri
   1 IFRAME	www
   1 IFRAME	https
   1 IFRAME	f32382af4
   1 IEvropejs	koyi
   1 IEvropejs	komu
   1 IEvropejs	kogo
   1 IEvroparlamentu	maie
   1 IEvroparlamentu	Buzeka
   1 IEvroparlamentii	Persha
   1 IEvropa	na
   1 IES449	2253952
   1 IES	TEGI
   1 IES	Poroshenko
   1 IES	Partiiya
   1 IES	Mi
   1 IES	0
   1 IE	FOTO
   1 Horoshii	novini
   1 Hokej	SHahi
   1 Hanne	Svoboda
   1 Grupa	Progresivnij
   1 Groshovii	perekazi
   1 Groshii	Vlada
   1 Google	RSS
   1 Google	IFRAME
   1 Giiperposilannya	dlya
   1 Gadzheti	Podorozhii
   1 GTM	P7KPL8
   1 GRUDNYA	2018
   1 Futbol	Boks
   1 Foto	AR
   1 Formula	1
   1 Food	Drinks
   1 Fiinansi	IInternet
   1 Fashion	Food
   1 Fashion	Fashion
   1 FOTO	VIIDEO
   1 FOTO	NAJPOPULYARNIISHII
   1 Enter	schob
   1 Ekspertiza	Zayava
   1 Ekonomiika	Novini
   1 EUR	31
   1 EPA	UPG
   1 E	mail
   1 Dumka	Ekspertiza
   1 Drinks	Motori
   1 Dogoviir	koristuvannya
   1 DOS	IE
   1 DNYA	POPULYARNII
   1 Ctrl	Enter
   1 Ce	te
   1 Ce	nashii
   1 CITATA	DNYA
   1 CHudasiiyi	Horoshii
   1 CHS	2014
   1 CHITAJTE	TAKOZH
   1 Buzeka	Grupa
   1 Bud	yake
   1 Boks	Basketbol
   1 Biiznes	Nauka
   1 Biiznes	Ekonomiika
   1 Bat	kiivschina
   1 Basketbol	Teniis
   1 Avtorizaciya	Poisk
   1 Avto	Neruhomiist
   1 Ale	yak
   1 Afiisha	IEvropa
   1 AR	Zustriich
   1 A	procesi
   1 816	viid
   1 7165	EUR
   1 7165	Avtorizaciya
   1 6565	RUB
   1 4150	Vse
   1 31	6565
   1 24	816
   1 2253952	jpg
   1 2253910	jpg
   1 2253449	jpeg
   1 2018	Arhiiv
   1 2014	IEvropejs
   1 2014	CHudasiiyi
   1 2012	10
   1 20	siichnya
   1 20	GRUDNYA
   1 16	0
   1 15	IEvropejs
   1 100	X
   1 10	16
   1 1	Hokej
   1 0	YAkscho
   1 0	4150
   1 0	15
