  69 націонал	соціалістичного
   5 Німеччини	НСДАП
   5 юридичних	осіб
   5 власності	імен
   5 святкових	дат
   5 ювілейних	та
   5 проїздів	проспектів
   5 майданів	набережних
   5 скверів	бульварів
   5 партії	Німеччини
   5 вулиць	провулків
   5 засобу	масової
   5 особам	та
   5 статті	7
   5 режиму	1917
   5 єктів	топоніміки
   5 строк	який
   5 інших	об
   5 який	обчислюється
   5 осіб	ювілейних
   5 площ	майданів
   5 вище	вищих
   5 назв	і
   5 про	перейменування
   5 дат	історичних
   5 дня	набрання
   5 дат	назв
   5 під	час
   5 яті	У
   5 або	з
   5 та	рекомендацій
   5 до	організації
   5 та	святкових
   5 та	перехідні
   5 із	цим
   5 та	об
   5 у	містах
   5 в	абзаці
   5 і	дат
   5 7	Прикінцеві
   4 соціалістичної	робітничої
   4 розпорядженням	голови
   4 громадськості	науковців
   4 установленому	цим
   4 використання	символіки
   4 повноваження	Голова
   4 повноваження	зобов
   4 нацистських	окупантів
   4 псевдонімів	фізичних
   4 відповідної	обласної
   4 визначеного	абзацом
   4 присвячених	особам
   4 урахуванням	вимог
   4 організації	та
   4 приймається	з
   4 пропаганди	комуністичного
   4 пропозицій	громадськості
   4 діяльності	найменування
   4 здійснення	Голодомору
   4 присвоєння	юридичним
   4 злочинного	характеру
   4 радянських	органах
   4 робітничої	партії
   4 політичної	партії
   4 діяльність	яких
   4 вигнанням	нацистських
   4 символіки	націонал
   4 символіки	статтю
   4 доповнити	новою
   4 символіки	та
   4 республік	та
   4 причетним	до
   4 науковців	та
   4 окупантів	з
   4 Націонал	соціалістичної
   4 протягом	зазначеного
   4 культури	працівникам
   4 сільські	селищні
   4 частиною	такого
   4 репресій	особам
   4 протягом	строку
   4 вимогами	Закону
   4 столітті	крім
   4 демонтаж	пам
   4 випадків	пов
   4 викласти	в
   4 вважати	відповідно
   4 Україні	політичних
   4 органах	державної
   4 засобів	масової
   4 України	порядку
   4 Законом	порядку
   4 селищні	міські
   4 вимогам	Закону
   4 безпеки	подіям
   4 частину	другу
   4 значною	мірою
   4 ятників	пам
   4 похідні	від
   4 України	від
   4 рішення	у
   4 районів	у
   4 режимів	1
   4 строку	встановленого
   4 партія	більшовиків
   4 знаків	присвячених
   4 голови	відповідної
   4 режиму	символіки
   4 особам	причетним
   4 язаний	прийняти
   4 Голова	обласної
   4 містах	скверів
   4 пункту	строку
   4 партії	вищих
   4 режиму	таке
   4 особою	яка
   4 посади	в
   4 статті	5
   4 такій	редакції
   4 новою	частиною
   4 після	частини
   4 зобов	язаний
   4 назви	СРСР
   4 особи	яка
   4 особа	яка
   4 назви	пов
   4 мірою	пов
   4 язана	з
   4 строк	з
   4 Таке	розпорядження
   4 імен	псевдонімів
   4 осіб	діяльність
   4 була	значною
   4 цієї	статті
   4 яких	була
   4 крім	осіб
   4 про	невідповідність
   4 Про	присвоєння
   4 або	символіки
   4 пов	язана
   4 або	особи
   4 або	особа
   4 від	них
   4 та	здійснення
   4 їх	символіки
   4 із	вимогами
   4 не	прийнято
   4 та	похідні
   4 об	єднання
   4 з	України
   4 з	питань
   4 з	опором
   4 з	метою
   4 в	такій
   4 у	зв
   4 VIII	від
   4 6	статті
   4 317	VIII
   4 22	ст
   3 республіканського	підпорядкування
   3 Перейменування	географічних
   3 соціалістичний	нацистський
   3 перейменування	населених
   3 перейменування	районів
   3 Європейського	Парламенту
   3 установленому	порядку
   3 встановленого	абзацом
   3 розпорядження	про
   3 використання	примусової
   3 Виготовлення	поширення
   3 комуністична	партія
   3 Українського	народу
   3 Комуністична	партія
   3 встановлених	цим
   3 нацистської	Німеччини
   3 громадських	формувань
   3 політичними	партіями
   3 громадських	спілок
   3 спрямованих	на
   3 поширюється	на
   3 легалізації	об
   3 реєстрації	легалізації
   3 установчих	документів
   3 реєстрації	юридичних
   3 відповідно	частинами
   3 юридичними	особами
   3 друкованих	засобів
   3 Президента	України
   3 державного	терору
   3 примусової	праці
   3 виконавчої	влади
   3 реєстрації	змін
   3 псевдоніми	осіб
   3 Парламенту	від
   3 пропаганди	їх
   3 плюралізму	та
   3 припиненню	в
   3 характеру	комуністичного
   3 міністрів	Автономної
   3 єднаннями	громадян
   3 сільським	селищним
   3 провулків	проїздів
   3 символіки	частину
   3 символіки	вимогам
   3 доповнити	пунктом
   3 четвертою	такого
   3 фізичного	терору
   3 працювали	у
   3 поширення	а
   3 міститься	в
   3 публічне	використання
   3 громадян	громадських
   3 підлягає	припиненню
   3 частиною	четвертою
   3 масового	фізичного
   3 культури	працювали
   3 реалізує	державну
   3 державну	політику
   3 селищним	міським
   3 реченням	такого
   3 партіями	іншими
   3 прийняти	таке
   3 Верховна	Рада
   3 політику	з
   3 особами	політичними
   3 союзних	радянських
   3 України	Відомості
   3 єднання	громадян
   3 міським	головою
   3 законом	порядку
   3 Законом	статтею
   3 абзацом	першим
   3 пунктів	назви
   3 першому	цього
   3 безпеки	назви
   3 головою	або
   3 ятників	та
   3 пунктів	та
   3 товарів	і
   3 пунктом	7
   3 статтею	3
   3 змісту	Забороняється
   3 написи	присвячені
   3 питань	державної
   3 єднань	громадян
   3 абзаці	першому
   3 статті	Закону
   3 свобод	людини
   3 спілок	інших
   3 першим	цього
   3 пункту	Таке
   3 можуть	бути
   3 знаків	пов
   3 іншими	об
   3 опором	та
   3 мостів	чи
   3 згідно	із
   3 людини	і
   3 пункту	6
   3 жертв	комуністичного
   3 формі	розпорядження
   3 вимог	встановлених
   3 інших	громадських
   3 подій	пропозицій
   3 також	публічне
   3 також	назви
   3 зобов	язані
   3 Запам	ятати
   3 інших	форм
   3 імена	або
   3 строк	що
   3 праці	та
   3 влади	що
   3 єктів	у
   3 таке	розпорядження
   3 осіб	реєстрації
   3 форм	масового
   3 таке	рішення
   3 Рада	України
   3 прав	людини
   3 тому	числі
   3 крім	пам
   3 волі	на
   3 прав	і
   3 або	псевдоніми
   3 про	демонтаж
   3 цим	частини
   3 для	товарів
   3 або	особою
   3 що	обчислюється
   3 не	поширюється
   3 на	документах
   3 до	установчих
   3 що	міститься
   3 та	вигнанням
   3 об	єднаннями
   3 що	реалізує
   3 та	районів
   3 на	випадки
   3 об	єднань
   3 не	можуть
   3 чи	інших
   3 та	пам
   3 до	1991
   3 в	комуністичній
   3 і	громадянина
   3 з	приведенням
   3 у	радянських
   3 і	послуг
   3 436	1
   3 3	Закону
   3 2325	VIII
   3 2009	року
   3 1991	року
   3 1	Виготовлення
   3 1	у
   2 характеризувалася	численними
   2 поінформованості	громадськості
   2 Севастопольській	міським
   2 основоположними	правами
   2 невідповідність	її
   2 перейменування	здійснюється
   2 Соціалістичної	Республіки
   2 переслідування	учасників
   2 Парламентської	Асамблеї
   2 індивідуальних	та
   2 самоврядування	у
   2 Забороняється	присвоювати
   2 Рекомендувати	Президенту
   2 установленому	Кабінетом
   2 установленому	законом
   2 психіатричних	заходів
   2 шестимісячний	строк
   2 комуністичний	та
   2 географічного	об
   2 розпорядження	у
   2 переслідувань	з
   2 здійснюється	розпорядженням
   2 застосування	психіатричних
   2 оприлюднення	інформації
   2 необхідністю	приведення
   2 національних	релігійних
   2 встановлення	радянської
   2 установлених	Законом
   2 тоталітарний	режим
   2 недотримання	вимог
   2 конфіскацією	майна
   2 позбавленням	волі
   2 звільняються	від
   2 здійснюється	за
   2 засуджується	як
   2 географічним	об
   2 повноваження	у
   2 здійснюється	у
   2 урахуванням	особливостей
   2 приймається	відповідним
   2 нацистський	тоталітарні
   2 відсутністю	політичного
   2 працівників	радянських
   2 політичного	плюралізму
   2 політичними	репресіями
   2 відновлення	історичної
   2 відповідним	сільським
   2 визначеному	Кабінетом
   2 надзвичайна	комісія
   2 відповідної	області
   2 визначеного	пунктом
   2 тоталітарні	режими
   2 географічні	назви
   2 порушеннями	прав
   2 приведенням	їх
   2 Голодомором	1932
   2 підвищення	поінформованості
   2 пропаганда	комуністичного
   2 Пропаганда	комуністичного
   2 численними	порушеннями
   2 репресіями	Голодомором
   2 релігійних	політичних
   2 сувенірної	продукції
   2 Республіки	Югославії
   2 управління	областей
   2 політичних	класових
   2 здійснював	політику
   2 порушенням	свободи
   2 Республіки	Румунії
   2 Республіки	Албанії
   2 Президенту	України
   2 присвячені	подіям
   2 реалізації	цього
   2 політичних	цілях
   2 зображення	гасел
   2 дотримання	вимог
   2 пропозиції	щодо
   2 приведення	назв
   2 інформації	про
   2 зображення	пам
   2 документів	пов
   2 фрагментів	на
   2 соціальних	та
   2 реєстрації	та
   2 несумісний	з
   2 символіка	комуністичного
   2 державним	адміністраціям
   2 вчиненими	представниками
   2 резолюцію	Європейського
   2 символіки	здійснюється
   2 території	відповідної
   2 політичне	управління
   2 єктивними	причинами
   2 мистецтва	створених
   2 злочинами	вчиненими
   2 висування	кандидата
   2 сільською	селищною
   2 символіки	сільські
   2 продукції	публічне
   2 злочинний	характер
   2 доповнити	реченням
   2 вираження	поглядів
   2 республік	органах
   2 провулків	узвозів
   2 доповнити	словами
   2 Соціальні	сервіси
   2 свободами	людини
   2 політичні	партії
   2 внесеними	згідно
   2 виконання	гімнів
   2 ятикутної	зірки
   2 доповнити	новим
   2 державної	влади
   2 Верховною	Радою
   2 страждань	під
   2 республік	або
   2 підставою	для
   2 символіка	що
   2 республік	що
   2 зумовлена	об
   2 Київській	та
   2 символіки	У
   2 моральних	і
   2 злочинним	і
   2 Німеччини	1939
   2 символіки	1
   2 одиницях	переслідування
   2 націонал	соціалістичний
   2 катувань	використання
   2 етнічних	національних
   2 демонтаж	здійснюється
   2 культури	працівників
   2 політику	державного
   2 областях	автономних
   2 колишніх	радянських
   2 класових	соціальних
   2 здійснює	пропаганду
   2 Народний	комісаріат
   2 фізичних	страждань
   2 районним	державним
   2 публічне	виконання
   2 органами	місцевого
   2 обласним	Київській
   2 злочинів	вчинених
   2 селищною	міською
   2 поглядів	свободи
   2 столітті	такий
   2 привести	свої
   2 областей	міст
   2 випадків	коли
   2 Заборона	не
   2 демонтаж	у
   2 боротьби	з
   2 вчинені	представниками
   2 випадки	використання
   2 безпеки	встановлення
   2 заходів	спрямованих
   2 вигляді	сувенірної
   2 частини	четвертої
   2 органам	місцевого
   2 містить	символіку
   2 змінами	внесеними
   2 Україні	Відомості
   2 узвозів	проїздів
   2 порядку	прийнято
   2 міським	районним
   2 Україні	націонал
   2 Держава	здійснює
   2 свободи	совісті
   2 пунктів	районів
   2 масових	вбивств
   2 злочини	вчинені
   2 частини	другої
   2 режимів	їхньої
   2 абзацом	другим
   2 совісті	думки
   2 свободи	преси
   2 районів	назви
   2 міською	радою
   2 вимогам	цього
   2 вбивств	страт
   2 порядку	крім
   2 заходів	щодо
   2 безпеки	всіх
   2 безпеки	пов
   2 сервіси	та
   2 пунктів	на
   2 входили	до
   2 режимів	У
   2 правами	і
   2 області	в
   2 місяців	з
   2 заходів	у
   2 відмови	в
   2 включає	а
   2 України	з
   2 Законом	в
   2 пунктом	8
   2 режимів	3
   2 України	2013
   2 України	2001
   2 України	1994
   2 змісту	Перейменування
   2 терору	переслідувань
   2 іншими	злочинами
   2 творах	мистецтва
   2 строку	сільською
   2 режиму	символіка
   2 голови	населених
   2 випуск	підлягає
   2 засоби	масової
   2 вживає	заходів
   2 Закону	приймає
   2 партії	іншого
   2 міські	голови
   2 другим	пункту
   2 мостів	інших
   2 міські	ради
   2 гімнів	СРСР
   2 ятники	пам
   2 терору	яка
   2 партії	яка
   2 іншого	об
   2 режиму	не
   2 молота	та
   2 людини	у
   2 змісту	У
   2 Закону	а
   2 статтю	9
   2 змісту	8
   2 змісту	6
   2 статті	4
   2 статті	3
   2 режиму	1
   2 формі	індивідуальних
   2 особи	політичної
   2 думки	вираження
   2 такий	демонтаж
   2 інших	мотивів
   2 страт	смертей
   2 вжито	заходів
   2 Закон	України
   2 знаки	написи
   2 другу	статті
   2 пошту	Запам
   2 цитат	осіб
   2 єктів	пов
   2 майна	або
   2 знаки	для
   2 Текст	для
   2 таким	що
   2 преси	та
   2 язане	з
   2 числі	у
   2 радою	в
   2 Пошук	у
   2 такої	2
   2 міст	республіканського
   2 щодо	перейменування
   2 таке	перейменування
   2 разі	недотримання
   2 щодо	дотримання
   2 всій	території
   2 Раді	міністрів
   2 день	набрання
   2 Крим	обласним
   2 всіх	рівнів
   2 Ради	Європи
   2 ятні	знаки
   2 назв	таких
   2 щодо	якої
   2 ради	або
   2 інші	об
   2 змін	до
   2 якої	в
   2 яка	характеризувалася
   2 час	застосування
   2 Про	географічні
   2 або	припинення
   2 яка	здійснює
   2 або	сільські
   2 про	помилку
   2 про	злочини
   2 для	відмови
   2 пам	ятники
   2 від	сплати
   2 від	партії
   2 Про	вибори
   2 яті	жертв
   2 пов	язане
   2 них	назви
   2 для	друку
   2 без	такої
   2 пам	ятні
   2 або	без
   2 які	на
   2 або	їх
   2 них	а
   2 від	29
   2 від	23
   2 ВВР	2015
   2 від	14
   2 від	13
   2 від	09
   2 та	Севастопольській
   2 за	розпорядженням
   2 та	оприлюднення
   2 та	відсутністю
   2 її	діяльності
   2 їх	фрагментів
   2 як	несумісний
   2 що	здійснював
   2 об	єктивними
   2 не	здійснять
   2 та	закладки
   2 на	підставі
   2 що	входили
   2 що	включає
   2 та	масових
   2 не	більше
   2 на	строк
   2 На	пошту
   2 та	щодо
   2 об	єкти
   2 об	єкта
   2 на	день
   2 на	всій
   2 їх	у
   2 ім	я
   2 та	у
   2 та	п
   2 ст	816
   2 ст	62
   2 ст	1
   2 з	основоположними
   2 з	контрреволюцією
   2 у	шестимісячний
   2 з	необхідністю
   2 з	конфіскацією
   2 а	неможливість
   2 у	визначеному
   2 з	політичними
   2 ґ	зображення
   2 у	політичних
   2 д	зображення
   2 в	реєстрації
   2 і	свободами
   2 п	ятикутної
   2 і	фізичних
   2 з	етнічних
   2 у	вигляді
   2 і	свобод
   2 у	тексті
   2 у	творах
   2 у	статті
   2 і	таким
   2 у	назві
   2 у	вищих
   2 у	яких
   2 у	тому
   2 п	ятою
   2 п	ятим
   2 п	яти
   2 в	них
   2 р	5
   2 р	20
   2 р	17
   2 р	1
   2 zakon	rada
   2 http	zakon
   2 e	mail
   2 ____________________	BUTTON
   2 Twitter	Google
   2 LinkedIn	На
   2 Google	LinkedIn
   2 Facebook	Twitter
   2 BUTTON	закрити
   2 BUTTON	BUTTON
   2 9	після
   2 8	висування
   2 8	такого
   2 7	цієї
   2 7	ст
   2 595	VIII
   2 5	доповнити
   2 5	частину
   2 5	ст
   2 32	ст
   2 3	доповнити
   2 3	Заборона
   2 26	ст
   2 21	ст
   2 2015	317
   2 2013	р
   2 2008	року
   2 2006	року
   2 2006	від
   2 2004	р
   2 2003	р
   2 2001	р
   2 20	21
   2 2	у
   2 1945	років
   2 1939	1945
   2 17	ст
   2 14	07
   2 13	03
   2 11	ст
   2 1	ст
   2 09	04
   2 07	2015
   2 05	2018
   2 05	05
   2 04	2015
   2 03	2018
   1 використовуватися	символіка
   1 адміністративного	збору
   1 місцезнаходження	юридичної
   1 Севастопольською	міськими
   1 відповідальність	згідно
   1 Адміністративний	збір
   1 Відповідальність	за
   1 використовуються	у
   1 розповсюджувати	аудіовізуальні
   1 адміністративно	територіальної
   1 підпорядкування	працівникам
   1 контрреволюцією	спекуляцією
   1 неприпустимості	звеличення
   1 невідповідність	діяльності
   1 виправдовується	діяльність
   1 національностей	керуючись
   1 виправдовується	злочинний
   1 адміністраціями	органами
   1 адміністраторів	Потрібно
   1 перейменуванням	скверів
   1 нагороджувались	особи
   1 підпорядкування	крім
   1 підпорядкування	та
   1 невідповідність	їх
   1 соціалістичного	н
   1 контрреволюцією	і
   1 використовувати	в
   1 використовували	у
   1 Чехословацької	Соціалістичної
   1 комуністичному	тоталітарному
   1 Соціалістичної	Федеративної
   1 соціалістичних	республіках
   1 перереєстрацію	друкованого
   1 територіальній	цілісності
   1 соціалістичній	робітничій
   1 підприємствами	установами
   1 соціалістичних	республік
   1 самоврядування	обласними
   1 адміністраціям	Верховній
   1 справедливості	усунення
   1 самоврядування	місцевих
   1 Соціалістичної	Народної
   1 територіальної	одиниці
   1 справедливості	зокрема
   1 законодавством	України
   1 адміністраціям	органам
   1 уповноваженого	органу
   1 перереєстрації	такого
   1 основоположних	свобод
   1 реєстраційного	збору
   1 перейменування	таких
   1 аудіовізуальні	твори
   1 перейменування	назв
   1 підпорядковані	цим
   1 комуністичного	або
   1 справедливості	та
   1 самоврядування	та
   1 переслідування	з
   1 перереєстрацію	У
   1 Забороняється	використовувати
   1 безпосередньо	підпорядковані
   1 територіальні	функціональні
   1 комуністичних	тоталітарних
   1 комуністичним	тоталітарним
   1 Комуністичний	тоталітарний
   1 комуністичної	нацистської
   1 Всеукраїнська	надзвичайна
   1 функціональні	структурні
   1 установленому	зазначеним
   1 громадськості	декларацію
   1 Демократичної	Республіки
   1 радіомовлення	Відомості
   1 відтворюється	поєднання
   1 адміністрації	Відомості
   1 розслідування	злочинів
   1 розкуркулення	репресії
   1 здійснювалися	протягом
   1 Забороняється	державна
   1 установленому	Законом
   1 тоталітаризму	Спільну
   1 реконструкції	зокрема
   1 нижченаведені	терміни
   1 комуністичних	режимів
   1 встановленому	Законом
   1 встановленого	пунктом
   1 використанням	засобів
   1 Кримінальному	кодексі
   1 Законодавство	України
   1 індивідуальні	страти
   1 тоталітарному	режиму
   1 просвітницьку	роботу
   1 перейменувати	райони
   1 організованою	групою
   1 представником	влади
   1 опублікування	цього
   1 громадянських	прав
   1 адміністратор	зміг
   1 заперечується	або
   1 законодавства	про
   1 громадськості	про
   1 організаціями	до
   1 зареєстровані	як
   1 зареєстровані	на
   1 дискримінації	за
   1 Розслідування	та
   1 інтерпретацію	у
   1 відповідність	з
   1 опублікування	2
   1 суверенітету	територіальній
   1 притаманного	комуністичному
   1 неможливість	перереєстрації
   1 тоталітарних	комуністичних
   1 найменування	комуністичної
   1 особливостей	установлених
   1 особливостей	встановлених
   1 необхідності	міжнародного
   1 незалежності	суверенітету
   1 відродженням	нацистської
   1 Нюрнберзьким	міжнародним
   1 Всеросійська	надзвичайна
   1 європейської	свідомості
   1 оприлюднення	забезпечує
   1 необхідності	приведення
   1 необхідності	повернення
   1 національною	соціальною
   1 міжнародного	засудження
   1 засновниками	друкованих
   1 встановлення	постановою
   1 Федеративної	Республіки
   1 Інформаційне	наповнення
   1 інформаційні	агентства
   1 передбачених	частинами
   1 неможливість	державної
   1 демократична	робітнича
   1 встановлення	кількості
   1 використання	продукції
   1 виготовлення	символіки
   1 Міністерство	державної
   1 Інформаційні	агентства
   1 тоталітарної	спадщини
   1 найменування	Націонал
   1 відображення	сторінки
   1 Федеративної	Народної
   1 тоталітарним	режимом
   1 проголошення	намірів
   1 національній	безпеці
   1 забезпечення	захисту
   1 демократичну	правову
   1 встановлених	Законом
   1 ютеризованих	систем
   1 центрального	органу
   1 комуністичні	партії
   1 використання	їхньої
   1 бібліотечних	фондах
   1 Максимальний	розмір
   1 реабілітацію	жертв
   1 законодавчих	актів
   1 виготовлення	такої
   1 псевдонімами	осіб
   1 нагородження	ними
   1 Апеляційного	суду
   1 відмежування	від
   1 узагальнення	та
   1 справляється	за
   1 розташованих	на
   1 консолідації	та
   1 дослідницьку	та
   1 використання	та
   1 виготовлення	та
   1 самобутності	а
   1 повноваження	в
   1 здійснюється	з
   1 використання	у
   1 використання	з
   1 проголошення	23
   1 експлуатації	
   1 заборонений	законодавством
   1 відновленню	справедливості
   1 пропагувати	комуністичний
   1 призначення	географічного
   1 присвоювати	географічним
   1 посвідчують	нагородження
   1 нацистський	тоталітарний
   1 встановлені	Нюрнберзьким
   1 майбутньому	відновлення
   1 засновником	друкованого
   1 благодійних	організацій
   1 урахуванням	пропозицій
   1 створюється	позитивний
   1 організації	Голодомору
   1 організацію	Голодомору
   1 недопущення	повторення
   1 невиконання	юридичними
   1 міжнародним	військовим
   1 здійснювали	пропаганду
   1 виправдання	злочинного
   1 суперечливу	історичну
   1 спекуляцією	саботажем
   1 підприємців	Відомості
   1 присвоювати	юридичним
   1 приймається	Кабінетом
   1 приймається	Верховною
   1 положеннями	Загальної
   1 організацій	юридичних
   1 нацистської	ідеології
   1 нацистської	символіки
   1 навчальному	навчально
   1 навчального	характеру
   1 заподіянням	моральних
   1 вдосконалює	навчальні
   1 передбачені	статутом
   1 намогильних	спорудах
   1 друкованими	засобами
   1 громадянина	прагнучи
   1 відсутність	багатьох
   1 визначеного	абзацами
   1 антикварної	торгівлі
   1 Генеральної	Асамблеї
   1 центральним	органом
   1 підприємств	установ
   1 незрозумілі	моменти
   1 заперечення	зокрема
   1 дванадцятою	частину
   1 дванадцятий	вважати
   1 більшовиків	України
   1 Конституції	України
   1 суспільстві	поваги
   1 причетності	вищого
   1 приведенням	раніше
   1 експозиціях	музеїв
   1 громадянина	Стаття
   1 центральний	орган
   1 упорядження	місць
   1 української	нації
   1 республіках	краях
   1 використані	імена
   1 більшовиків	РСДРП
   1 Радянського	Союзу
   1 керівництва	СРСР
   1 регулюються	цим
   1 організації	або
   1 організацій	які
   1 більшовиків	РКП
   1 більшовиків	ВКП
   1 спрямованої	на
   1 підручниках	та
   1 одинадцятою	та
   1 дослідження	та
   1 географічні	об
   1 встановлено	по
   1 утвердженню	в
   1 телебачення	і
   1 результатів	у
   1 організацій	у
   1 знаходяться	у
   1 зазначеними	у
   1 тринадцятим	9
   1 громадянина	2
   1 державними	адміністраціями
   1 історичної	справедливості
   1 соціальної	справедливості
   1 радянських	соціалістичних
   1 Республіки	Чехословацької
   1 Засудження	комуністичного
   1 установами	організаціями
   1 декларацію	Європейського
   1 інформації	звільняються
   1 постановою	Апеляційного
   1 подальшого	використання
   1 однорідних	географічних
   1 звеличення	тоталітарних
   1 Республіки	Федеративної
   1 інформації	спрямованої
   1 управління	нацистської
   1 реєстрація	друкованого
   1 посібниках	підручниках
   1 матеріалах	пропагувати
   1 документів	благодійних
   1 історичної	історичних
   1 історичної	свідомості
   1 інформації	злочинного
   1 інформації	Засновники
   1 установчих	документах
   1 структурні	підрозділи
   1 руйнування	соціальних
   1 пропаганди	злочинного
   1 припинення	діяльності
   1 комісаріат	внутрішніх
   1 забезпечує	можливість
   1 діяльність	радянських
   1 діяльність	неурядових
   1 діяльності	радянських
   1 військовим	трибуналом
   1 враховуючи	засудження
   1 Засновники	друкованих
   1 Жовтневого	перевороту
   1 інформації	караються
   1 інформації	зумовлена
   1 інформацію	Відомості
   1 управління	прийнятих
   1 тематичних	виставках
   1 сільськими	селищними
   1 структурні	утворення
   1 службовими	злочинами
   1 реєстрацію	юридичних
   1 пропаганди	символіки
   1 проведення	державної
   1 матеріалах	наукового
   1 ліквідацію	наслідків
   1 комісаріат	державної
   1 зображення	державних
   1 зміцнювати	незалежну
   1 засудження	злочинних
   1 заподіяння	моральних
   1 діяльності	юридичної
   1 документах	юридичної
   1 документах	державних
   1 депортації	катування
   1 дванадцяту	доповнити
   1 визнається	злочинним
   1 Голодомору	наслідком
   1 управлінні	державою
   1 управління	Народний
   1 соціальною	класовою
   1 проживання	фізичної
   1 повторення	злочинів
   1 параметрах	браузера
   1 освітньому	процесах
   1 одинадцяту	викласти
   1 нормативно	правової
   1 можливість	вивчення
   1 ліквідації	спадщини
   1 ліквідації	символів
   1 засудження	злочинів
   1 зазначених	архівних
   1 діяльністю	Націонал
   1 діяльність	підлягає
   1 документах	колишніх
   1 депортацій	катувань
   1 демократії	Народної
   1 громадські	слухання
   1 військових	злочинів
   1 відповідно	абзацами
   1 враховуючи	визнання
   1 автономних	областях
   1 Республіки	Народної
   1 Республіки	Болгарії
   1 Голодомору	Великого
   1 Визначення	термінів
   1 Інформація	Зберегти
   1 суперечать	вимогам
