   9 biil	shiist
   1 v	iinterv
   1 v	iedinomu
   1 v	golovnih
   1 v	dva
   1 v	dolonii
   1 v	diku
   1 v	biisa
   1 v	armiiyi
   1 v	agrarnu
   1 v	Tornado
   1 v	Naciional
   1 v	NBA
   1 v	MVS
   1 v	Krimu
   1 v	Kiievii
   1 v	Karpatah
   1 v	Donbasii
   1 v	Azov
   1 v	11
   1 uviijti	__________________________________________________
   1 uviijdiit	cherez
   1 uvagu	viborciiv
   1 uspiihi	v
   1 uspiih	Loznicya
   1 ushkodzhennya	U
   1 uryad	razom
   1 uryad	provede
   1 uryad	pochatok
   1 uryad	oskiil
   1 uryad	mozhe
   1 unikav	pryamoyi
   1 uniiversitetu	Viin
   1 uniiversiteti	Ukrayincii
   1 umovah	Miins
   1 umov	dlya
   1 ukrayins	kogo
   1 ukrayins	kih
   1 ukr	net
   1 ugodu	z
   1 uel	s
   1 udviichii	Najbiil
   1 udarnij	match
   1 uchast	u
   1 ua	Za
   1 ua	Log
   1 u	znischennii
   1 u	zhovtnii
   1 u	zaruchniki
   1 u	za
   1 u	viitchiznyanomu
   1 u	viicii
   1 u	vbivstvii
   1 u	tomu
   1 u	stattyah
   1 u	socmerezhah
   1 u	pershomu
   1 u	novinah
   1 u	nastupnih
   1 u	krayini
   1 u	foto
   1 u	chinnoyi
   1 u	bud
   1 u	blocii
   1 u	Poyasii
   1 u	Korbiina
   1 u	DTEK
   1 tvarina	Lyudi
   1 turii	Kiinopiidsumki
   1 turii	2018
   1 tura	KAZKA
   1 trivozhniist	Vchenii
   1 trivayut	viidchajdushnii
   1 trejderi	ociinyat
   1 tr	id
   1 tozh	britans
   1 torguvatisya	na
   1 ton	ii
   1 tomu	chislii
   1 togo	yakscho
   1 togo	yak
   1 togo	chi
   1 todii	yak
   1 tlii	Brexit
   1 tizhnii	oskiil
   1 tizhnii	do
   1 tizhden	britans
   1 titul	Real
   1 titul	Beriinchik
   1 tisyach	griven
   1 tisyach	diitej
   1 tiilesnii	ushkodzhennya
   1 tiil	ki
   1 tezh	mozhe
   1 terakti	zmiinili
   1 teleskopa	Habbl
   1 telebachenii	v
   1 te	scho
   1 tatiiv	dlya
   1 tati	referendumu
   1 tat	z
   1 tat	stane
   1 tat	duzhe
   1 takozh	z
   1 takozh	poyavi
   1 takozh	mozhut
   1 takozh	lishit
   1 takozh	bude
   1 takozh	Vibori
   1 takozh	Britans
   1 takogo	vona
   1 tak	zvanogo
   1 tak	yak
   1 tajm	koshtuvatime
   1 ta	viideo
   1 ta	abo
   1 sya	vzhe
   1 sya	u
   1 sya	te
   1 sya	svyato
   1 sya	nizka
   1 sya	do
   1 sya	27
   1 svyato	nablizhaiet
   1 svoyu	poziciiyu
   1 svoieyu	novoyu
   1 svoieyi	Konservativnoyi
   1 svoie	viidstavannya
   1 sviitu	Ukrayina
   1 sviitovogo	kiino
   1 sviitii	orangutana
   1 sviij	viidriv
   1 suprovodzhuvav	velikij
   1 sumi	zrosli
   1 subotu	Prodovzhennya
   1 striimko	skorochuvati
   1 stres	ii
   1 strategiiya	Brexit
   1 staviti	piid
   1 statusii	ukrayins
   1 stattyah	u
   1 statisya	scho
   1 stati	postiijnim
   1 staroyi	shkoli
   1 stariinnya	organiizmu
   1 stariinnya	New
   1 stanovischem	u
   1 stane	rozcharuvannyam
   1 stali	sche
   1 stabiil	nostii
   1 sprobuvati	vikoristati
   1 sprobuie	sformuvati
   1 sproboyu	pograbuvannya
   1 sprobi	povnociinno
   1 spravii	u
   1 spracyuvav	Vona
   1 sporudzhennya	derzhavoyu
   1 spiivpracyu	piislya
   1 specprokurora	v
   1 solodkih	gazovanih
   1 socmerezhii	Facebook
   1 socmerezhah	Ostannii
   1 sociialiist	staroyi
   1 sociial	nii
   1 sobii	nepohitnii
   1 smiiyalisya	diiti
   1 smakuie	salat
   1 sluzhili	v
   1 sluzhbi	novin
   1 slovami	eks
   1 slabshimi	niizh
   1 slabkiist	ii
   1 skupovuyut	sanatoriiyi
   1 skorotiti	svoie
   1 skorotit	yiyi
   1 skorochuvati	sviij
   1 skoristavsya	momentom
   1 skladno	sformuvati
   1 skladnih	peregovoriiv
   1 sklad	jmoviirno
   1 skazav	poliitolog
   1 skazati	pomilki
   1 skasuvannya	viiz
   1 sistema	2019
   1 sistem	giiperposilannya
   1 simvoliiv	2000
   1 silovogo	bloku
   1 siim	ieyu
   1 siichnya	Piidtrimati
   1 siichnya	Arhiiv
   1 siichnii	RF
   1 signal	scho
   1 shukajte	v
   1 shoumena	DZIDZIO
   1 shostii	Cej
   1 shkoli	ii
   1 shiv	pributok
   1 shim	platnikam
   1 shiistyu	u
   1 shiist	z
   1 shiist	v
   1 shiist	tozh
   1 shiist	ii
   1 shiist	dast
   1 shgo	rozvitku
   1 she	golosiiv
   1 she	50
   1 sh	yak
   1 sh	viirogiidnim
   1 sh	niizh
   1 sh	m
   1 sformuyut	biil
   1 sformuvati	plan
   1 serjoznih	problem
   1 seriiya	poliitichnih
   1 sektor	zbiil
   1 schodo	bezviizu
   1 schob	zamiiniti
   1 schob	viin
   1 schob	u
   1 schob	posiliti
   1 schob	mati
   1 schob	lejboristi
   1 scho	zh
   1 scho	za
   1 scho	v
   1 scho	sporudzhennya
   1 scho	skorotit
   1 scho	sche
   1 scho	prijmaie
   1 scho	partiiya
   1 scho	pariitiiyi
   1 scho	lishe
   1 scho	gotova
   1 scho	gambiit
   1 scho	dnii
   1 scho	Kobiinu
   1 sche	slabshimi
   1 sche	odnii
   1 scenariiyu	vihodu
   1 scenariiyiv	podal
   1 scenariij	bude
   1 scenariij	Lejborists
   1 scenariij	Konservativna
   1 sankciiyi	proti
   1 sankciij	nabude
   1 sankciij	IES
   1 sanatoriiyi	v
   1 salat	oliiv
   1 sajtii	z
   1 s	kimi
   1 rozvitku	podiij
   1 roztashovanii	na
   1 rozpovsyudzhennyu	u
   1 rozpadet	sya
   1 rozkopki	v
   1 rozdiilu	Ukrayina
   1 rozdiilu	Tehnologiiyi
   1 rozdiilu	Sviit
   1 rozdiilu	Sport
   1 rozdiilu	Poliitika
   1 rozdiilu	Kul
   1 rozdiilu	Ekonomiika
   1 rozcharuvannyam	dlya
   1 rosiiyanam	Diplomatichnij
   1 rosiijs	kiij
   1 rolyah	27
   1 roku	v
   1 roku	Teatr
   1 roku	Polonenij
   1 roku	Nasiirov
   1 roku	14
   1 rokiiv	skladnih
   1 rokiiv	YAkscho
   1 rokiiv	Piishla
   1 roki	trivayut
   1 rocii	uryad
   1 robiti	vvazhaie
   1 riziki	V
   1 rinku	v
   1 rinku	IEvropi
   1 riik	na
   1 rezul	tatiiv
   1 rezul	tati
   1 resursiiv	INS
   1 reklami	na
   1 reklami	Vimkniit
   1 reklami	Mobiil
   1 rejtingu	FIIFA
   1 reformu	27
   1 referendumu	pro
   1 redakciiyi	zn94
   1 razom	z
   1 raziiv	NBU
   1 razi	skorotiti
   1 raniishe	pracyuvav
   1 raniishe	govoriv
   1 rahunok	reklami
   1 r	v
   1 publisher	alternate
   1 publiikuyut	sya
   1 pryamoyi	viidpoviidii
   1 pryame	viidkrite
   1 proviiv	yaskravij
   1 proviiv	udarnij
   1 provesti	Brexit
   1 provede	pererahunok
   1 provalilisya	a
   1 proti	britans
   1 proti	arheologiiv
   1 proti	RF
   1 prosiila	U
   1 prokatii	z
   1 proievropejs	kimi
   1 prohodyat	dostrokovii
   1 progolosuvati	34
   1 prodovzhuie	striimko
   1 prodovzhennya	sankciij
   1 prodovzh	dvoh
   1 procesu	Brexit
   1 proces	vihodu
   1 problemah	neriivnostii
   1 pro	vzaiemne
   1 pro	vihiid
   1 pro	vigiidnu
   1 pro	prodovzhennya
   1 pro	postupove
   1 pro	perejmenuvannya
   1 pro	ce
   1 pro	aresht
   1 pro	Brexit
   1 prizvesti	do
   1 prirodu	Na
   1 pripinyat	nadavati
   1 prijmaie	rezul
   1 prichini	peredchasnogo
   1 pributok	v
   1 pretendenti	na
   1 prem	ieri
   1 prem	iera
   1 pravah	reklami
   1 prajm	tajm
   1 pracyuvav	v
   1 poznachte	yiyi
   1 pozitivnij	Ce
   1 poziciiyu	Ukrayina
   1 poziciiyi	piislya
   1 poziciiyi	na
   1 poyavi	serjoznih
   1 poyas	Real
   1 povnogo	vihodu
   1 povnociinno	zapustiti
   1 povniistyu	zajnyatij
   1 povinna	biti
   1 poviidomlyaiemo	tiil
   1 povernuli	v
   1 povernennya	diplomatiiv
   1 potriibne	znayuchi
   1 potrapiti	do
   1 postupove	povernennya
   1 postupku	v
   1 postupki	v
   1 postupki	IES
   1 postiijnim	chlenom
   1 posiliti	parlaments
   1 posilannyam	na
   1 poshukovih	sistem
   1 poshta	sluzhbi
   1 poshta	redakciiyi
   1 posadi	liidera
   1 porazka	ale
   1 poranena	tvarina
   1 pomilok	vdarili
   1 pomilku	Bud
   1 pomilki	buli
   1 pomiitno	prosiila
   1 pomiititi	cyu
   1 pomerla	u
   1 poliitolog	z
   1 poliitolog	Varviiks
   1 poliitolog	Uniiversitetu
   1 poliiticii	zroste
   1 poliitichnoyi	reklami
   1 poliitichnij	klas
   1 poliitichnii	riziki
   1 poliitichnih	pomilok
   1 poki	britancii
   1 pograbuvannya	U
   1 pogoditisya	viidklasti
   1 poganogo	scenariiyu
   1 podiiyu	2018
   1 podiij	Vidannya
   1 podatkiiv	na
   1 podatkiiv	donarahuvali
   1 podast	signal
   1 podal	shgo
   1 pochnut	sya
   1 pochnut	staviti
   1 pochnut	ob
   1 pochne	zrostati
   1 pochne	viidnovlyuvatisya
   1 pochne	padati
   1 pochatok	periiodu
   1 pochatku	hotiila
   1 pobachiv	zlovzhivan
   1 pobachennya	z
   1 po	yiyi
   1 pleskali	v
   1 platnikam	podatkiiv
   1 plan	Brexit
   1 pitannya	yiyi
   1 pitannii	Brexit
   1 pis	movogo
   1 piiti	na
   1 piislya	zatrimannya
   1 piislya	vihodu
   1 piislya	viboriiv
   1 piishov	z
   1 piidvischennya	pensiij
   1 piidtrimuyut	partiiyu
   1 piidtrimuyut	38
   1 piidtrimuvali	Brexit
   1 piidtrimka	deputatiiv
   1 piidtrimcii	a
   1 piid	pitannya
   1 piid	chas
   1 perspektivii	peregovori
   1 pershomu	abzacii
   1 periiodu	yakij
   1 perezriila	28
   1 perevagi	YAkscho
   1 pererahunok	pensiij
   1 peremogu	ii
   1 peremogu	CHetvertij
   1 perekonanij	Rassel
   1 perejshov	v
   1 perejmenuvannya	UPC
   1 peregovoriiv	z
   1 peregovori	mozhut
   1 peredchasnogo	stariinnya
   1 pensiioneriiv	Donarahovanii
   1 pensiij	U
   1 pensiij	2
   1 partiiyu	Terezi
   1 partiiyi	na
   1 partiiyi	Plajd
   1 partiiyi	Dzheremii
   1 partiiya	zmozhe
   1 partiiya	zdobude
   1 partiiya	ne
   1 partiiya	nabere
   1 partiiieyu	a
   1 parol	____________________
   1 parol	Abo
   1 parlaments	ka
   1 parlamentii	vona
   1 parlamentii	partiiya
   1 parlamentii	bude
   1 parlamentii	Rezul
   1 parlamentii	Prem
   1 parlamentii	Mej
   1 parlamentii	Cej
   1 parlamentii	Ce
   1 parlament	Velikobritaniiyi
   1 parlament	Britaniiyi
   1 parlament	Britaniiya
   1 parku	na
   1 pariitiiyi	pochnut
   1 padati	YIj
   1 oyu	krizoyu
   1 otzhe	viirogiidniist
   1 otrimayut	konservatori
   1 otrimayut	biil
   1 otrimaie	niiyakoyi
   1 osviitiv	Riizdvo
   1 osviiti	ii
   1 ostrovii	Borneo
   1 osnovnii	prichini
   1 osnovnii	pretendenti
   1 organiizmu	vplivaie
   1 organiizaciiyi	IEvropejs
   1 orangutana	al
   1 opubliikovana	28
   1 opertisya	na
   1 omu	sajtii
   1 oliiv	ie
   1 oliigarhiiv	Mi
   1 okupovanomu	Krimu
   1 okupantom	ogorozh
   1 ogorozh	niichogo
   1 ogolosila	dostrokovii
   1 ogo	komentariiv
   1 odnopartiijcii	vzhe
   1 odnii	vibori
   1 odin	tizhden
   1 ociinyat	poliitichnii
   1 ochiikuvannya	stabiil
   1 obov	yazkove
   1 oboronnogo	ii
   1 obmiin	na
   1 obmezhen	mozhe
   1 obliikovogo	zapisu
   1 ob	iektom
   1 ob	iednuvatisya
   1 o	Za
   1 o	V
   1 o	Tramp
   1 o	Sud
   1 o	Progres
   1 o	KAZKA
   1 o	Dopoviid
   1 noyu	partiiieyu
   1 novoyu	ciillyu
   1 novoriichnu	iimersivnu
   1 novini	Sekunda
   1 novini	Novini
   1 novini	Doluchajsya
   1 novinah	za
   1 novin	editor
   1 not	implemented
   1 nostii	u
   1 noscript	1
   1 nomu	parku
   1 nomeru	Armiiya
   1 nomeriiv	Zmiist
   1 nomeriiv	Reklama
   1 nomeriiv	Novini
   1 nizki	viirogiidnih
   1 nizka	ukrayins
   1 nirok	Vzhivannya
   1 nirkami	vchenii
   1 nim	stanovischem
   1 niizh	za
   1 niizh	udviichii
   1 niizh	u
   1 niizh	buli
   1 niizh	50
   1 niiyakoyi	biil
   1 niichogo	ne
   1 nii	viplati
   1 nih	konservatori
   1 nih	ce
   1 nih	Pershij
   1 nezakonnii	rozkopki
   1 net	Elektronna
   1 neriivnostii	bezkoshtovnoyi
   1 neprostim	yiyi
   1 nepoplyarnii	postupki
   1 nepohitnii	poziciiyi
   1 neobhiidnostii	vitratiti
   1 neobhiidna	piidtrimka
   1 nemozhlivij	bez
   1 nemaie	oliigarhiiv
   1 ne	zmozhe
   1 ne	zmiinit
   1 ne	zmiig
   1 ne	spracyuvav
   1 ne	porazka
   1 ne	pochnut
   1 ne	pobachiv
   1 ne	otrimaie
   1 ne	mayut
   1 ne	mandat
   1 ne	IEvro
   1 nazvanij	lyudinoyu
   1 nazvali	osnovnii
   1 nazvali	golovnu
   1 nazivala	chasami
   1 navryad	chi
   1 navodit	p
   1 naviit	v
   1 navchannya	cherez
   1 natisniit	Ctrl
   1 nastupnii	5
   1 nastupnih	viborah
   1 naselennya	scho
   1 nas	u
   1 napryamok	procesu
   1 napryamok	kampaniiyi
   1 napoyiv	mozhe
   1 napad	na
   1 nami	nemaie
   1 nalezhnih	umov
   1 najblizhchii	tizhnii
   1 najbiil	she
   1 nagadati	parol
   1 nadiijshlo	bliz
   1 nadavati	dopomogu
   1 naciionaliistami	z
   1 naciional	noyu
   1 nache	poranena
   1 nabuv	chinnostii
   1 nabere	najbiil
   1 na	zhodnii
   1 na	viirnih
   1 na	viidtvorennyu
   1 na	versiiya
   1 na	tlii
   1 na	telebachenii
   1 na	sociial
   1 na	shoumena
   1 na	proces
   1 na	problemah
   1 na	pravah
   1 na	postupku
   1 na	peremogu
   1 na	peregovorah
   1 na	ostrovii
   1 na	nepoplyarnii
   1 na	nastupnii
   1 na	monastir
   1 na	konkretnij
   1 na	hram
   1 na	futbol
   1 na	druzki
   1 na	c
   1 na	biil
   1 na	5
   1 na	28
   1 na	15
   1 mu	miiscii
   1 mozhut	pomiititi
   1 mozhut	pogoditisya
   1 mozhut	buti
   1 mozhlivostii	torguvatisya
   1 mozhliviist	komentuvati
   1 mozhliviist	jti
   1 mozhlivih	rezul
   1 mozhe	zmiicnitisya
   1 mozhe	vtratiti
   1 mozhe	viklikati
   1 mozhe	prizvesti
   1 mozhe	opertisya
   1 mozhe	j
   1 mozhe	absolyutno
   1 movoyu	Viideo
   1 movoyu	Oleg
   1 movogo	dozvolu
   1 monopol	nim
   1 monastir	sproboyu
   1 momentom	zvernuvshi
   1 mlrd	grn
   1 mln	pensiioneriiv
   1 mishkoyu	ii
   1 miisyaciiv	a
   1 miiscyami	perevagi
   1 miiscii	rejtingu
   1 miiniistr	Tereza
   1 miil	yardiiv
   1 miil	yardi
   1 miigrantiiv	16
   1 miigraciijniij	poliiticii
   1 mezhii	oboronnogo
   1 metoyu	dobitisya
   1 menshe	10
   1 mensh	niizh
   1 mayut	nalezhnih
   1 matimut	menshe
   1 matimut	biil
   1 mati	teleskopa
   1 mati	mozhliviist
   1 materiiali	roztashovanii
   1 materiiali	BUTTON
   1 materiialami	DT
   1 materal	Usii
   1 match	v
   1 match	Ukrayinec
   1 mandat	vvazhaie
   1 maie	buti
   1 m	yakogo
   1 lyudinoyu	roku
   1 lyudina	roku
   1 lishe	na
   1 liiderstvo	prodovzh
   1 liiderstvo	U
   1 liiderstva	dohodyat
   1 liidera	lejboristiiv
   1 liider	Lejborists
   1 liiberal	demokratami
   1 lejboristiiv	Raniishe
   1 lejboristi	zmogli
   1 lejborist	Korbiin
   1 laska	poznachte
   1 krizoyu	Mozhe
   1 kritiki	provalilisya
   1 kritichno	perezriila
   1 krayini	ii
   1 krayini	Riishennya
   1 krayin	IES
   1 koyu	naciional
   1 koyi	partiiyi
   1 koshtuvatime	kiil
   1 korotkostrokoviij	perspektivii
   1 konservatoriiv	Vona
   1 konservatori	zdobudut
   1 konservatori	sformuyut
   1 konservatori	otrimayut
   1 konservatori	biil
   1 konservativnij	uryad
   1 konkurent	sociialiist
   1 konkretnij	materal
   1 konfliikt	v
   1 kompaniij	publiikuyut
   1 kompaniij	Vipusk
   1 komentuvati	materiiali
   1 komentariiv	0
   1 komentar	____________________________________________________________
   1 komandi	Terezi
   1 kogo	uniiversitetu
   1 kogo	prem
   1 kogo	Krimu
   1 koaliiciiyi	haosu
   1 ko	4
   1 klubnij	chempiionat
   1 klas	bude
   1 klanu	Muzhenko
   1 kimi	naciionaliistami
   1 kimi	liiberal
   1 kij	uryad
   1 kij	sektor
   1 kij	poyas
   1 kij	funt
   1 kij	Stattya
   1 kij	Avtor
   1 kiinoprem	ier
   1 kiino	v
   1 kiincya	Britans
   1 kiil	kadenne
   1 kiij	spravii
   1 kii	chinovniki
   1 kih	obmezhen
   1 kih	kiinoprem
   1 ki	poliitichnij
   1 ki	lejborist
   1 ki	jogo
   1 ki	diijsno
   1 keriivnikom	viidomstva
