   5 IInterv	yu
   1 yakogo	vdalisya
   1 yakiij	ukrayins
   1 yakii	zavodyat
   1 yakii	zahistili
   1 yakii	zahischali
   1 yakii	viiddavali
   1 yakii	schodnya
   1 yakii	mozhut
   1 yakii	ladnii
   1 yakih	derzhavnih
   1 yaka	ie
   1 yaka	chimalo
   1 yak	stalasya
   1 yak	Povaliij
   1 vstanovila	pravil
   1 vsii	negarazdi
   1 vsii	materiiali
   1 vreshtii	resht
   1 vorozhii	vipadi
   1 vorogom	nashoyi
   1 voroga	davatimemo
   1 vona	giibridno
   1 vodnochas	yakih
   1 vlasnoyi	iidentichnostii
   1 vlasnoyi	derzhavi
   1 vlasnimi	iinteresami
   1 vlasnii	naciional
   1 vladnu	verhiivku
   1 vladi	chi
   1 vlada	Rosiiyi
   1 vistupii	16
   1 vistoyit	todii
   1 vislovom	dumali
   1 vipadkovimi	kazhe
   1 vipadi	Foto
   1 vimiiri	svoyi
   1 vikoristannya	angliijs
   1 vikoristannii	materiialiiv
   1 vijshlo	Novu
   1 viivtorok	chetver
   1 viin	buv
   1 viil	noyu
   1 viijnii	Vona
   1 viijni	Ukrayins
   1 viidverto	kazati
   1 viidsiich	ii
   1 viidsiich	agresoru
   1 viidomim	pis
   1 viideoblog	YAniina
   1 viideoblog	Najbiil
   1 viiddavati	zhittya
   1 viiddavali	svoie
   1 viiddast	nashih
   1 viid	minulogo
   1 viid	gripu
   1 vidayut	sya
   1 veteran	Drugoyi
   1 ves	cej
   1 verhiivku	a
   1 veresnya	1991
   1 vereschati	Pro
   1 velikimi	spodiivannyami
   1 vedemo	z
   1 vede	ponad
   1 vdalisya	Niiderlandi
   1 vdalim	viin
   1 vam	vidayut
   1 vadami	Mali
   1 v	yakiij
   1 v	osoblivij
   1 v	gazetii
   1 v	centrii
   1 v	Ukrayinii
   1 v	IIzrayilii
   1 v	IES
   1 uzhe	narodivsya
   1 uviiruvali	scho
   1 uvagu	nasampered
   1 uvagi	sviitovoyi
   1 utverdzhennya	Nezalezhnostii
   1 usviidomili	scho
   1 ustanovah	rozmovlyayut
   1 uspiishnim	vdalim
   1 usiima	zhahlivimi
   1 usii	vorozhii
   1 usii	balachki
   1 uporyadkovana	ne
   1 ukrayins	ki
   1 ukrayins	ka
   1 ukrayincya	svoie
   1 ukrayinciiv	Biil
   1 ukrayincii	nedoprac
   1 u	viivtorok
   1 u	viijnii
   1 u	rozbudovii
   1 u	postradyans
   1 u	pershii
   1 u	niij
   1 u	nas
   1 u	n
   1 u	krayinii
   1 u	derzhavnih
   1 u	Pol
   1 u	NATO
   1 u	2022
   1 u	1991
   1 trivalo	do
   1 trivalo	bagato
   1 tri	formi
   1 treba	zaboronyati
   1 treba	pripinyati
   1 treba	pam
   1 treba	ce
   1 treba	buduvati
   1 togo	chasu
   1 togo	blokuvannya
   1 todii	koli
   1 to	c
   1 tipu	Ukrayinu
   1 tim	maie
   1 tiil	ki
   1 televiiziijnih	kanaliiv
   1 telebachennii	radiio
   1 takogo	tipu
   1 takimi	scho
   1 takii	obmezhennya
   1 ta	sila
   1 ta	p
   1 sya	zakonom
   1 sya	za
   1 sya	takimi
   1 sya	stavlennya
   1 sya	pro
   1 sya	principu
   1 sya	nazad
   1 sya	najpershe
   1 sya	do
   1 svoyih	gromadyan
   1 svoyi	vimiiri
   1 svoyi	ociinki
   1 svoyi	miiniisterstva
   1 svoyi	mehaniizmi
   1 svoie	zhittya
   1 svoie	sprijnyattya
   1 svobodi	Voni
   1 sviitu	do
   1 sviitovoyi	viijni
   1 sviitovoyi	gromads
   1 sviitlii	perspektivi
   1 suvorii	obmezhennya
   1 suspiil	stvo
   1 suspiil	stva
   1 suspiil	nih
   1 stvo	ii
   1 stva	vam
   1 stva	Miicnii
   1 struktur	SCHob
   1 strimuvati	zneshkodzhuvati
   1 stoyati	na
   1 stavlennya	sviitu
   1 stati	viil
   1 stanovlennya	Tak
   1 stan	Volodimir
   1 stan	Andriij
   1 stalasya	Revolyuciiya
   1 sprijnyattya	Nezalezhnostii
   1 spravdii	uviiruvali
   1 sprav	ne
   1 sposteriigaie	za
   1 spontannij	harakter
   1 spodiivayusya	scho
   1 spodiivannyami	oglyadaiemosya
   1 spad	nabiraie
   1 sociialiistiiv	pri
   1 sliid	zvernuti
   1 silovii	organi
   1 silami	komuniistiiv
   1 sila	na
   1 sila	hoche
   1 sil	na
   1 shuvati	u
   1 shpiguniiv	ii
   1 shlyahu	neposliidovnostii
   1 shlyahu	do
   1 she	u
   1 she	rozpoviidati
   1 she	dbati
   1 serpnya	schob
   1 sebe	biil
   1 schodo	zaprovadzhennya
   1 schodo	vikoristannya
   1 schodo	dekomuniizaciiyi
   1 schodnya	dayut
   1 schob	zbagnuti
   1 schob	u
   1 schob	nejtraliizuvati
   1 schob	ne
   1 schob	des
   1 scho	treba
   1 scho	sliid
   1 scho	roblyat
   1 scho	progoloshennya
   1 scho	perebuvaiemo
   1 scho	golovnim
   1 scho	Ukrayina
   1 schii	Derzhava
   1 samostiijnoyu	krayinoyu
   1 sajtu	____________________
   1 sajtii	Facebook
   1 sajt	ie
   1 ruh	derzhavnikiiv
   1 rozvivalisya	procesi
   1 rozviidku	ii
   1 rozumiiti	nashii
   1 rozpovsyudzhuyut	sya
   1 rozpoviiv	yak
   1 rozpoviidati	pro
   1 rozpadu	krayini
   1 rozmovlyayut	ne
   1 rozmovlyati	rosiijs
   1 rozbudovuiemo	U
   1 rozbudovii	vlasnoyi
   1 rosiiyan	Taras
   1 rosiiyan	Besplatka
   1 rosiijs	koyu
   1 rosiijs	koyi
   1 rosiijs	kih
   1 rosiijs	ka
   1 rol	movi
   1 roku	trivalo
   1 roku	Vihodit
   1 roku	Na
   1 roki	rosiijs
   1 roki	ii
   1 roki	do
   1 rocii	podati
   1 rocii	mi
   1 roblyat	derzhavnic
   1 robiti	kroki
   1 ris	postradyans
   1 riishuche	provesti
   1 riik	prozhitij
   1 riich	scho
   1 resht	usviidomili
   1 reliigiiyu	Hoche
   1 reformu	osviiti
   1 reformovana	ale
   1 razom	Trampa
   1 radiio	schodo
   1 publisher	Facebook
   1 publiicistom	golovoyu
   1 prozhitij	viid
   1 provesti	reformu
   1 proti	nas
   1 proti	Ukrayini
   1 proroctva	Mistec
   1 projde	periiod
   1 progoloshennya	kozhen
   1 procesi	otamanschini
   1 pro	zmiicnennya
   1 pro	vlasnii
   1 pro	spontannij
   1 pro	sebe
   1 pro	nashu
   1 pro	derzhavu
   1 pro	chlenstvo
   1 pro	ce
   1 prizvesti	do
   1 privesti	nas
   1 prisudzhennya	SHevchenkiivs
   1 pripinyati	usii
   1 principu	koli
   1 priklad	z
   1 prijshla	druga
   1 priizvischami	za
   1 priioriteti	Mi
   1 prihil	nij
   1 pri	aktivnomu
   1 premiiyi	ekologom
   1 pravila	Nema
   1 pravil	nii
   1 prava	zahischenii
   1 pragnennya	stati
   1 pracyuie	na
   1 poyava	grupi
   1 povniistyu	piidporyadkovana
   1 povinnii	strimuvati
   1 povinnii	ob
   1 povinnii	dobrovol
   1 povinnii	biil
   1 povinna	zmiicnyuvati
   1 povinna	robiti
   1 povinna	iisnuvati
   1 potuzhna	Povinnii
   1 postup	nezvorotnim
   1 postradyans	koyi
   1 postradyans	kiij
   1 postradyans	ka
   1 postkomuniistichna	postradyans
   1 poslom	Ukrayini
   1 posilannya	na
   1 posiisti	chiil
   1 popri	vsii
   1 ponevoliti	nas
   1 ponad	tri
   1 pomilki	C
   1 pomerla	novonarodzhena
   1 pomer	najstariishij
   1 podrobicii	TOP
   1 podrobicii	15
   1 podobaiet	sya
   1 podati	zayavku
   1 pochatku	dovgogo
   1 pochalasya	rosiijs
   1 pobudovi	nezalezhnoyi
   1 po	ukrayins
   1 po	sajtu
   1 pishatisya	cim
   1 pis	mennikom
   1 piidrozdiili	to
   1 piidrahunkami	ekspertiiv
   1 piidporyadkovana	iinteresam
   1 piidpiski	____________________
   1 perspektivi	U
   1 pershii	dva
   1 periiod	stanovlennya
   1 perevazhno	silami
   1 perejmaiet	sya
   1 perebuvaiemo	u
   1 perebuvaie	v
   1 pan	YUriij
   1 pamani	ziibrali
   1 pam	yatayuchi
   1 pam	yatati
   1 p	yatu
   1 p	yatnicyu
   1 p	yatiij
   1 oznaki	Mi
   1 oznachaie	scho
   1 ovuiemo	u
   1 otamanschini	mahnovschini
   1 osviiti	v
   1 osoblivij	iedinij
   1 organiizovanim	Ce
   1 organi	yakii
   1 optimiistichnii	oznaki
   1 opoziciiyi	Buduvali
   1 oporii	naciional
   1 omu	shlyahu
   1 omu	rol
   1 okonfuzilas	na
   1 okom	riik
   1 okine	okom
   1 ohoronyayut	sya
   1 ogo	roku
   1 ogo	dostatn
   1 ogo	chi
   1 oglyanet	sya
   1 oglyadaiemosya	na
   1 odnim	iiz
   1 ociinki	Viidznachayuchi
   1 obov	yazkovim
   1 obmezhennya	schodo
   1 obmezhennya	ii
   1 ob	iednuvatisya
   1 o	dlya
   1 noyu	samostiijnoyu
   1 noyi	bezpeki
   1 novonarodzhena	ditina
   1 novogo	zrazka
   1 novogo	mi
   1 novini	______________________________________________________________
   1 nova	derzhava
   1 nij	do
   1 niij	z
   1 niij	optimiistichnii
   1 niide	nema
   1 nii	priioriteti
   1 nii	pravila
   1 nii	iinteresi
   1 nih	avtoritetiiv
   1 nezvorotnim	Takim
   1 nezalezhnoyi	ievropejs
   1 nepripustimo	Jdet
   1 neposliidovnostii	pomilki
   1 nema	Bat
   1 nejtraliizuvati	usii
   1 negarazdi	na
   1 nedrugi	Ukrayini
   1 nedoprac	ovuiemo
   1 ne	zavzhdi
   1 ne	vijshlo
   1 ne	viiddast
   1 ne	uporyadkovana
   1 ne	stoyati
   1 ne	rozvivalisya
   1 ne	reformovana
   1 ne	podobaiet
   1 ne	po
   1 ne	oznachaie
   1 ne	miisce
   1 ne	jde
   1 ne	ie
   1 ne	gromadyan
   1 ne	dorobili
   1 ne	dopustiti
   1 ne	bulo
   1 ne	buli
   1 nazvati	za
   1 nazvami	televiiziijnih
   1 nazavzhdi	ponevoliti
   1 nazad	okine
   1 naskiil	ki
   1 nasil	stva
   1 nashu	borot
   1 nashoyi	vladi
   1 nashoyi	svobodi
   1 nashoyi	krayini
   1 nashoyi	Asociiaciiyi
   1 nashii	sviitlii
   1 nashih	iistorichnih
   1 nashe	pragnennya
   1 nasha	zayavka
   1 nasampered	Podbati
   1 nas	treba
   1 nas	oglyanet
   1 nas	niide
   1 nas	do
   1 nas	bajduzhij
   1 nas	Viijnu
   1 nas	V
   1 nas	Rosiiya
   1 narodivsya	tiil
   1 nami	a
   1 nam	treba
   1 nam	ne
   1 nalezhat	na
   1 najstariishij	veteran
   1 najpershe	vlasnimi
   1 naciional	noyi
   1 naciional	demokratichnoyi
   1 nabiraie	iinshih
   1 na	zakritomu
   1 na	yaku
   1 na	vsii
   1 na	telebachennii
   1 na	spad
   1 na	sajtii
   1 na	sajt
   1 na	pochatku
   1 na	n
   1 na	koliinah
   1 na	dzherelo
   1 na	derzhava
   1 na	chlenstvo
   1 na	c
   1 na	Rosiiyu
   1 n	omu
   1 n	ogo
   1 mozhut	prizvesti
   1 mozhna	nazvati
   1 movu	reliigiiyu
   1 movnih	kvot
   1 movi	agresora
   1 movi	IE
   1 mova	maie
   1 moryakiiv	TOP
   1 moryakiiv	16
   1 modelii	z
   1 model	ievropejs
   1 model	centrii
   1 minulogo	24
   1 miisce	Ce
   1 miinliva	YAkii
   1 miiniisterstva	iinshii
   1 miiniimum	tri
   1 mi	z
   1 mi	ukrayincii
   1 mi	dosyagli
   1 mi	buduvali
   1 metaforichnim	vislovom
   1 mennikom	publiicistom
   1 mene	ie
   1 mehaniizmi	povinnii
   1 mehaniizmi	naciional
   1 medikom	diplomatom
   1 materiialiiv	aktivne
   1 materiiali	rozpovsyudzhuyut
   1 materiiali	nalezhat
   1 maie	privesti
   1 maie	posiisti
   1 maie	buti
   1 mahnovschini	haotichnostii
   1 lyudinoyu	yaka
   1 lyudi	ii
   1 lyudej	yakii
   1 liicenziiieyu	CC
   1 legko	projde
   1 ladnii	ii
   1 kvot	na
   1 kursu	Putiin
   1 kursu	Nataliiya
   1 krokiiv	nashoyi
   1 kroki	iiz
   1 kriim	voroga
   1 krayinu	buduvali
   1 krayinoyu	ne
   1 krayinii	ne
   1 krayini	movu
   1 krayini	chlenom
   1 krayini	To
   1 krayini	Derzhava
   1 krayini	Ale
   1 kozhnogo	ukrayincya
   1 kozhen	z
   1 koyu	Ale
   1 koyi	premiiyi
   1 koyi	movi
   1 koyi	derzhavi
   1 koyi	agresiiyi
   1 koyi	Ukrayini
   1 kostii	Za
   1 kontrrozviidku	schob
   1 komuniistiiv	sociialiistiiv
   1 kolonu	shpiguniiv
   1 kolonii	Moskvi
   1 koliinah	Ne
   1 koli	u
   1 koli	nam
   1 koli	kriim
   1 kogo	suspiil
   1 kij	postup
   1 kiivschinoyu	ukrayinciiv
   1 kiivschini	Sviit
   1 kiij	modelii
   1 kii	pamani
   1 kih	diversantiiv
   1 ki	uspiishnim
   1 ki	ne
   1 ki	ce
   1 kazhe	pan
   1 kazati	a
   1 kanaliiv	Derzhava
   1 ka	za
   1 ka	mova
   1 ka	galereya
   1 ka	agresiiya
   1 ka	Zdorova
   1 jde	na
   1 j	ohoronyayut
   1 iiz	zahistu
   1 iiz	suspiil
   1 iistoriiyu	nashoyi
   1 iistorichnih	dosyagnen
   1 iistorichna	zakonomiirniist
   1 iisnuyut	suvorii
   1 iisnuvati	dlya
   1 iisnuvala	tri
   1 iinteresi	Brati
   1 iinteresami	Priklad
   1 iinteresam	Rosiiyi
   1 iinshii	derzhavnii
   1 iinshii	Sviit
   1 iinshih	form
   1 iilyuziiya	Mi
   1 iidentichnostii	Ukrayina
   1 ii	zbiil
   1 ii	vodnochas
   1 ii	ves
   1 ii	u
   1 ii	rozumiiti
   1 ii	rosiijs
   1 ii	pochalasya
   1 ii	p
   1 ii	kontrrozviidku
   1 ii	ie
   1 ii	dalii
   1 ii	SCHerbak
   1 ii	Kiim
   1 iednuvatisya	v
   1 iedinij	ruh
   1 ie	zaporukoyu
   1 ie	vlada
   1 ie	u
   1 ie	svoyi
   1 ie	poyava
   1 ie	organiizovanim
   1 ie	obov
   1 ie	bat
   1 hto	pracyuie
   1 hoche	znischiti
   1 harakter	nashoyi
   1 haotichnostii	yakii
   1 grupi	viidomim
   1 grupi	lyudej
   1 gromadyans	kogo
   1 gromadyan	dlya
   1 gromadyan	Ce
   1 gromads	kostii
   1 gripu	pomerla
   1 golovoyu	Komiitetu
   1 golovnim	vorogom
   1 giidnostii	ii
   1 giibridno	miinliva
   1 gazetii	Reklama
   1 galereya	ProArt
   1 formii	prijshla
   1 formi	derzhavi
   1 form	vona
   1 ekspertiiv	u
   1 eks	poslom
   1 ekologom	medikom
   1 dzherelo	j
   1 dva	roki
   1 duzhe	potuzhna
   1 dumali	yakscho
   1 drukom	u
   1 druga	model
   1 dovgogo	shlyahu
   1 dotrimuyut	sya
   1 dosyagnen	popri
   1 dosyagli	ii
   1 dostatn	o
   1 dorobili	Rozmovu
   1 dopustiti	biidi
   1 dokladaiet	sya
   1 dobrovol	cii
   1 do	yakogo
   1 do	utverdzhennya
   1 do	rozpadu
   1 do	IEvropi
   1 do	2010
   1 dlya	zahistu
   1 dlya	togo
   1 dlya	proroctva
   1 dlya	pobudovi
   1 dlya	piidpiski
   1 dlya	mene
   1 dlya	Ukrayini
   1 diversantiiv	Tih
   1 ditina	Merkel
   1 diskusiij	schodo
   1 diplomatom	eks
   1 des	u
   1 derzhavu	yaka
   1 derzhavnikiiv	Ukrayini
   1 derzhavnii	piidrozdiili
   1 derzhavnii	mehaniizmi
   1 derzhavnih	ustanovah
   1 derzhavnih	struktur
   1 derzhavnih	sprav
   1 derzhavnic	kij
   1 derzhavi	z
   1 derzhavi	bulo
   1 derzhavi	Na
   1 derzhava	yaku
   1 derzhava	iisnuvala
   1 derzhava	SCHe
   1 den	yiyi
   1 demokratichnoyi	opoziciiyi
   1 dekomuniizaciiyi	CHuti
   1 de	dotrimuyut
   1 dbati	pro
   1 dayut	viidsiich
   1 davno	zaprogramovana
   1 davnim	davno
   1 davatimemo	viidsiich
   1 dalii	viiddavati
   1 cim	ii
   1 ciij	formii
   1 cii	yakii
   1 chomu	mi
   1 chogo	vereschati
   1 chlenstvo	v
   1 chlenstvo	u
   1 chlenom	grupi
   1 chinnikom	dlya
   1 chimalo	dokladaiet
   1 chiil	ne
   1 chi	nas
   1 chi	gromadyans
   1 chetver	ta
   1 chasu	yak
   1 chasu	progoloshennya
   1 chas	Ukrayina
   1 centrii	uvagi
   1 centrii	IEvropi
   1 cej	chas
   1 ce	viidverto
   1 ce	vedemo
   1 ce	nepripustimo
   1 c	omu
   1 c	ogo
   1 buv	dlya
   1 buti	nasha
   1 bulo	znischeno
   1 bulo	nasil
   1 bulo	Derzhava
   1 buli	vipadkovimi
   1 bula	iistorichna
   1 bula	iilyuziiya
   1 buduvati	Vodnochas
   1 buduvali	perevazhno
   1 buduvali	Persha
   1 bude	ta
   1 bu	IInsha
   1 borot	bu
   1 blokuvannya	nashoyi
   1 biidi	schob
   1 bezpeki	rozviidku
   1 bat	kiivschinoyu
   1 bandits	koyi
   1 balachki	yakii
   1 bajduzhij	perejmaiet
   1 bagato	ris
   1 bagato	diskusiij
   1 avtoritetiiv	krayini
   1 angliijs	koyi
   1 ale	duzhe
   1 aktivnomu	oporii
   1 aktivne	posilannya
   1 agresoru	ii
   1 agresora	U
   1 agresiiyi	iinshii
   1 agresiiya	proti
   1 adresa	dlya
   1 a	mi
   1 __________________________________________________________________	Zdorova
   1 __________________________________________________________________	U
   1 __________________________________________________________________	Moskva
   1 __________________________________________________________________	INS
   1 __________________________________________________________________	17
   1 ______________________________________________________________	ZHittya
   1 ______________________________________________________________	Novini
   1 ______________________________________________________________	Kontakti
   1 ______________________________________________________________	IInterv
   1 Zamok	Novini
   1 Zamok	Gazeta
   1 Za	piidrahunkami
   1 ZHittya	Sport
   1 ZHittya	Daleke
   1 YUsov	CHi
   1 YUriij	Ce
   1 YUriiiem	SCHerbakom
   1 YAniina	Sokolova
   1 YAkii	z
   1 YAk	miiniimum
   1 Vsii	prava
   1 Voznyak	Putiin
   1 Voni	povinnii
   1 Vona	zhorstoka
   1 Volodimir	Okiilko
   1 Vodnochas	pam
   1 Viitchiznu	Ukrayina
   1 Viin	uzhe
   1 Viijnu	proti
   1 Viidznachayuchi	den
   1 Viideo	Foto
   1 Viideo	Blogi
   1 Vihodit	drukom
   1 V	Ukrayinii
   1 Ukrayinu	nam
   1 Ukrayinii	novogo
   1 Ukrayinii	ne
   1 Ukrayini	v
   1 Ukrayini	pro
   1 Ukrayini	maie
   1 Ukrayini	Viin
   1 Ukrayini	Tekstovii
   1 Ukrayini	SCHo
   1 Ukrayini	Model
   1 Ukrayina	zobov
   1 Ukrayina	sil
   1 Ukrayina	perebuvaie
   1 Ukrayina	legko
   1 USD27	450
   1 U	niij
   1 U	kozhnogo
   1 U	chomu
   1 U	SSHA
   1 U	Franciiyi
   1 Trampa	Putiina
   1 Tomu	treba
   1 To	bula
   1 Tih	hto
   1 Tekstovii	materiiali
   1 Taras	Voznyak
   1 Takim	chinnikom
   1 Tak	ne
   1 Sviit	znaie
   1 Sviit	sposteriigaie
   1 Sport	Publiicistika
   1 Sport	IInterv
   1 Sokolova	Moskva
   1 Salon	Ostannii
   1 SSHA	pomer
   1 SSHA	Meksicii
   1 SHukati	Globus
   1 SHevchenkiivs	koyi
   1 SCHob	v
   1 SCHo	novogo
   1 SCHerbakom	Nasampered
   1 SCHerbak	__________________________________________________________________
   1 SCHerbak	INS
   1 SCHe	ne
   1 Rozmovu	pro
   1 Rosiiyu	mozhna
   1 Rosiiya	vede
   1 Revolyuciiya	giidnostii
   1 Reklama	v
   1 Reklama	na
   1 Redakciiya	______________________________________________________________
   1 RSS	USD27
   1 RSS	Elektronna
   1 Putiina	ii
   1 Publiicistika	______________________________________________________________
   1 ProArt	Gallery
   1 Pro	suspiil
   1 Priklad	togo
   1 Pri	vikoristannii
   1 Prava	na
   1 Povinnii	pishatisya
   1 Povaliij	okonfuzilas
   1 Postala	nova
   1 Poshuk	po
   1 Pol	schii
   1 Podbati	pro
   1 Piidpisatisya	Visokij
   1 Peruans	kii
   1 Persha	postkomuniistichna
   1 Pered	tim
   1 Ostannii	novini
   1 Os	takogo
   1 Okiilko	INS
   1 Novu	krayinu
   1 Novini	__________________________________________________________________
   1 Niiderlandi	Mi
   1 Nezalezhnostii	u
   1 Nezalezhnostii	svoyi
   1 Nezalezhnostii	odnim
   1 Nezalezhnostii	nashe
   1 Nezalezhnostii	ie
   1 Nezalezhnostii	YAk
   1 Nezalezhniist	SCHerbak
   1 Nema	chogo
   1 Ne	povinnii
   1 Nataliiya	Balyuk
   1 Nasampered	treba
   1 Na	zmiinu
   1 Na	scho
   1 Na	Harkiivschinii
   1 ND	4
   1 NC	ND
   1 NATO	Os
   1 Moskvi	Cii
   1 Model	bandits
   1 Mistec	ka
   1 Miicnii	derzhavnii
   1 Mi	vreshtii
   1 Mi	spravdii
   1 Mi	povinnii
   1 Mi	na
   1 Meksicii	Kanadii
   1 Mali	silovii
   1 Krayina	vistoyit
   1 Kontakti	Reklama
   1 Komiitetu	z
   1 Kiim	CHen
   1 Karikatura	Redakciiya
   1 Karikatura	Poshuk
   1 Kanadii	YUriiiem
   1 Jdet	sya
   1 Ina	dlya
   1 INS	You
   1 INS	Salon
   1 INS	IInterv
   1 INS	Blogi
   1 IIzrayilyu	de
   1 IIzrayilii	SSHA
   1 IInsha	riich
   1 IEvrosoyuzom	do
   1 IEvropi	povniistyu
   1 IEvropi	Cya
   1 IES	Pered
   1 IE	takii
   1 Hoche	nazavzhdi
   1 Harkiivschinii	viid
   1 Globus	You
   1 Gazeta	zasnovana
   1 Gallery	Arhiiv
   1 Franciiyi	iisnuyut
   1 Foto	z
   1 Foto	Viideo
   1 Foto	Dozviillya
   1 Fariion	IIvan
   1 Fariion	23
   1 Eliina	CHajkiivs
   1 Elektronna	adresa
   1 Ekonomiika	ZHittya
   1 Ekonomiika	Sport
   1 EUR31	230
   1 Drugoyi	sviitovoyi
   1 Dozviillya	______________________________________________________________
   1 Derzhava	vstanovila
   1 Cya	sila
   1 Cya	model
   1 Cya	derzhava
   1 Cii	lyudi
   1 Ce	trivalo
   1 Ce	ne
   1 Ce	bula
   1 Ce	bude
   1 CHuti	bulo
   1 CHen	Ina
   1 CHajkiivs	ka
   1 CC	BY
   1 C	ogo
   1 Buduvali	yiyi
   1 Brati	priklad
   1 Blogi	__________________________________________________________________
   1 Blogi	Viideo
   1 Blogi	Daleke
   1 Biil	she
   1 Besplatka	INS
   1 Bat	kiivschini
   1 Balyuk	Najbiil
   1 BY	NC
   1 BUTTON	SHukati
   1 BUTTON	Piidpisatisya
   1 Asociiaciiyi	z
   1 Arhiiv	__________________________________________________________________
   1 Andriij	YUsov
   1 Ale	koli
   1 Ale	ie
   1 7	veresnya
   1 54	U
   1 46	rozpoviiv
   1 450	18
   1 4	0
   1 2838	Krayina
   1 24	serpnya
   1 24	15
   1 230	12
   1 23	Na
   1 23	08
   1 2022	rocii
   1 2018	Ukrayins
   1 2018	Merkel
   1 2017	09
   1 2010	roku
   1 1991	roku
   1 1991	rocii
   1 18	EUR31
   1 17	23
   1 16	46
   1 16	24
   1 15	54
   1 15	12
   1 12	Visokij
   1 12	Peruans
   1 09	00
   1 08	2017
   1 00	2838
   1 0	
