   8 12	18
   1 viin	obiijmav
   1 viin	ne
   1 viin	antikomuniist
   1 viidstoyati	suvereniitet
   1 viidomij	svoyimi
   1 viidnovlennya	ta
   1 viidnosin	z
   1 viidnosin	chasto
   1 viidkriti	chornii
   1 viidens	kiij
   1 viidbuvsya	vel
   1 viidbuvalasya	vona
   1 viid	ag3resiiyi
   1 viid	UIINP
   1 viid	1993
   1 viice	kanclera
   1 vii	Lozhan
   1 vihodu	nazovnii
   1 vihodu	na
   1 vihodu	Ukrayini
   1 vihodit	z
   1 viglyadalo	niibito
   1 vidati	sebe
   1 viborsavsya	zdavalosya
   1 vi	znaiete
   1 velikih	miist
   1 vel	mi
   1 vdast	sya
   1 vdalosya	yiyi
   1 vbachayut	niichogo
   1 vbachaie	zhodnoyi
   1 v	zhittii
   1 v	zamorozhenomu
   1 v	usiij
   1 v	ukrayinii
   1 v	rechnikah
   1 v	odnomu
   1 v	niij
   1 v	kvartal
   1 v	kremliivs
   1 v	iistoriiyi
   1 v	dityachih
   1 v	borot
   1 v	advokatah
   1 v	Pol
   1 v	AMU
   1 v	1996
   1 uves	proces
   1 uvagu	na
   1 uvagoyu	Tomu
   1 uv	yaznenih
   1 uspiishnogo	ekonomiichnogo
   1 usiij	iistoriiyi
   1 uryadu	apriiorii
   1 uryadovcii	z
   1 uryadom	ta
   1 uryad	viid
   1 umovi	posilannya
   1 ukrayins	koyi
   1 ukrayins	kim
   1 ukrayino	pol
   1 ukrayinii	u
   1 uchast	Golovnim
   1 uchasnikiiv	forumu
   1 u	zmalyuvannii
   1 u	viirtuoznomu
   1 u	sviitlo
   1 u	sviitii
   1 u	normaliizaciiyu
   1 u	n
   1 u	komentarii
   1 u	klyuchovih
   1 u	forumii
   1 u	deklaraciiyi
   1 u	Viidnii
   1 u	PiiSii
   1 u	Kiievii
   1 tvorcii	poobiicyali
   1 tu	perevagu
   1 trimav	uves
   1 trikutnikiiv	kvadratiiv
   1 trapeciij	u
   1 traktuvannya	rozkrivaiet
   1 toscho	Buv
   1 tomu	Fiirtash
   1 tomu	28
   1 togo	sportu
   1 tobto	togo
   1 to	zrobiti
   1 to	ochevidno
   1 tim	scho
   1 tiisna	spiivpracya
   1 tezh	stverdzhuie
   1 tezh	ne
   1 termiinovo	shukati
   1 teple	a
   1 temnoyu	Obman
   1 temi	Ukrayincii
   1 techiij	ne
   1 te	yak
   1 tati	moieyi
   1 tarapat	perebuvayuchi
   1 tam	buv
   1 takozh	staie
   1 takozh	hochut
   1 takoyi	sumi
   1 takij	vitiik
   1 takij	dosviidchenij
   1 takij	Fiirtash
   1 takii	sumi
   1 taka	nadmiirna
   1 tak	legko
   1 tak	amerikancii
   1 tak	Ciimosheviich
   1 taiemnicii	samosviidomostii
   1 ta	reformi
   1 ta	profspiilok
   1 ta	profesiijnih
   1 ta	prezidentom
   1 ta	predstavniki
   1 ta	poetichnii
   1 ta	podatkiiv
   1 ta	moderniizaciiyi
   1 ta	lordom
   1 ta	iinshe
   1 ta	eks
   1 ta	IEvraziijs
   1 sya	za
   1 sya	yiyi
   1 sya	rozumiiiete
   1 sya	pro
   1 sya	na
   1 sya	doluchitisya
   1 sya	deoliigarhiizaciiyi
   1 sya	chinnim
   1 sya	a
   1 sya	Oleksandrovii
   1 sya	A
   1 svoyimi	virazno
   1 svoyij	spiivpracii
   1 svoyih	hvilyah
   1 svoyi	poliitichnii
   1 svoieyu	chergoyu
   1 svoie	iisnuvannya
   1 sviitoglyad	pragmatichnii
   1 sviitlo	rampi
   1 sviitii	shtuka
   1 sviitii	Kiistki
   1 sviij	zviit
   1 sviij	vnesok
   1 suvereniitet	derzhavi
   1 suspiil	stvo
   1 super	Lishe
   1 sumi	na
   1 sumi	Dlya
   1 sudovim	zasiidannyam
   1 sudovih	skandaliiv
   1 sud	priznachiv
   1 suchasnih	diitej
   1 stvoryuvati	miiscya
   1 stvoreno	AMU
   1 stvorena	francuz
   1 stvo	yak
   1 stverdzhuie	scho
   1 stosuvatimet	sya
   1 stosunki	dvoh
   1 stolu	u
   1 stav	francuz
   1 stati	ciinnim
   1 starannyami	organiizovanij
   1 stanii	Volodimir
   1 stane	Bartosh
   1 staie	zrozumiiloyu
   1 staie	zrozumiilim
   1 stabiiliizaciiya	situaciiyi
   1 sprobi	uchasnikiiv
   1 sprijmayut	A
   1 spravu	Dobre
   1 sprava	guchnih
   1 sprav	Franciiyi
   1 sportu	yakij
   1 sponsorovanoyi	Fiirtashem
   1 spiivpracyuvati	z
   1 spiivpracya	z
   1 spiivpracii	z
   1 spiivpracii	pracedavciiv
   1 spiilok	YA
   1 spiil	nim
   1 sociialiist	potiim
   1 sociialiist	Fransua
   1 slovom	legkiij
   1 skuchili	za
   1 skromnostii	zayaviti
   1 skladnoyu	ii
   1 skladno	zrozumiiti
   1 skladnih	tarapat
   1 skladati	zbroyu
   1 skinuti	vinu
   1 skandaliiv	ne
   1 skandal	u
   1 situaciiyi	v
   1 situaciiya	na
   1 siimej	A
   1 shvidshe	niizh
   1 shvidshe	Plastinki
   1 shukati	zamiinu
   1 shtuka	nauka
   1 shodii	Ukrayini
   1 shivih	novin
   1 shemi	Kremlya
   1 she	sprobi
   1 she	niizh
   1 she	500
   1 serjozno	ne
   1 selyans	koyi
   1 sekretar	avstriijs
   1 sebe	za
   1 sebe	cviit
   1 schojno	zvernesh
   1 schodo	efektivnoyi
   1 schobi	rozgadati
   1 schob	zmusiti
   1 schob	vstignuti
   1 scho	ziibrav
   1 scho	zh
   1 scho	ya
   1 scho	vmivaie
   1 scho	viidbuvalasya
   1 scho	vihodit
   1 scho	stabiiliizaciiya
   1 scho	sprava
   1 scho	rozmiischenii
   1 scho	oliigarh
   1 scho	odna
   1 scho	ne
   1 scho	jomu
   1 scho	ie
   1 scho	hvilyuvatisya
   1 scho	do
   1 scho	Prigadajmo
   1 scho	Aniisiimov
   1 schini	yakij
   1 schii	vislovili
   1 schii	v
   1 schii	biil
   1 sche	zgadati
   1 sche	j
   1 sche	100
   1 samosviidomostii	Siil
   1 samosviidomostii	27
   1 sajtii	dozvolyaiet
   1 s	ogodnii
   1 s	koyi
   1 s	kogo
   1 s	kii
   1 s	kih
   1 ruku	z
   1 ruki	9
   1 ruh	kapiitaliiv
   1 rozvivayut	sya
   1 rozvivaiet	sya
   1 rozvitok	iiniiciiativi
   1 rozvitku	Ukrayini
   1 rozvitku	Dvoie
   1 rozumiiiete	Usyaka
   1 rozumiiie	vsiih
   1 rozshirennya	G3yuntera
   1 rozmiischenii	na
   1 rozkrivaiet	sya
   1 rozglyadayut	po
   1 rozgadati	taiemnicii
   1 rostu	v
   1 rosiijs	kogo
   1 rol	v
   1 roku	mi
   1 roku	koli
   1 roku	V
   1 rokiiv	tomu
   1 roki	zmiinyuvav
   1 rokah	U
   1 rodina	dvii
   1 roboti	Viperedzhayuchi
   1 roblyu	ii
   1 ritorichne	ale
   1 riiznomu	yak
   1 riishen	abo
   1 riik	tomu
   1 riik	piislya
   1 rezul	tati
   1 reprezentuvati	chiitkij
   1 rekomendaciiyi	schodo
   1 rekomendaciiyami	dlya
   1 rekomendaciij	stosuvatimet
   1 reformi	j
   1 reformi	ie
   1 rechnikah	eks
   1 real	nih
   1 razii	pol
   1 raz	antifashist
   1 rampi	piid
   1 raj	ce
   1 rado	viitaiet
   1 raditime	odnomu
   1 punkt	u
   1 publiicist	Bernar
   1 provaditi	reformi
   1 provaditi	peremovini
   1 proukrayins	kimi
   1 protyagom	200
   1 protvereziinnya	Tak
   1 protistoyannya	cherez
   1 proti	ekstradiciiyi
   1 prosto	tak
   1 prosto	super
   1 prosto	skuchili
   1 prostim	ii
   1 prostih	riishen
   1 propag3andistom	ii
   1 promouterom	zahodu
   1 prolunalo	na
   1 prohodila	liiniiieyu
   1 profspiilok	z
   1 profspiilki	ta
   1 profesiijnih	spiilok
   1 proces	piid
   1 problemi	z
   1 pro	te
   1 pro	svoie
   1 pro	neobhiidniist
   1 pro	golovu
   1 prizvodit	do
   1 priznachiv	jomu
   1 pripustiti	scho
   1 pripuskayu	tak
   1 prinajmnii	zdivuvannya
   1 prinajmnii	pochuiemo
   1 primiirom	vzhe
   1 prihodilo	protvereziinnya
   1 prichetnih	do
   1 prezidentstvo	velikih
   1 prezidentom	u
   1 prezidentom	Franciiyi
   1 prezidentom	Federaciiyi
   1 prezidentom	Aleksandrom
   1 prezidenta	Volodimira
   1 pres	sekretar
   1 prem	iers
   1 prem	ieriiv
   1 preferenciiyi	Raz
   1 predstavniki	ievropejs
   1 predstavnic	kij
   1 precedent	zasviidchuie
   1 pravil	no
   1 pragmatichnii	ta
   1 pracedavciiv	ii
   1 poziciiyu	II
   1 poyasnyuie	organiizaciiya
   1 poviitrya	teple
   1 poviidomiti	scho
   1 poviidomili	scho
   1 povernulisya	eks
   1 potriibnii	300
   1 potiim	sociialiist
   1 potiim	antiamerikaniist
   1 potenciijnimi	iinvestorami
   1 postatii	vplivali
   1 pospiihu	prochitati
   1 poslom	Pol
   1 posilannya	na
   1 poshuku	prostih
   1 posadu	v
   1 poryatunku	uv
   1 porozumiinnii	ukrayins
   1 poperedniimi	ociinkami
   1 poobiicyali	protyagom
   1 poliitiki	ta
   1 poliitiki	haj
   1 poliitik	yak
   1 poliitichnoyu	gnuchkiistyu
   1 poliitichnii	preferenciiyi
   1 poliiciiieyu	ii
   1 pohodzhennya	groshej
   1 pogodivsya	to
   1 pogano	Ale
   1 poetichnii	traktuvannya
   1 podatkiiv	Dovelosya
   1 pochuv	bagato
   1 pochuiemo	zviit
   1 pochatku	osenii
   1 po	riiznomu
   1 png	Peredruk
   1 plan	vihodu
   1 plan	mav
   1 pitannya	ritorichne
   1 pitannya	bude
   1 piivtora	miisyacii
   1 piislya	areshtu
   1 piishli	u
   1 piikantnii	m
   1 piidvodnih	techiij
   1 piidtrimuvav	jogo
   1 piidpriiemec	Vasiiliij
   1 piid	ruku
   1 piid	mashkaroyu
   1 piid	kontrolem
   1 piid	egiidoyu
   1 pershogo	kruglogo
   1 perevagu	scho
   1 peremovini	z
   1 peremogla	opoziciiya
   1 peregovoriiv	Piidbiirka
   1 peredovsiim	schob
   1 peredbachiti	j
   1 pered	sudovim
   1 perebuvayuchi	za
   1 perebuvaie	v
   1 perebuvaie	piid
   1 patii	Petro
   1 partiiyi	viin
   1 parlamentu	lord
   1 otzhe	des
   1 otochennya	CHi
   1 osnovnogo	materiialu
   1 oskiil	ki
   1 osenii	c
   1 organiizovanij	Hto
   1 organiizaciiya	nadati
   1 opoziciiya	Oleg
   1 operativno	Prichomu
   1 opal	nim
   1 oliigarhom	Otzhe
   1 oliigarhom	Hocha
   1 oliigarhiiv	Zagadka
   1 oliigarhiiv	Ukrayini
   1 oliigarhami	17
   1 oliigarh	z
   1 okriim	oboroni
   1 okremii	postatii
   1 okremih	siimej
   1 ogodnii	formuyut
   1 ogo	viice
   1 ogo	takii
   1 ogo	miiniistra
   1 ogo	Federaciiya
   1 odnomu	z
   1 odnomu	iinterv
   1 odnogo	bitogo
   1 odna	z
   1 odin	punkt
   1 odin	nii
   1 odiioznim	oliigarhom
   1 ociinkami	dlya
   1 ocholyuvav	uryad
   1 ocholyuvati	v
   1 ochevidno	cej
   1 obstavini	ne
   1 oboroni	krayini
   1 oboma	ekonomiichnimi
   1 obiijmav	prem
   1 novostvorenogo	Soyuzu
   1 novin	Feliipe
   1 normaliizaciiyu	viidnosin
   1 no	dlya
   1 nim	ukrayins
   1 nim	iinteresom
   1 niizh	sche
   1 niizh	desyatiliittya
   1 niist	mozhe
   1 niist	dlya
   1 niimec	kim
   1 niij	biil
   1 niichogo	ganebnogo
   1 niibito	duzhe
   1 nii	odin
   1 nii	drugij
   1 nii	Mozhemo
   1 nih	Najveseliishe
   1 nezalezhnostii	U
   1 nevzhe	vsii
   1 nevimusheniij	movii
   1 nespodiivano	zayaviv
   1 nespodiivano	nabula
   1 nese	na
   1 neperebiirliviist	Nazviimo
   1 neobhiidniist	spiivpracii
   1 neobhiidna	tiisna
   1 nemaie	za
   1 nebitih	SHtajnbryuk
   1 ne	znav
   1 ne	znaie
   1 ne	zgortaiet
   1 ne	vplivaie
   1 ne	vbachayut
   1 ne	vbachaie
   1 ne	tak
   1 ne	sprijmayut
   1 ne	rozumiiie
   1 ne	prosto
   1 ne	pogano
   1 ne	nadto
   1 ne	mozhna
   1 ne	maie
   1 ne	lishe
   1 ne	hvilyuvali
   1 nazovnii	real
   1 nayivniist	chi
   1 navkolo	sebe
   1 naviit	ii
   1 navigation	Pol
   1 nauka	diskursi
   1 narodiiv	biil
   1 napryamok	fiinansiiv
   1 napriklad	Peier
   1 naprikiincii	liita
   1 napevno	prosto
   1 namiiru	skladati
   1 namagalisya	zapopasti
   1 najvischu	v
   1 najvazhliviishim	zavdannyam
   1 najmogutniishih	oliigarhiiv
   1 najblizhchogo	otochennya
   1 nadto	znanij
   1 nadmiirna	gnuchkiist
   1 nadati	rekomendaciiyi
   1 nad	iinshim
   1 naciiyi	Dinamiika
   1 naciionaliistichnij	Marsh
   1 nabula	pol
   1 nabridla	francuzam
   1 na	zbruc
   1 na	zakupi
   1 na	zahodii
   1 na	yakomu
   1 na	volyu
   1 na	svoyih
   1 na	stosunki
   1 na	shodii
   1 na	sajtii
   1 na	rezul
   1 na	porozumiinnii
   1 na	pochatku
   1 na	kishen
   1 na	gromadyans
   1 na	etniichnii
   1 na	emeriturii
   1 na	eliiti
   1 na	cholii
   1 na	H
   1 n	ogo
   1 mozhu	poviidomiti
   1 mozhna	SCHo
   1 mozhliviist	bez
   1 mozhe	stati
   1 movii	yaka
   1 moieyi	roboti
   1 moderniizaciiyi	ukrayins
   1 mln	v
   1 mistectvo	materiialiizovanij
   1 mirotvorciiv	chi
   1 minulii	roki
   1 minule	1893
   1 miizhlyuds	kih
   1 miisyacii	pered
   1 miist	peremogla
   1 miiscya	Anastasiiya
   1 miiniistra	zakordonnih
   1 miiniistra	fiinansiiv
   1 miiniistr	yusticiiyi
   1 miil	yardiiv
   1 miil	joniiv
   1 miig	rosiijs
   1 miig	bez
   1 mi	prinajmnii
   1 mi	predstavnic
   1 menshini	Pravda
   1 materiialu	Golovna
   1 materiialiizovanij	sviitoglyad
   1 materiialiiv	scho
   1 mashkaroyu	novostvorenogo
   1 manom	ta
   1 malo	viriishitisya
   1 mali	b
   1 majbutniim	prezidentom
   1 maie	tu
   1 maie	spravu
   1 maie	namiiru
   1 m	yako
   1 lyuksusoviij	viidens
   1 lyudini	27
   1 lyubovnih	trikutnikiiv
   1 lordom	Riizbii
   1 lordiiv	britans
   1 lord	Riichard
   1 logo	png
   1 lishe	ne
   1 liivih	demokratiiv
   1 liita	chi
   1 liiniiieyu	protistoyannya
   1 liider	dopustiti
   1 licemiirstvo	Nevzhe
   1 legko	za
   1 legko	piishli
   1 legkiij	nevimusheniij
   1 kvartal	Novim
   1 kvadratiiv	trapeciij
   1 ku	posadu
   1 kruglogo	stolu
   1 krugla	Timofiij
   1 krizi	Oskiil
   1 kremliivs	komu
   1 krayini	viid
   1 koyu	poliiciiieyu
   1 koyi	selyans
   1 koyi	poliitiki
   1 koyi	partiiyi
   1 koyi	ekonomiiki
   1 koyi	biiznes
   1 kovii	vitrati
   1 korupciiieyu	v
   1 korotke	schob
   1 kontrolem	ii
   1 konservator	Niikolya
   1 koncertniij	zalii
   1 komuniisti	piid
   1 komu	patii
   1 komentarii	dlya
   1 kolishniij	miiniistr
   1 kolishniih	prem
   1 koli	jdet
   1 koli	do
   1 kogo	uryadu
   1 kogo	rozvitku
   1 kogo	prezidenta
   1 kogo	parlamentu
   1 kogo	klubu
   1 klyuchovih	dlya
   1 klubu	vislovili
   1 kishen	kovii
   1 kimi	vislovlyuvannyami
   1 kim	oliigarhom
   1 kim	maie
   1 kim	fiilosofom
   1 kim	ekonomiichnim
   1 kim	deputatom
   1 kim	Vlodziimiezh
   1 kim	Soyuzom
   1 kij	sud
   1 kij	starannyami
   1 kij	skandal
   1 kij	rozvitok
   1 kij	precedent
   1 kij	piidpriiemec
   1 kij	liider
   1 kij	gromads
   1 kij	fiilosof
   1 kij	diiyach
   1 kij	Kasetno
   1 kiistkah	s
   1 kiij	koncertniij
   1 kii	ZMII
   1 kih	vzaiemin
   1 kih	viidnosin
   1 ki	yak
   1 ki	vvazhayu
   1 ke	suspiil
   1 kazhuchi	obstavini
   1 kapiitaliiv	Putiina
   1 kanclera	Avstriiyi
   1 kalambur	Val
   1 ka	v
   1 ka	afera
   1 joniiv	ievro
   1 jomu	nemaie
   1 jomu	najvischu
   1 jomu	dovedet
   1 jogo	vzhe
   1 jogo	viidkriti
   1 jogo	najblizhchogo
   1 jogo	Stav
   1 jdet	sya
   1 j	zaluchennya
   1 j	prezidentom
   1 j	bulo
   1 j	borotisya
   1 j	aktivno
   1 j	Velikoyi
   1 iistoriiyi	bulo
   1 iistoriiyi	Avstriiyi
   1 iisnuvannya	3
   1 iinvestorami	Deklarativno
   1 iinvesticiij	to
   1 iinterv	yu
   1 iinteresom	IEU
   1 iinstrumentom	schobi
   1 iinshim	nevzhe
   1 iinshe	vikoristannya
   1 iinkoli	okremii
   1 iiniiciiativi	sponsorovanoyi
   1 iiniiciiativi	Fiirtasha
   1 iinformaciiyi	Ce
   1 ii	za
   1 ii	yasnim
   1 ii	v
   1 ii	temnoyu
   1 ii	publiicist
   1 ii	promouterom
   1 ii	pohodzhennya
   1 ii	pochuv
   1 ii	na
   1 ii	kolishn
   1 ii	jogo
   1 ii	ie
   1 ii	golovno
   1 ii	doninii
   1 ii	Vlodziimiezh
   1 ii	Rosiiyi
   1 ievro	II
   1 iers	ku
   1 ieriiv	Pol
   1 ie	spiil
   1 ie	skladnoyu
   1 ie	sche
   1 ie	prostim
   1 ie	najvazhliviishim
   1 ie	chlenom
   1 ie	Fiirtash
   1 hvilyuvatisya	jomu
   1 hvilyuvali	prichetnih
   1 hvilyah	28
   1 hto	takij
   1 hodiv	kolishniij
   1 hochut	zrobiti
   1 haj	naviit
   1 guchnih	sudovih
   1 groshii	bulo
   1 groshej	takozh
   1 gromadyans	ke
   1 gromads	kij
   1 gri	A
   1 golovu	Federaciiyi
   1 golovoyu	yakoyi
   1 golovno	na
   1 golosiiv	pro
   1 gnuchkiistyu	Adzhe
   1 gnuchkiist	vzhe
   1 gazovii	shemi
   1 ganebnogo	Napriklad
   1 galichina	v
   1 g3runtuiet	sya
   1 g3ratami	Viidens
   1 francuzam	yakii
   1 francuz	kim
   1 foto	viid
   1 forumu	viklikav
   1 forumu	vidati
   1 forumu	Ot
   1 forumii	uchast
   1 forumii	j
   1 formuyut	sya
   1 forma	_______________
   1 footer	logo
   1 fiirtashiivs	kogo
   1 fiinansiiv	ta
   1 fiinansiiv	FRN
   1 fiilosofom	Bernarom
   1 fiilosof	ii
   1 fiilosof	Bernar
   1 fal	shivih
   1 eu	Web
   1 etniichnii	menshini
   1 emeriturii	Na
   1 eliiti	mali
   1 eliiti	chi
   1 ekstradovano	Fiirtasha
   1 ekstradiciiyi	Fiirtasha
   1 eks	uryadovcii
   1 eks	pres
   1 eks	poliitiki
   1 eks	miiniistra
   1 eks	komuniisti
   1 ekonomiiki	potriibnii
   1 ekonomiichnogo	rozvitku
   1 ekonomiichnimi	zonami
   1 ekonomiichnim	Naviit
   1 egiidoyu	rosiijs
   1 efektivnoyi	borot
   1 dzyudo	Rosiiyi
   1 dvoh	nebitih
   1 dvoh	narodiiv
   1 dvii	naciiyi
   1 duzhe	pravil
   1 duzhe	legko
   1 dumayu	U
   1 drugij	ne
   1 dozvolyaiet	sya
   1 dovolii	operativno
   1 doviira	neperebiirliviist
   1 dovedet	sya
   1 dosviidchenij	poliitik
   1 dopustiti	takij
   1 dopomoga	prosto
   1 dopitu	a
   1 doninii	zalishaiet
   1 doluchitisya	do
   1 doluchitisya	Val
   1 dolii	okremih
   1 dolariiv	iinvesticiij
   1 do	vladi
   1 do	rozshirennya
   1 do	poshuku
   1 do	osnovnogo
   1 do	iiniiciiativi
   1 do	forumu
   1 do	fiirtashiivs
   1 do	dekogo
   1 do	Spoluchenih
   1 do	SSHA
   1 do	1995
   1 dniiv	reprezentuvati
   1 dlya	vivchennya
   1 dlya	viidnovlennya
   1 dlya	vihodu
   1 dlya	poryatunku
   1 dlya	dopomoga
   1 dlya	dopitu
   1 dlya	Gazety
   1 dizajn	Poshukova
   1 dityachih	kiistkah
   1 diskursi	minule
   1 diiyach	fiilosof
   1 diitej	rozvivayut
   1 desyatiliittya	peregovoriiv
   1 des	naprikiincii
   1 derzhavi	28
   1 deputatom	Karlom
   1 deoliigarhiizuvati	Ukrayinu
   1 deoliigarhiizaciiyi	Veselo
   1 demokratiiv	na
   1 dekogo	prihodilo
   1 deklaraciiyi	forumu
   1 dalii	antiputiiniist
   1 cviit	ievropejs
   1 ciinnim	iinstrumentom
   1 ciinniist	Fransuazi
   1 ciilkovito	perebuvaie
   1 cii	piikantnii
   1 cii	eks
   1 chornii	gazovii
   1 cholii	z
   1 chogo	v
   1 chlenom	SLD
   1 chlenom	Pol
   1 chlen	Palati
   1 chiyim	vplivom
   1 chinnim	chlenom
   1 chiitkij	plan
   1 chi	vihodu
   1 chi	nii
   1 chi	ne
   1 chi	licemiirstvo
   1 chervnya	pol
   1 chervnya	na
   1 chervnya	a
   1 chergoyu	neobhiidna
   1 cherez	riik
   1 cherez	dolii
   1 chasto	prohodila
   1 cej	plan
   1 ce	poliitichnoyu
   1 ce	okriim
   1 ce	nayivniist
   1 ce	mozhliviist
   1 ce	Nadmiirna
   1 buv	u
   1 buv	ii
   1 buv	chlen
   1 bulo	znajdeno
   1 bulo	te
   1 bulo	stvoreno
   1 bude	ekstradovano
   1 bud	yakomu
   1 britans	kogo
   1 brav	u
   1 borotisya	z
   1 borot	bi
   1 bitogo	Fiirtash
   1 biiznes	eliiti
   1 biibliioteka	Andriij
   1 bi	z
   1 bi	peredbachiti
   1 bi	ocholyuvati
   1 bez	zajvoyi
   1 bez	pospiihu
   1 bereznya	c
   1 bazhannya	spiivpracyuvati
   1 bazhannya	skinuti
   1 bazhane	26
   1 bankiivs	kij
   1 bagato	golosiiv
   1 b	zii
   1 b	provaditi
   1 avstriijs	koyu
   1 avstriijs	kogo
   1 arhiivnih	foto
   1 arhiitekturu	stvoryuvati
   1 areshtu	Fiirtasha
   1 apriiorii	znav
   1 antiputiiniist	toscho
   1 antikomuniist	raz
   1 antifashist	potiim
   1 antiamerikaniist	dalii
   1 amerikancii	namagalisya
   1 ale	zadumajmosya
   1 ale	v
   1 aktivno	rozvivaiet
   1 ag3resiiyi	ie
   1 afera	z
   1 advokatah	yakogo
   1 abo	bazhannya
   1 a	zemlya
   1 a	vzhe
   1 a	v
